,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Usman Saleem Akhter
Senior Technical Recruiter | Searching for Innovative Minds | Career Match-Maker | Talent Advisor |
Send InMail
The Role: Business Analyst II - Salesforce

The Team: The Order to Cash team is responsible for the management and improvements of the Business Applications that drive S&P Global. Our team leads many internal applications from Salesforce, Order to Cash, Order Fulfillment, Reporting and Workflow tools. You will have the opportunity every single day to work with people from a wide variety of backgrounds and to develop a close team dynamic with coworkers from around the globe.

The Impact: As a Salesforce PMBA who works in our Business System Analyst role you will use your extensive Salesforce Platform skills experience to help lead and improve the S&P Global Salesforce Platforms. You will make strategic decisions on the future state of the platform, as well as lead large Platform wide projects on all facets of the Salesforce application, from Service Cloud, Sales Cloud, App Partners and more

What’s in it for you: This position provides an unprecedented opportunity to shape the future of the S&P Global S&P Salesforce Instances. You will provide leadership to a large team of in-house Salesforce professionals and become a visionary in the future state of the platform as it scales out across the division. You will have the opportunity to design solutions based on Salesforce best practices and use your technical project management skills to lead large projects end to end in an Agile environment across one or multiple CRM teams. You will also have the opportunity to mentor and eventually manage a team of highly skilled professionals.

Responsibilities
Provide strategic direction for the Salesforce system and work with various stakeholders to establish and implement best practices with regards to system configuration, unit testing, maintenance, security and access controls, and data integrity
Administration of the Salesforce environment including customizing and implementing, security model, custom applications, object Management, Lightning App Builder, workflow rules, Process Builders, Lightning Flows, validation rules, dashboards, reports, and so on
Coordinate testing and manage deployment of software updates
Utilize leadership skills in mentoring other Salesforce Administrators
Work in partnership with key business users, identify potential ways of improving the efficiency and/or effectiveness of current business operations
Build a deep technical understanding and expertise of how the order to cash business operates departmental/divisional structure, functions, processes, procedures, and current application functionality
Assist with the design of Salesforce solutions and project planning. Add value in all stages of project work (definition, development, deployment)
Deployment planning. Understanding of Automated Deployment tools Copado/Version Control system is highly preferred
Strong background in Salesforce Sales module
Must know how to migrate data from using tools like data loader, work bench, dataloader.io to perform data migration
Lead & Coordinate with QA, UAT and Go-Live Activities
What We’re Looking For
Required 6+ Years of experienced Salesforce Business Analyst / Administrator (lightning preferred) with excellent communication skills
Minimum 2 years of lightning development experience
Experience with Salesforce Cloud and Service Cloud, SFDC integration, and ERP integrations
Should have a thorough understanding of configuration of salesforce.com (workflows, validation rules, approval process, custom formulas, page layout, and record types).
Thorough knowledge of delivering projects in an agile scrum environment
Able to provide leadership, participate and be a productive member of the team. Must be able to manage time with multitasking.
Knowledge or working experience in Order to Cash systems /CPQ would be a plus
Be the lead subject matter expert in driving the industry best practices for the CRM ecosystem and associated integrated tools
Basic Qualifications
Strong initiator and ability to work with limited supervision
Experience in Lightning is preferred
Proficient in continuous integration environments (Copado, Jenkins)
Ability to continuously learn and develop new skills to maintain technical currency
Strong problem solving, critical thinking, troubleshooting, and analytical skills to set up and interpret logic, data, and rule relationships
Excellent verbal and written communication skills
Demonstrated listening, analytical, organizational, and time management skills
Demonstrated ability to work independently and cross-functionally, including in high-pressure situations
Recommends development and configuration strategies received minimal guidance Uses subject-matter expertise to advise others
Help in defining integrations with other systems using Salesforce APIs
Strong SQL skills and familiarity
Preferred Qualifications
Salesforce Administrator /Advanced Administrator
Salesforce Sales Cloud consultant
Copado Certified Administrator (nice to have)
Copado Developer (nice to have)
SAFe practitioner (nice to have)
Willing to work in Night Shift.
Flexible Working (optional)

We pride ourselves on our agility and diversity, and we welcome requests to work flexibly. For most roles, flexible hours and/or an element of remote working are usually possible. Please talk to us at interview about the type of arrangement that is best for you. We will always try to be adaptable wherever we can.

Return to Work

Have you taken time out for caring responsibilities and are now looking to return to work? As part of our Return to Work initiative (link to career site page when available), we are encouraging enthusiastic and talented returners to apply, and will actively support your return to the workplace.

Job Grade: Grade 09

Location: Islamabad, Pakistan

S&P Global Corporate

At S&P Global, we don't give you intelligence—we give you essential intelligence. The essential intelligence you need to make decisions with conviction. We're the world's foremost provider of credit ratings, benchmarks and analytics in the global capital and commodity markets. Our divisions include S&P Global Ratings, S&P Global Market Intelligence, S&P Dow Jones Indices and S&P Global Platts. For more information, visit www.spglobal.com.

#

Equal Opportunity Employer

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.

US Candidates Only: The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)

Job ID: 272367

Posted On: 2022-06-09

Location: Islamabad, Pakistan",https://www.linkedin.com/jobs/view/3119506417/?eBP=CwEAAAGBh16mBIKp4Caj3i7LLvZoOIvYlQfXEr07sMvMk5wPMTOsWEIqtatHu6lzlGK1K6zh2H_6m3GKLOOHT1JYFR9N2unf3a-NY9SIfjbNFCVn35TxJ3xgpY2atEbNWaagpFxE9pivdRVhP-Vtc5ZUE6XBg8rN3IV1_nzMkgltUyf4BdfMl-sSfLvppAvDMry9DSL9sc9doiFg5Yt3nwIDUXkbEjilmQ7QOecCPxtHUYcwAEFJsITwu7XA8upYi__X2o-84nCmRDGiTiQWCQ_7sdTn4PZLm-X-40bckO3_Z1O2Xoey54vpJUeeILyvBD8lYjFKZdHAf0K5fb094l78K0gL9fT8EPV8tnQ_-cfh9_Jioh7KgZNw6CfPQDhqw78uLN5X&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=zPp3qoZYcMeFlQBV%2Bw24GA%3D%3D&trk=flagship3_search_srp_jobs,Business Analyst II - Salesforce,S&P Global,1 week ago,Full-time,"Islamabad, Islāmābād, Pakistan"
1,1,"Posted by
Usman Saleem Akhter
Senior Technical Recruiter | Searching for Innovative Minds | Career Match-Maker | Talent Advisor |
Send InMail
The Career Opportunity

Join a team of multi-talented individuals who are both business minded, technical or both. This is an opportunity for the candidate who is willing to work on the analysis and requirements of the products we cater to the business. The business stakeholders are our customer, and we hold the key to implement various requirements for the business using our creativity.

The Impact

The IT Product Management team within DTS Services Enablement is committed to providing S&P’s employees with a transformational working environment. As a member of the team, you will have the opportunity to work with diverse talent and bring valuable technical and product skills to the table. The ServiceNow platform is widely used by the combined organization and data quality and integrity are core to our values for defining a reputable product strategy within enterprise IT.

Position Overview
Work on products we deliver to the business on the ServiceNow Platform to ensure the product is meeting the growing demands of the business.
Ensure accuracy and quality of data through all upstream and downstream data channels.
Create, manage, and help drive business requirements to user stories and help implement the user stories into actual product deliverables through a Sprint Cycle.
This role will require a flexible, agile approach to meet our evolving business needs. You will work alongside several teams including business analysts, project managers, data engineers, developers, scrum master and business stakeholders.
Provide thoughtful analysis and participate with projects that involve any of the upstream or downstream data flows and processes.
Ensure controls are in place over applications to ensure the data integrity by performing data integrity gap analysis.
Coordinate the resolution of data integrity gaps by working with the business owners and IT.
Work with business partners, business analysts, product owners to gather and understand functional requirements, develop queries and provide reports.
The incumbent will report to the Director, Services Enablement.
The Candidate Will

Key Responsibilities
Help implement on a clear roadmap for the People Workflow Services Products Portfolio.
Analyze and document technical requirements during a Sprint Cycle for continuous growth of the product.
Work with other the product owner & developers on the team to understand the various products we serve to the business and help grow the products to continue serving the needs of the business.
Be creative in finding opportunities to support the business requirements in existing or new products.
Be proficient with data flow diagrams.
Set the gold standard for extended teams such as Information Security and Privacy.
Partner with the business in understanding their needs and help implement them in the existing portfolio of products.
Qualifications
Bachelor's degree in Information Technology, Business, Mathematics, Statistics, Computer Science or a related field is required, or in lieu, a demonstrated equivalence in work experience
5+ years’ experience working as a member of or leading a business analytics or data governance team.
Basic level proficiency in Structured Query Language (SQL).
Understanding of databases and data structures is preferred
Strong analytical and time management skills.
Excellent written and verbal communication skills.
Intermediate facilitation skills with the ability to drive issues to closure.
Self-motivated and able to handle tasks with minimal supervision
Ability to write various documents such as functional requirements and user stories.
Understanding of privacy laws and regulations.
Strong interpersonal skills with the ability to work effectively in a cross-functional team
Exposure to Agile Scrum development lifecycle methodologies
Love for learning and applying new technologies to improve business outcomes
Flexible Working (optional)

We pride ourselves on our agility and diversity, and we welcome requests to work flexibly. For most roles, flexible hours and/or an element of remote working are usually possible. Please talk to us at interview about the type of arrangement that is best for you. We will always try to be adaptable wherever we can.

Return to Work

Have you taken time out for caring responsibilities and are now looking to return to work? As part of our Return to Work initiative (link to career site page when available), we are encouraging enthusiastic and talented returners to apply, and will actively support your return to the workplace.

Grade/Level: 10

The Location: Islamabad, Pakistan

S&P Global Corporate

At S&P Global, we don't give you intelligence—we give you essential intelligence. The essential intelligence you need to make decisions with conviction. We're the world's foremost provider of credit ratings, benchmarks and analytics in the global capital and commodity markets. Our divisions include S&P Global Ratings, S&P Global Market Intelligence, S&P Dow Jones Indices and S&P Global Platts. For more information, visit www.spglobal.com.

#

Equal Opportunity Employer

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.

US Candidates Only: The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

202 - Middle Professional (EEO Job Group) (inactive), 20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group)

Job ID: 274156

Posted On: 2022-05-25

Location: Islamabad, Pakistan",https://www.linkedin.com/jobs/view/3094577442/?eBP=CwEAAAGBh16mBL5ykSy6Nid3mW2G7bte8PF4nN1OMMLGAcxBPypMMtwDaKYKj-7KA757fXlxdxWpc7U0hhg1RVureoAOwyfWv-IQ5dZXiSPnqRkHTa2-6VAXPxmHrVDKq_BcrWldJ6MJn-PUtE_nX4ele1jNcMWYPKfNsar2z5s9BvMiJPKdB9LKdpheV9KWFlHNFJrZj1KShqppJdhtsUXIDIrN0Tlm0fOEcTpKz5_SiwGpVdqpFGtNdgw6LOZ_kGRh4iMXgW6RErkGh3k8i4ya4PEExpqOfuiMlGbW-ruUp7UVQ9P547WWA3To8BVDzUH4GX9NFnKpfys8lggW9dFmGsMwNqGDqWA2gmtW9hmSFutckXAJGpouSmX9CS7LOO_TRg&recommendedFlavor=SCHOOL_RECRUIT&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=T0MYPoJiQup9uN%2B5YM9CyQ%3D%3D&trk=flagship3_search_srp_jobs,Senior Business Analyst - ServiceNow,S&P Global Market Intelligence,5 days ago,Full-time,"Islamabad, Islāmābād, Pakistan"
2,2,"The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.
Responsibilities
Track and report data
Build cross-functional partnerships, internally and externally
Manage budgets
Maintain a competitive market knowledge

Qualifications
Bachelor's degree or equivalent experience
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)
Strong written, verbal and collaboration skills",https://www.linkedin.com/jobs/view/3136025976/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=w0haKJWmtTm%2BhEG38DowWw%3D%3D&trk=flagship3_search_srp_jobs,Business Analyst Intern,Total Talent Services,11 hours ago,Full-time,"Lahore, Punjab, Pakistan"
3,3,"Posted by
SAMIA SAGHIR
Human Resources Coordinator at ORCALO
Send InMail
The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.

Responsibilities

Track and report data
Build cross-functional partnerships, internally and externally
Manage budgets
Maintain a competitive market knowledge

Qualifications

Bachelor's degree or equivalent experience
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)
Strong written, verbal and collaboration skills

Experience

Minimum Experience of 2 years

Benefits provided by Company

Handsome Salary Package
Quarterly Bonuses
Night Allowances
Leaves Encashment
Provident Fund etc",https://www.linkedin.com/jobs/view/3133937595/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=xT8ZgSkIb43mt2bXl6xa8A%3D%3D&trk=flagship3_search_srp_jobs,Business Analyst,ORCALO,8 hours ago,Full-time,"Rawalpindi, Punjab, Pakistan"
4,4,"It's fun to work in a company where people truly BELIEVE in what they're doing!

About the job:

We are looking for a Business Analyst to join our team to drive improvement and value in CureMD’s Electronic Health Record (EHR) and physician practice management products. Your job will be to partner with Product Management, Development, & Customer Services in: exploring opportunities for product improvement; scoping impact of product decisions on clients; and prioritization of backlog items through research & investigation.

The Business Analyst in Analysis team will be at the center of important issues that shape and direct our products to cater the needs of our users. As a Business Analyst, you are responsible for providing data analysis, reporting, quantitative analysis, research, data mining and trend analysis. You’ll leverage your analytical background to establish impact through rigorous data analysis and identify key drivers for empowering operational efficiency. This includes kickoff meetings with the stakeholders, documentation of clients’ requirements and competitor’s analysis, brainstorming and idea sketching sessions, user story reviews, User Experience Analysis (UXA) works in conjunction with designs, wireframes and prototypes, acceptance criteria, UI design and internal and external reviews followed by the Sprint Refinement Meetings.

This role requires you to be innovative and have strong attention to detail with passion for problem-solving, know how to energize cross-functional teams around a problem, use data to identify and prioritize solutions. You should be skilled at creating meaningful analysis with large, complex datasets and using query languages, ETL tools, data modeling, and data visualization.

Minimum Qualifications:
Bachelors or Masters in quantitative disciplines like Computer Science, Data Engineering, Data Science, Statistics, or Mathematics preferred
Ability to understand, analyze and interpret complex data to effectively solve business problems.
Experienced in using tools including: Microsoft Power BI, Microsoft Productivity Suite, Microsoft Project, and SPSS.
5+ years’ work experience as a Business Analyst

Preferred Qualifications:
IT healthcare domain knowledge/experience will be preferable
Knowledge about following tools: Balsamiq, Team Foundation Server, MATLAB, GIS
Understanding of Web API, XML, JSON, and any integration or interoperability framework.

Responsibilities:
Develop business case for new initiatives or product modifications.
Initiate new product ideas based on overall strategic goals.
Working with internal and external stakeholders to define scope and to provide requirements at an appropriate level of detail.
Gathering and documenting functional and non-functional requirements using appropriate techniques including interviews, document analysis, workshops, storyboards, surveys, business process descriptions, use cases, scenarios, competitor product analysis, task and workflow analysis.
Participation in peer reviews, inspections of requirement documents and work derived from requirements, to ensure compliance and traceability throughout the project.
Work with documentation team to create product documents, videos and internal education material.
Educate various teams within the organization when new features/functionalities are developed.",https://www.linkedin.com/jobs/view/3108165513/?eBP=CwEAAAGBh16mBHWw3cb0UeVair8gj3ByWC4_ytZgucduVoXVhfUdynWJB1S057lvIXHkOMNqWrBfNppW3xlkTH1AmL-fPK6IQYWpIVmMfvgj-AdMta2FhF_aXCi2XA8Gv6hYJ_O2HJOHGOhsMEQM_AMf-ZxI7-4-rPeOblQYUF_VsDoLVC8bldU_2VfLp4hzw9GSjtQ83zoUJmJizBg7DG8GcqmU7fD_cjUNX3_kyc3h29rzI19ZflA_yv3AKqWHkUTgiT52oXlVk5rCROK-Je4cfqQyLI62NHo5WI26fIBRRV08o0OYbucwciZWKysuWDLAm9GEY2yjNcwI5vzvDWsu_wqHpcZY-Yh43-F0iG1rlooA_fNbl4S0U_cV3CoB-rWCsLLZ&recommendedFlavor=SCHOOL_RECRUIT&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=ggn2iYjxC4%2Fm97Qe916HEw%3D%3D&trk=flagship3_search_srp_jobs,Senior Business Analyst,CureMD,2 weeks ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
5,5,"Posted by
Major Ahmed Raza Khan (R)
(Pakistan Army, United Nations, PMA Long course, Mechanized Infantry.) Scrum Management| Head of Operations and HR Caretek
Send InMail
*Please see salary bracket at the end of the post

Caretek is looking for a competent and experienced Business Analyst with 1 experience as a Software Business Analyst. The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.
Please Note: WORKING HOURS WOULD BE 4:00 PM TO 1:00 AM (MON-FRI).
Workshops & Stakeholder Management:
· Lead workshops and interviews to conduct business process analysis, gather requirements, conduct gap analysis, and present a summary of findings.
· Advanced communication skills both written and verbal – speak the language of the business and the IT and bridge the gap between them.
· Ability to work closely with stakeholders and effectively manage their expectations.
· Ability to identify key stakeholders.
· Proactive and independent, able to work with minimum supervision.
· Strong work ethic and delivery focus.
Processes Understanding
· Excellent organizational and time management skills with the ability to prioritize and work under pressure.
· Experience with agile practices, with a focus on maintaining a healthy groomed backlog.
· Ability to translate business requirements into detailed functional requirements.
· Solid Business Analysis, documentation, and process re-engineering skills.
· Modeling business processes and identifying opportunities for process improvements.
· Outstanding experience developing requirements and product specifications for new or existing applications.
· Strong Process Mapping skills.
· Analyze, design, and map business processes and associated data flows as required
· Support the Product owner in defining and prioritizing the Product Backlog (Epic, Features, User Stories).
Requirements
· Minimum 1 year plus of experience as a Business Analyst
· Must hold a firm command of the English Language (Written, Verbal, and collaboration skills).
· Bachelor's degree or equivalent experience.
· Must be aware of JAD & RAD Methodologies.
· Must be aware of Agile/Scrum Methodology.
· Advanced skills with Microsoft Office, Microsoft Visio, and Jira, specifically Scrum & Kanban boards.
· Great at presenting information through visual tools and techniques
· Writing detailed user stories
· Writing Functional Design Documents
· Writing Business Process Documents
· Working experience within Agile/Waterfall (Hybrid) environment
· Practical experience in UML is highly desirable
Perks:
· Professional & comfortable learning environment.
· Monthly Dinner.
· Trips to Northern Areas after 3-4 Months.
· 5 days a week.
· Appreciation Bonuses on Exceptional Performance.
· Stress-Free Working Space.

*Upto PKR-55k (depending upon current/last salary and experience)",https://www.linkedin.com/jobs/view/3129166252/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=cdaMIf5KpOEDPMBgN32yIA%3D%3D&trk=flagship3_search_srp_jobs,Business Analyst,Caretek Corporation,5 hours ago,Full-time,"Lahore, Punjab, Pakistan"
6,6,"Posted by
Ravaida Irfan
Technical Recruiter | HR Associate
Send InMail
Essential Qualification

Bachelors in Computer Science,

Information Technology, Software Engineering, etc

Preferred Qualification

Certification/ Diploma in Business analytics

Experience

2-3 years experience in similar job profile

Roles and Responsibilities

1. Providing necessary assistance and support to senior BAs

2. To understand strategic direction of organization and do research on new ideas/initiatives the firm may want to pursue, under the guidance of Sr. BA

3. Strong time management skills and increased acumen for planning.

4. Build flow Diagrams as instructed by senior BAs providing necessary assistance.

5. Create Design Screens using Figma and visio.

6. Assist in planning the sprints with Sr. BA to finish the project in a given deadline.

Tools used within the organization
1. Microsoft Suite
2. JIRA
3. Confluence
4. Figma
5. Monday.com
6. Airtable.com

Shift
Morning & Evening
Location
Lahore",https://www.linkedin.com/jobs/view/3116427325/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=D%2BdFqbDBQFttzdibh8mMAQ%3D%3D&trk=flagship3_search_srp_jobs,Mid Business Analyst,Orcalo Holdings,8 hours ago,Full-time,"Lahore District, Punjab, Pakistan"
7,7,"We are seeking a candidate with 3-5+ years of experience that meet the following criteria:

Workshops & Stakeholder Management
Lead workshops and interviews to conduct business process analysis, gather requirements and conduct gap analysis and present a summary of findings.
Advanced communication skills both written and verbal – speak the language of the business and the IT vendor and bridge the gap between them.
Ability to work closely with stakeholders and effectively manage their expectations
Ability to Identify key stakeholders
Proactive and independent, able to work with minimum supervision
Strong work ethic and delivery focus.
Processes Understanding
Excellent organizational and time management skills with the ability to prioritize and work under pressure.
Experience with agile practices, with a focus on maintaining a healthy groomed backlog
Ability to translate business requirements into detailed functional requirements
Solid Business Analysis, documentation, and process re-engineering skills
Modeling business processes and identifying opportunities for process improvements
Outstanding experience developing requirements and product specifications for new or existing applications
Strong Process Mapping skills
Analyze, design and map business processes and associated data flows as required
Support the Product owner in defining and prioritizing the Product Backlog (Epic, Features, User Stories)
Tools & Techniques
Advanced skills with Microsoft Office, Microsoft Visio, Microsoft DevOps and Jira, specifically Kanban boards.
Great at presenting information through visual tools and techniques
Writing detailed user stories
Writing Functional Design Documents
Writing Business Process Documents
Working experience within Agile/Waterfall (Hybrid) environment
Practical experience in UML is highly desirable",https://www.linkedin.com/jobs/view/3131443437/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=ANYQ2GrKCLdl9Ck%2Fc2Fasw%3D%3D&trk=flagship3_search_srp_jobs,Business Analyst,Confiz,4 days ago,Full-time · Associate,"Islamabad, Islāmābād, Pakistan"
8,8,"POSITION: Business Analysis Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to a business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment leveraging our deep industry experience, along with using analytical rigor to drive outstanding results for businesses. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Business Analysis Intern to join them in the upcoming weeks. This position is great for an aspiring business analysis professional looking to work on business-critical projects and gain relevant work experience.

Your Profile
Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Familiarity with Microsoft applications and Zoom
Willingness to learn and develop business analysis skills
Competitive and proactive attitude
Fluency in English
You will learn how to:


Analyse business processes
Create and update business process documentation
Interpret data, build reports and analyse results using statistical techniques
Be able to tell the story behind the data
Support our Project Team in analysing customer processes and in preparing functional documentation
Find ideas on how to improve our project performance, as well as the user experience
Generate ad-hoc analysis in response to organizational requests and to support business cases
Perform quantitative and qualitative analysis to assist senior leaders in evaluating possible solutions to solve complex business problems
Support senior leaders in developing global growth strategies
Analyze, develop and execute our strategies to optimize our revenue and KPIs
Provide input into client presentations and work on day-to-day project delivery
Develop business cases to determine business requirements
Understand the market landscape and trends to identify strategies and potential optimization opportunities
Cross-functional collaboration with business, product, engineering and analytics teams to understand design and opportunity areas
At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",https://www.linkedin.com/jobs/view/3131640501/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=yguKey6RCnsu%2BWLP%2Bfihnw%3D%3D&trk=flagship3_search_srp_jobs,Intern/Junior Business Analyst (Remote Business Analysis Internship),Brainnest,3 days ago,Full-time · Internship,"Lahore, Punjab, Pakistan"
9,9,"POSITION: Business Analysis Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to a business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment leveraging our deep industry experience, along with using analytical rigor to drive outstanding results for businesses. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Business Analysis Intern to join them in the upcoming weeks. This position is great for an aspiring business analysis professional looking to work on business-critical projects and gain relevant work experience.

Your Profile
Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Familiarity with Microsoft applications and Zoom
Willingness to learn and develop business analysis skills
Competitive and proactive attitude
Fluency in English
You will learn how to:


Analyse business processes
Create and update business process documentation
Interpret data, build reports and analyse results using statistical techniques
Be able to tell the story behind the data
Support our Project Team in analysing customer processes and in preparing functional documentation
Find ideas on how to improve our project performance, as well as the user experience
Generate ad-hoc analysis in response to organizational requests and to support business cases
Perform quantitative and qualitative analysis to assist senior leaders in evaluating possible solutions to solve complex business problems
Support senior leaders in developing global growth strategies
Analyze, develop and execute our strategies to optimize our revenue and KPIs
Provide input into client presentations and work on day-to-day project delivery
Develop business cases to determine business requirements
Understand the market landscape and trends to identify strategies and potential optimization opportunities
Cross-functional collaboration with business, product, engineering and analytics teams to understand design and opportunity areas
At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",https://www.linkedin.com/jobs/view/3131635918/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=MwaNrCkbfZya2wn%2FcBi%2BOw%3D%3D&trackingId=P3huXKmZKU%2Fe3XsswxSOPw%3D%3D&trk=flagship3_search_srp_jobs,Intern/Junior Business Analyst (Remote Business Analysis Internship),Brainnest,3 days ago,Full-time · Internship,"Hyderabad, Sindh, Pakistan"
