,JobId,job_descriptions,job links,job titles,Posted By
0,0,"Avalon Dispatch is a US-based entity that runs one of its offices in Lahore, Pakistan
providing logistics and transportation services overseas.",https://www.linkedin.com/jobs/view/3102061297/?eBP=CwEAAAGBLpqLdyiGr3I2IpBnosrCFH4E1mFrwZ76NoEZjcD67ovwP2qkt3LYXx5jOKh7YltKtTvZPz6O05dD3ZQctv79Jvhf6Qg3RT8a_ZsF_pQ6m0Dx-igdXJoVcoZ2NDMhHsoSVgvrqKPE3najoClwiviLtWLC3xXrTGsP342vUZPcpnjo8h72P3TLpif7wE4s8ClLLtYkssMQvkBMixYRM9X0NNy4AlGkepJTrSDP82iFqKWh4q_QCpWyz-Dfs7WwOutUGffO3SeX4wVHbZhRMKFjz7RY6GMXvNsEBcwKRErKfN8lCuypJDF5NK98a52YHhFcAKkC4xfLLECqZi8Kf9ogMFQvjViHgcvRGNxpgBHDv69QUEBjBboYx3i3xuExZpmDs-TUXeME54vUtOw-Tgq49l1XHavkrBE&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=1JgOx8UaqTVyqHx6CzNguA%3D%3D&trk=flagship3_search_srp_jobs,Customer Sales Representative,Avalon Dispatch
1,1,"Posted by
Rekha Mikhael
Talent Acquisition Specialist
Send InMail
Job summary

Assist the revenue senior specialist in developing the inventory classification and pricing.

Key Responsibilities
• Develop overall inventory classification, categorization and pricing metric in line with Qatar market and FIFA strategy to ensure a cohesive approach.
• Provide recommendations to the Host Country team regarding the integration of FIFA’s standardized contract terms across temporary solutions including rate metrics.
• Daily pick up analysis, mitigation strategies and reporting.
• Perform competitive benchmark studies and follow tournament specific market trends.
• Responsible for competitor analysis, environmental scanning, market modelling, distribution yield management, length of stay yield management, inventory availability and pricing control
• Create and develop pricing strategies in conjunction with the individuality of each inventory type sold via the Accommodation Agency.
• Establish 12-month demand calendar in line with FIFA ticketing strategy.
• Develop business rules in line with tournament phasing in coordination with the sales team.
• Together with the sales team, develop a sales & marketing plan (budget) in line with on sale phasing.
• Provide a weekly dynamic forecast of expected results, variances and budget comparisons.
• Responsible for assessing, analysing and pricing group sales strategies across all inventory types.
• Provide weekly Accommodation Agency performance summary report with mitigation strategies where needed.
• Oversee and audit the standards and operations of the reservations team.
• Proactively participate in scoping the capability of the sales and distribution technology solution.
• Oversee that B2C online booking process is maintained, up-to-date and functional.
• Regularly check the input and quality of data points.
• Together with the sales team, management and monitoring of Accommodation Agency to maximise sales whilst ensuring prioritization, allocation and segregation of AUGs in line with accommodation objectives.
• Review and analysis of sales and distribution analytics and propose recommendations and remedial measures if required.

Job Requirements

• Required 6-8 years of proven experience in revenue management in the hotel industry.
• Bachelors or Master degree in Hotel Management, Tourism or Economic Studies
• Highly computer literate with a high level command of Excel
• Knowledge of hotel technology: PMS, Channel Manager, GDS, CRS, Extranets
• Proven track record in the following areas from both a commercial and operational perspective:
o Experience of major international sporting events working with multiple stakeholder groups
o Delivering revenue targets with exceptional win rates
o Responsibility for strategic approach to accommodation Sales & Distribution – B2B and B2C
o Knowledge of Travel/Event sales, distribution and inventory management
o Management and leadership experience working with a reservations team, proven success at building and maintaining excellent working relationships with stakeholders
o Experience working in the GCC region, local market (Qatar) experience would be an advantage
o Knowledge of FIFA/UEFA accommodation sales and processes would be an advantage

Please note:
This is a 10 month contract based in Doha, Qatar",https://www.linkedin.com/jobs/view/3088937748/?eBP=CwEAAAGBLpqLdw7DfkvLBqfOVHBeJ_ay42oflzkJVzjU46U0eqsO29ihvGR1CUvA2LAQLSm_oK6-uKv7LYm_QH6x-fzuBoE-hZXFNv5xFs1_J1hqiKy2g9ADlj1gTN492g97sFzFSKOYw1r2RISXh5-ac9UdGcI_znJXX0kvRfB8YkhpgadudUrusQhE2fJ-StNvg0K93raPeEA7IKH9gNB25kc20LEg8mHb475KkKFArG7rhz96RQoUkNRvtM1a86Hv3m1znIo1CVWAlPYxmnuW672qG1NmIegNh-P2cVUdc469MP0hT51CnB_hWS63Xug4pArKhq_fivyGJq2YphzS3On3U7ViyH89CvuTfTsshKj4E7BRL3bIzdFt5w41SnPnQA&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=gkZAGrZoept2sdoNRsV52w%3D%3D&trk=flagship3_search_srp_jobs,Revenue Specialist (Hotel Industry),Supreme Committee for Delivery & Legacy
2,2,"Posted by
Naveed Hameed
Student at University of Education (PK)
Send InMail
Zameen.com require Sales Professional
Relevant candidate will be Appreciated
have relevant knowledge regarding Property",https://www.linkedin.com/jobs/view/3109410108/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=8MUjd7T4etRmM8NAyviIwg%3D%3D&trk=flagship3_search_srp_jobs,Associate,Zameen.com
3,3,"Posted by
Leanne Mei Silla
Sourcing Associate at Appen | Hiring for Global Part-time Opportunities at home | Add me as your Connection
Send InMail
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience.

Mystery Shoppers will be completing and reviewing the shopping experience of e-commerce advertisers on a well-known social media platform.

What’s in it for you?
Mystery Shoppers keep their purchases.
Mystery Shoppers are reimbursed for their purchases.
Who doesn’t like free products?

What you need to have:
Mystery Shoppers should have some disposable income to make purchases upfront.
Mystery Shoppers should be able to complete purchases with a short, 1-week timeline.
Attention to detail and strong reading comprehension is a must.

How to apply?
Visit the Appen website here: https://connect.appen.com/qrp/public/jobs?sref=9340bc2df063310ad1983928ba38b40d
Choose Punjabi as your primary language and Pakistan as your country. Make sure to add all your native dialects when creating your profile in the system.
Complete the Registration page and click Submit Application.
Once your account has been created, complete your profile, by clicking the black complete button on the top of All Projects tab. Make sure to add all your native dialects/languages when completing your profile. Log back in to your profile and go to All Projects tab, look for this project.
Choose the ""Apply"" button to start your qualification to the project.

Don’t miss the chance to earn extra while at the comfort of your own home. This is a great opportunity for you and your friends and family!
Work from home with flexible hours
You can work on our projects around your other jobs
Appen is ranked as top 1 out of 100 companies offering remote jobs by Flexjobs.com

Thank you and we hope to work with you soon!

A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.
#hiring #remotework #wfh #ai #shopping #punjabi #mysteryshopper #jobsearch #parttime #opportunity #evaluation #jobs #jobsinpakistan #socialmedia #innovation #technology #future #careers #data #artificialintelligence #hiring #jobsearch #jobseekers #deeplearning #workingathome #recruiting #job #datascience #ai #jobopening #homeoffice #openings",https://www.linkedin.com/jobs/view/3093633290/?eBP=CwEAAAGBLpqLd1o_q2XJGMfBZnmjloF0jqbpSSovE4DZxQfPc8KABGyrY9gNYmn3pXWButnOzOi5xVLMaqxaQ0UplpZMl-7Gv5y6CGYAXMAL-PAcMSS8DXIqNHzgqEbbqQzbIGxC5zNjkhx8fvtUrwF_6-6EbZuUCrYOfzlSzHCdoJ4KxI6hY00ELZmMzwkD7_1ar2UpyMywT9y6FZWwUef-aejE15UesL-3YIcRHzQfwgvj8mMopYKPnm7NaXo1iZQsvwRwo3F82ncQUHFvd9dWtHyqTapqLTpMa2QmnyRzlnsP2CtHSAPNCXKszpqDDMFjv9VCWz9mcI89MtY1SQynupdf5M8-OC9AXu2gWRZAlbXXtEjR7eG92rRWESZPCV0&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=HDADHjUSoMSGoIJiHcl0jw%3D%3D&trk=flagship3_search_srp_jobs,Social Media Evaluation Project for Online Mystery Shoppers for Punjabi Speakers in Pakistan,Appen
4,4,"Asif Javed Associates

IT IS TRAINING NOT THE JOB OPPORTUNITY, SO APPLY WITH CARE.

Asif Javed Associates is an Audit & Consultancy firm providing training opportunity for ACCA finalists and affiliates in Audit, Accounts, Tax and outsourcing. We are offering 03 years contract with at least one year mandatory training contract . We are ACCA Gold Approved employer.

We Are Looking For
Dedicated and hardworking
Self-starter and organized
Good Communication skills
Good with Excel and Word (should be willing to learn quickly)
Good Analytical and reasoning skills
Multi-tasking
Time Management
You Will Be Provided Opportunity To
Assist in annual audits
Assist in day-to-day Accounts Management of clients
Visit to FBR, SECP and other offices related to client matters
Assist in Corporate advisory
Assist in Annual / periodical tax fillings for the clients
Assist in bookkeeping and tax services for Foreign clients
Learn softwares like i.e. Xero, QuickBooks, Bitrix24, Hubdoc, and using FBR and SECP portals
Apply only if you are willing to work for at least one year period with us and to work during odd working hours for some part of your contract term.",https://www.linkedin.com/jobs/view/3106463746/?eBP=CwEAAAGBLpqLd1lD3BhoMhdZbQwcJ0VgvqSihpFmSEGeuTMG8gKRyCoGhSSgudYGPqIgEmEIrpmPX_6YxwU2nBlSD14I7Rb07fVYjLQG018i26uYidEkwTCIkgNnclmmKOv7dNNGms3PgaLM0PUZuoRgjx6Ral-cRkADwomPFrR77ioPxUwm6f3rEaeGDC-R4F4yyHVapxX-h8aCOwkOHvqfo1ZnwkBhu8SC6eyTnj3x2pT2PFPNcP4ekxCcBIb5VEPhr0Xb73DPX2ckg3-6N4TpqB0IO79f2I0h9OhteBQbOcDuQEewE9d3oNtD5VmhbgA6sHUqVm4kQj1tojxIhzwxveoZNkhLPKDbUUdLTRYXU9OOvY6huES8RinCTnzeVAO7eVlQ&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=O%2BGmbKvLH4cyYwzo%2FCFVlA%3D%3D&trk=flagship3_search_srp_jobs,ACCA Trainee Accountant,ACCA Careers
5,5,"Posted by
Mahrukh Anwar
Marketing Manager | HR Consultant | Trainer at HCMS Global Pvt Ltd
Send InMail
Hiring RIDERS URGENTLY
For ISLAMABAD I-9 and I-10
Duty from Monday, 6 June 22
One month performance based project
Age 18-35
Bike and licence MUST
Salary 26k+ commission",https://www.linkedin.com/jobs/view/3109434498/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=c74EkB2w3aF5QJMSZcPADg%3D%3D&trk=flagship3_search_srp_jobs,RIDERS,HCMS Global
6,6,"Posted by
Muhammad Naveed
Full Stack .Net Developer | Lead Developer | Tech Consultant & Architect | Microsoft Certified Professional | Microsoft Azure DevOps
Send InMail
The ideal candidate will be familiar with the full software design life cycle. They should have experience in designing, coding, testing and consistently managing applications They should be comfortable coding in a number of languages and have an ability to test code in order to maintain high-quality code.
Responsibilities
Design, code, test and manage various applications
Collaborate with engineering team and product team to establish best products
Follow outlined standards of quality related to code and systems
Develop automated tests and conduct performance tuning

Qualifications
Bachelor's degree in Computer Science or relevant field
4+ years of experience working with .NET or relevant experiences
Experience developing web-based applications in C#, HTML, JavaScript, VBScript/ASP, or .NET
Experience working with MS SQL Server and MySQL Knowledge of practices and procedures for full software design life cycle
Experience working in agile development environment
Proficient in English communication",https://www.linkedin.com/jobs/view/3111277394/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=a4wXUR9t9KJE1wrcIX%2F6XA%3D%3D&trk=flagship3_search_srp_jobs,Dotnet Developer,EnTKSol (Pvt)Ltd.
7,7,"Posted by
𝗗𝗮𝗻𝗶𝘀𝗵 𝗥𝗮𝘀𝗵𝗲𝗲𝗱
Buisness consultant at social media platform
Send InMail
𝗡𝗲𝗲𝗱 𝗳𝗿𝗲𝘀𝗵 𝗮𝗻𝗱 𝗘𝘅𝗽𝗲𝗿𝗶𝗲𝗻𝗰𝗲𝗻𝗱 𝗦𝘁𝗮𝗳𝗳 𝗳𝗼𝗿 𝗼𝗻𝗹𝗶𝗻𝗲 𝘄𝗼𝗿𝗸*

𝗛𝗶 𝘁𝗵𝗶𝘀 𝗶𝘀 𝗗𝗮𝗻𝗶𝘀𝗵 𝗥𝗮𝘀𝗵𝗲𝗲𝗱 𝗯𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗰𝗼𝗻𝘀𝘂𝗹𝘁𝗮𝗻𝘁

ہم لوگوں کو روزگار مہیا کر رہے ہیں اگر کوئی سٹوڈنٹ ، میل، فیمیل یا کوئی جاب پرسن آن لائن ورک کرنے کرنا چاہتا ہے تو وٹس ایپ پر رابطہ کریں

𝗡𝗼𝘁𝗲. 𝗪𝗼𝗿𝗸 𝗢𝗻𝗹𝘆 𝗳𝗼𝗿 𝗽𝗮𝗿𝘁 𝘁𝗶𝗺𝗲 𝗮𝘁 𝗵𝗼𝗺𝗲.

𝗦𝘁𝗮𝘆 𝘀𝗮𝗳𝗲 𝗮𝗻𝗱 𝗲𝗮𝗿𝗻 𝗺𝗼𝗿𝗲.
بہت سی سہولیات کے ساتھ
*For Applying Contect me on WhatsApp🪀*
⬇️⬇️⬇️⬇️⬇️⬇️

http://wa.me/+923463829642?text=I'm%20intreated%20in%20this%20Buisness",https://www.linkedin.com/jobs/view/3109471470/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=Om0ZnynINE0iS9nZNp2TBQ%3D%3D&trk=flagship3_search_srp_jobs,Assistant,Healthcare & Wellness Industry
8,8,"Posted by
Ammar Hasan
CEO | Growth Hacker | Entrepreneur | Leader
Send InMail
ABM And BM required for Menswear Eastern Brand at MM Alam Road Lahore, Qualification must be Graduation or Master preferably. Minimum 3 years working experience required on same designation in same industry. Branch Operation is the core responsibility.",https://www.linkedin.com/jobs/view/3102566536/?eBP=CwEAAAGBLpqLd9DCfxrHL0xsc8Oxc_oPDmhStuFByrZ3fqriX-RAEFyM5ar44CGUFgbLWl8h1A7SE8l8472o47oTZCozn6QdMc-KWt0p2wWfb9nyRjv0qFqPAAxwuNRGUHwwfQqcP_QKuA8KNzJAEikyPRpPf743SXQemivQthChvl1AV-gcFQl_ZIfRDW1kJftcmCkDOUsTD5rMF_Roo53y_x48B62NVCztTEAe6db7NKcC4Mtwh4jmFTkyoqIS8EsFHzg2S95zUv80hlQPKnnUNAr_D_2kUqPgsXF9zI6Q9Kx0maZ3z2Hpm0Lnc0jsn3ZxWRL_hHOeN48ypRccVl2Bodri5AMsD1eCzBq5TBTHCxYOgC8xUn86-2D_ltabgEq8RcwnWOhi22c5fMTp_PI1MW6R97jvmBPK1A&recommendedFlavor=SCHOOL_RECRUIT&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=Yr3HkfiwgukoyYR3of3cOg%3D%3D&trk=flagship3_search_srp_jobs,Assistant Manager,Nauroz Designer Collection
9,9,"Grade Level: L1


Location: Wah Cantt


Last date to apply: 22nd October 2021


What is a Territory Sales Supervisor?


TSS team is a sub part of the Regional Operating model lead by the Regional Business Head. This position reports to the Area Sales Manager who leads a team of two to three TSSs. We work with internal and external stakeholders to achieve regional sales targets and resolve issues that occur on daily basis which results in growth of JazzCash & Postpaid Sales and Franchise/Retail Business Development.


What does Territory Sales Supervisor do?


Learns Jazz's values, business, and products, the Regional Operating Model, and an understanding of the market dynamics
Visits the market daily to conduct spot checks/retail audits on stock availability
Be assigned one Franchise (in few cases two, depending on the potential & geographical spread)
Start managing the assigned franchise on daily basis; ensuring visibility of daily reports shared by the Area Manager; while carrying out strong franchise follow up
Builds contacts and understanding how to get the work done smoothly and efficiently through the franchise and retail network
Ensures Retail & Distribution network development - by engaging Franchise staff & DO
Focuses on Enablers; BVS Activation; EVC (Agent to Agent serving); Market Float management (2.3 days); DO service levels (daily basis 50%); Recharge (Jazz Load & Scratch cards) Non-Performers to be less than 5% (ensure DO follows up with non performing retailer); Follow up with DO to ensure minimum balance Retailers are less than 5%
Along with the Enablers focus on achieving Target KPIs: Recharge; Gross Ads (pre & postpaid); JazzCash (DR, Cash-In & M-Wallet); MBB (Data Devices); Active Retail Base (EVC; BVS Devices; & JazzCash Retail Base) Devise plans to increase the sales of handsets, Wi-Fi devices, remittances and postpaid numbers
Starts engaging the retailers in planning BTL (below the line) activities based on target achievement
Focuses on Optimal utilization of Trade Marketing spend
Focuses on channel foot print expansion and improvement in KPIs (minimum balance, retailer servicing for JazzCash and Voice)
Works on Territory Integrity & Infringement Control
Be expected to develop healthy relations with the retailers, franchise owners of your area
Continuously review and bring improvements in JazzCash & Voice KPIs assigned to you and your team
Proactive and creative by bringing forward new ideas and processes for the betterment of your whole team
Manages franchise and retail channel by motivating and counseling the concerned stakeholders and explain the profitability model

Jazz is an equal opportunity employer. We celebrate, support, and thrive on diversity and are committed to creating an inclusive environment for all employees.


Requirements:

What are we looking for and what does it require to be Territory Sales Supervisor?


Someone who has already delivered on challenging projects.
He/she has taken end-to-end responsibility from planning to roll out followed by feedback.
An individual who can work both remotely as well as under supervision to improve the effectiveness and penetration of the sales and distribution channel.
Who can work on achievement of monthly KPI targets such as Jazz Cash Wallet Activation, Post-paid & Prepaid Sales, Remittances, and Cash in, MNP etc.
Increases penetration of overall business in the assigned areas.
Meets assigned targets end to end.
Strengthens & develops the Channel.
Has a relevant experience of sales management & channel development.

Benefits:

Why Join Jazz?


As one of the leading employers in the country, Jazz epitomizes the philosophy that each Jazz employee is passionately living a better every day inspired and enabled by visionary leadership, a unique professional culture, a flourishing lifestyle, and continuous learning and development.


As one of the largest private sector organizations in Pakistan, our objective is to continue to change the lives of our 70 million customers for the better. This is an opportunity for someone who wants to be part of something transformative, someone who can play a critical role in driving our success. Together, we can empower millions more with the tools necessary to progress in an increasingly digital economy.",https://www.linkedin.com/jobs/view/2752815562/?eBP=CwEAAAGBLpqLd22Bqab-m7l4nHh4YpcgIIJe0kBU28KgEeRmEYCoHvcJaBFHhcFQnWPzD5_e_Q2rdteY2O-R5VmvVGQB33hc4gr_UkIos3OQHhCB7PJJf1Z_hR_if18Ti4FpE_sfbMEBTOfHPCJS8h2cqJjystsUQNr9VjXU3ig51joaERhM8IjZzN_eVHDLUnUoqzTQcroT_ldGVzSxYHx0opfWYdyOJx-0xj39oJEUBZT9wlFAYbSScdKZZOl2vHvC9Qi4XGmQwZgqfrJbQgJTPdbjiwrDNUac75Fj1wRE0zQ1A1TKOFkd3SQPv6rdebVaGUL3Qe1qQGi8CSaRRo3TiQC3wgJplCdnBLwA6-hcPUKaxMyfstQnfNIcPb_bolnv0BZ3&recommendedFlavor=SCHOOL_RECRUIT&refId=dqp7yD%2Fwiy%2Blh6Tetzgj0Q%3D%3D&trackingId=G9jdx49Ti2AfJdoS9COjmg%3D%3D&trk=flagship3_search_srp_jobs,Territory Sales Supervisor,Jazz
