,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Civil Site Engineer will be a part of project execution team BU Transmission Solution, which is responsible for execution and completion of Grid Stations projects in line with time, cost, and quality requirements.

Civil Site Engineer will be located in Punjab and the responsibilities are shown below:

Prioritizes and coordinates project activities with respect to site preparation and construction of grid stations
Supports in cost control, document control and quality control activities
Track project status regularly and ensure to execute projects within allotted budget and timelines
Reviews design documents and give his input for construction planning
Liaison with subcontractors particularly civil contractors, for timely completion of project in accordance with required specifications
Actively communicates with all stakeholders including other team project teams and responsible for resolution of project related issues
Ensures compliance with Quality and EHS standards for all projects.
Supports the project manager in identifying, evaluating, assessing, and escalating risk and opportunities, strategies and response activities
Performs according to the Business Conduct Guidelines and establishes a culture of trust and integrity.
be deputed in Punjab region for execution of projects
Your Qualifications and Skills - Digital and Solid!

B.E degree / Diploma in Associate Engineering in Civil Engineering from reputable university
05-08 years’ experience as Site engineer (preferably in grid station projects)
Good communication skills
Proficiency in MS Office
Proficiency in English (Verbal and Written)
Organization: Siemens Energy

Company: Siemens Pakistan Engineering Co. Ltd.

Experience Level: Experienced Professional

Job Type: Full-time",https://www.linkedin.com/jobs/view/3119541170/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=3miAPK6A0H3CJ08in8Vj2g%3D%3D&trk=flagship3_search_srp_jobs,Civil Site Engineer - Punjab,Siemens Energy,1 week ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
1,1,"Posted by
Maha Ali
Senior HR Officer at Akhuwat
Send InMail
Key deliverables:
The key deliverables of the position are given as follows:
Assess whether construction at site under consideration is feasible and viable for the applicant.
Perform measurements of the potential construction area in light with the requirements mentioned by the applicant.
To prepare estimated cost of construction including quantities of material required.
Make recommendation for appropriate loan amount with respect to actual need.
Frequent site visits and take pictures of the construction site and to upload the pictures in system.
May prepare site map in consultation with applicant and provide technical assistance.
Educational Qualification: Diploma of Associate Engineering (DAE-Civil).
Experience: At least 1 year of work experience in Civil Works (Building) required. However fresh Diploma Holders (DAE) may also apply.
Salary Range: 20,000 to 30,000 (Including Allowances) depending on the experience and expertise.
Interested candidates can send their resumes at jobs@akhuwat.org.pk latest by June 30, 2022. The candidates should mention the position Site Engineer in the subject field.",https://www.linkedin.com/jobs/view/3127467892/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=vTTFjdaJPY1TA673qB%2B2lQ%3D%3D&trk=flagship3_search_srp_jobs,Site Engineer,Akhuwat,5 days ago,Full-time,"Punjab, Pakistan"
2,2,"Project Head of Civil Works will be part of project execution team of BU Transmission Solution, which is responsible for execution and completion of Grid Stations projects in line with time, cost, and quality requirements of the contract.

Project Head of Civil Works will:

Be responsible for strategic and organizational alignment, steering and control of all Civil/ MEP related project execution activities (project category B, C & S) with the objective of maximizing the contribution to operating profit through optimum allocation of resources and know how.
Be responsible for Civil/ MEP works topics of project towards customers, partners and vendors for the assigned project.
Develop project execution strategies of Civil/ MEP works during execution for assigned project in coordination Project Director.
Human Resources Planning, recruiting, management, coaching, assessment and development of project resources in the area of responsibility to ensure a long term target achievement with motivated staff.
Ensure compliance with project execution processes and tools.
Be responsible for quantity estimation and IPC verification of assigned project.
Support Project Manager to select and involve partners / subcontractors
Support project Manager in cost control and quality control activities
Track project status regularly and ensure to execute project within allotted budget and timelines
Review design documents and give his input for construction planning
Liaison with subcontractors particularly Civil/ MEP contractors, for timely completion of project in accordance with required specifications
Actively communicates with all stakeholders including other project teams and responsible for resolution of project related issues
Ensure compliance with Quality and EHS standards for all projects.
Support the project manager in identifying, evaluating, assessing and escalating risk and opportunities, strategies and response activities
Perform according to the Business Conduct Guidelines and establishes a culture of trust and integrity.
Be deputed in Siemens Pakistan’s Head Office in Karachi
Qualifications And Skills

A degree in Civil Engineering from reputable university
15 years’ experience as Civil Engineer (preferably at least 10 years in grid station projects)
Familiar with PM@Siemens processes
Excellent communication skills
Proficiency in MS Office
Proficiency in English (Verbal and Written)
Organization: Siemens Energy

Company: Siemens Pakistan Engineering Co. Ltd.

Experience Level: Experienced Professional

Job Type: Full-time",https://www.linkedin.com/jobs/view/3117259056/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=y23YgjWrRzqJalI4nnklsA%3D%3D&trk=flagship3_search_srp_jobs,Project Head of Civil Works,Siemens Energy,1 week ago,Full-time · Associate,"Karāchi, Sindh, Pakistan"
3,3,"Join Barrick at Reko Diq, Pakistan.

Barrick is a multinational mining company with 9 operating Gold Mines, 3 Copper Mines together with various exploration sites across the global.

Our Reko Diq Greenfields Copper project will be one of the largest Copper Mining operations in the world and we are searching for best-in-class people to join us.

This is a remote site location within the desolate areas of Balochistan.

Being Part Of The Project Team And Reporting Into The Engineering Manager - We Are Searching For a Project Engineer - Civil Works To

Lead civil engineering design of the Reko Diq project from feasibility through to project implementation. This includes defining and managing civil engineering works for owner managed components of the project.

Responsibilities
Management of civil works for early stage site establishment
Deliver supply input requirements to enable contract tender and management
Feasibility study leadership working with engineering partner for;
Site infrastructure including draining, roads, airstrip etc
Construction materials sourcing options review
Field management of construction geotechnical review program
Design specifications review and approval
Field location / geotechnical review and design input for major offsite infrastructure
Develop project plans, schedules and sequencing for relevant project elements to ensure proper planning of all civil related aspects of the project work
Drive value opportunities and quality review through detailed design and project implementation;
Role will report to the Engineering Manager as one of a team of engineering disciples
Skills / Qualifications
Degree in Civil Engineering
Experience working on project scoping and design of major infrastructure / facility projects
Experience working on major infrastructure / facility construction
Experience defining civil design specifications based on site conditions
Experience working in Pakistan
Barrick - becoming the world’s most valued gold and copper mining business.

Job

Capital Projects

Primary Location

Pakistan-Balochistan-Reko Diq

Unposting Date

Ongoing",https://www.linkedin.com/jobs/view/3120918700/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=ixk36nJ1Gf%2Bsy3Jq9vKZWw%3D%3D&trk=flagship3_search_srp_jobs,Reko Diq - Project Engineer - Civils,Barrick Gold Corporation,1 month ago,Full-time · Entry level,"Balochistan, Pakistan"
4,4,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?

Jumpstart your technical career in Trilogy's fellowship program. You'll receive unparalleled mentorship, growth opportunities, and career advancement in our two-year program. Work with the best and brightest minds in the software industry!

This is an exciting opportunity to tackle the most pressing problems in the industry, create innovative solutions for customers, and interact with senior executives. Unlike a lot of jobs, when we say entry-level, we mean it. No work experience required.

Perform breakthrough experiments utilizing the full power of cloud services, AI, and ML to tackle high-level business challenges. Receive regular training and feedback. And join an elite class of alumni who have launched careers as entrepreneurs, leaders, and influencers.

In less than 5 hours, you can complete all the application steps and interview directly with a senior executive. That's right! Instead of days or even weeks, land a full-time offer in hours, with a single interview!

It won't be easy, but there will never be a dull moment. Join us to jumpstart your career with the world’s top technical minds.

What You Will Be Doing
Exploring a new business problem every 6-8 weeks
Conducting research and interviewing stakeholders to understand the problem
Running weekly experiments – write code, review outcomes, debug, log learnings, and iterate
Delivering prototypes and deployments to customers
Meeting in person with members of your cohort twice a year in exciting global destinations
What You Won’t Be Doing
Doing repetitive tasks - no two problems are the same
Getting it right all the time - frequent feedback will enable you to fail fast and learn quickly
Working solo - work as part of a small team to tackle challenges
Graduate Engineer Key Responsibilities

Create clear, simple, technically-superior solutions to complicated problems

Basic Requirements
A degree in Computer Science, Engineering, or another technical field
Strong coding abilities in any language
Proven problem-solving skills and an ability to communicate clearly
Quick-learner who can work independently
Ability to start work in July 2022
About Trilogy

Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:
You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-4513-PK-Punjab-GraduateEngine.004",https://www.linkedin.com/jobs/view/3125329967/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=jKzbqhGR6wTnGAi%2FPayH8Q%3D%3D&trk=flagship3_search_srp_jobs,"Graduate Engineer, Trilogy (Remote) - $60,000/year USD",Crossover for Work,1 day ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
5,5,"Project Engineer (Electrical) will be a part of project execution team BU Transmission Solution in Karachi, which is responsible for execution and completion of Grid Stations projects in line with time, cost and quality requirements.

Project Engineer (Electrical) Support the Project Manager in the execution of the project to achieve completion of the agreed scope within agreed budget, time and accepted quality standards.
Prepare and update project plans and management plans. Ensure plans consider risks and include appropriate mitigations.
Actively communicates with all stakeholders and other project team members for resolution of project related issues
Co-ordinate with design team to deliver design as per clients' standards and specifications.
Analysis and management of project schedules from suppliers/contractors to ensure accuracy of project master schedule.
Monitor and prepare reports to management on project progress, cost and performance (incl contractors) against program and budget targets.
Ensure that project risks are identified, assessed and updated. Monitor and report to management on project risks and issues and its response plan.
Support Project Manager in arranging for the procurement of materials and external services associated with the projects.
Arrange for outages of the HV system in association with the Site Manager.
Provide advice, information, reports and submissions to achieve technical objectives.
Develop presentations on technical areas for stakeholder engagements and for internal project team.
Ensuring compliance with relevant financial requirements.
Support Project Manager in day-today contract management.
Support Site Manger with on-site inspections.
Monitor contractor performance (KPIs), prepare and issue summary status reports on contractor performance.
Assist with the development and implementation of plans to enable the effective administration of contracts.
Ensures compliance with Quality and EHS standards for all projects.
Performs according to the Company Business Conduct Guidelines and establishes a culture of trust and integrity.
Your Qualifications and Skills - Digital and Solid!

A degree in Electrical Engineering from a reputable university.
Have good knowledge, experience and understanding of design and construction of substations.
Minimum 10 years’ experience in execution of projects out of which at least 5 years of experience in execution of substation projects. Must have executed 1 project of 220kV level or higher.
Well-developed interpersonal, report writing and business reporting skills.
Good analytical and problem-solving skills.
Proficiency in MS Office
Good Proficiency in English (Verbal and Written)
Organization: Siemens Energy

Company: Siemens Pakistan Engineering Co. Ltd.

Experience Level: Experienced Professional

Job Type: Full-time",https://www.linkedin.com/jobs/view/3115279561/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=c789mw4ncKx6u1spBbAjtg%3D%3D&trk=flagship3_search_srp_jobs,Project Engineer,Siemens Energy,1 week ago,Full-time · Associate,"Karāchi, Sindh, Pakistan"
6,6,"Starting salary of 50,000 USD per annum in a zero-tax environment.

Fast progression for strong performers.

Job location: Dubai, UAE

About us:

Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.

Job Description

At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.

If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.

What We Offer In This Role
Competitive remuneration, with fast progression for strong performers.
A challenging but exciting, open, and fun work environment.
An opportunity to work with remarkably talented colleagues.
Vast growth potential in every aspect.
15% target bonus with further upside.
Employee share scheme participation
International relocation support
Opportunity to be embedded within a commercial team for those with strong commercial interest

Responsibilities
Write software applications and programs for backend/frontend purposes.
Analyse programs and apps to improve their features and functionalities.
Test & debug programs and fix any reported bugs.
Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.

Requirements
BS/BE in Computer Science/Computer Engineering/Electrical & Computer Eng.
Programming skills in Python language.
Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus.
Programming skills in Java is a plus.
Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc.
Strong knowledge of REST APIs and webservices.
Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.
Knowledge of NoSQL databases is a plus.
Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.
Ability to work in a team environment.
Strong problem-solving skills and analytical skills.
Resilience and a determination to succeed.
Independent thinkers with growth mindset.
Must be passionate, self-motivated, and able to learn quickly.
Strong sense of integrity.
Personal values that match our company values.",https://www.linkedin.com/jobs/view/3100607557/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=pIK6YyC%2BLvzXQ197s0cWxA%3D%3D&trk=flagship3_search_srp_jobs,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,1 month ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
7,7,"Starting salary of 50,000 USD per annum in a zero-tax environment.

Fast progression for strong performers.

Job location: Dubai, UAE

About us:

Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.

Job Description

At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.

If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.

What We Offer In This Role
Competitive remuneration, with fast progression for strong performers.
A challenging but exciting, open, and fun work environment.
An opportunity to work with remarkably talented colleagues.
Vast growth potential in every aspect.
15% target bonus with further upside.
Employee share scheme participation
International relocation support
Opportunity to be embedded within a commercial team for those with strong commercial interest

Responsibilities
Write software applications and programs for backend/frontend purposes.
Analyse programs and apps to improve their features and functionalities.
Test & debug programs and fix any reported bugs.
Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.

Requirements
BS/BE in Computer Science/Computer Engineering/Electrical & Computer Eng.
Programming skills in Python language.
Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus.
Programming skills in Java is a plus.
Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc.
Strong knowledge of REST APIs and webservices.
Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.
Knowledge of NoSQL databases is a plus.
Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.
Ability to work in a team environment.
Strong problem-solving skills and analytical skills.
Resilience and a determination to succeed.
Independent thinkers with growth mindset.
Must be passionate, self-motivated, and able to learn quickly.
Strong sense of integrity.
Personal values that match our company values.",https://www.linkedin.com/jobs/view/3075979632/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=3OyUoBLE7%2BsSEJu1%2FrxFgA%3D%3D&trk=flagship3_search_srp_jobs,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,1 month ago,Full-time · Entry level,"Gujranwala, Punjab, Pakistan"
8,8,"Starting salary of 50,000 USD per annum in a zero-tax environment.

Fast progression for strong performers.

Job location: Dubai, UAE

About us:

Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.

Job Description

At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.

If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.

What We Offer In This Role
Competitive remuneration, with fast progression for strong performers.
A challenging but exciting, open, and fun work environment.
An opportunity to work with remarkably talented colleagues.
Vast growth potential in every aspect.
15% target bonus with further upside.
Employee share scheme participation
International relocation support
Opportunity to be embedded within a commercial team for those with strong commercial interest

Responsibilities
Write software applications and programs for backend/frontend purposes.
Analyse programs and apps to improve their features and functionalities.
Test & debug programs and fix any reported bugs.
Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.

Requirements
BS/BE in Computer Science/Computer Engineering/Electrical & Computer Eng.
Programming skills in Python language.
Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus.
Programming skills in Java is a plus.
Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc.
Strong knowledge of REST APIs and webservices.
Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.
Knowledge of NoSQL databases is a plus.
Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.
Ability to work in a team environment.
Strong problem-solving skills and analytical skills.
Resilience and a determination to succeed.
Independent thinkers with growth mindset.
Must be passionate, self-motivated, and able to learn quickly.
Strong sense of integrity.
Personal values that match our company values.",https://www.linkedin.com/jobs/view/3075985077/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=htovRr5vt%2F10QwQwICbAjw%3D%3D&trk=flagship3_search_srp_jobs,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,1 month ago,Full-time · Entry level,"Faisalabad, Punjab, Pakistan"
9,9,"Starting salary of 50,000 USD per annum in a zero-tax environment.

Fast progression for strong performers.

Job location: Dubai, UAE

About us:

Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.

Job Description

At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.

If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.

What We Offer In This Role
Competitive remuneration, with fast progression for strong performers.
A challenging but exciting, open, and fun work environment.
An opportunity to work with remarkably talented colleagues.
Vast growth potential in every aspect.
15% target bonus with further upside.
Employee share scheme participation
International relocation support
Opportunity to be embedded within a commercial team for those with strong commercial interest

Responsibilities
Write software applications and programs for backend/frontend purposes.
Analyse programs and apps to improve their features and functionalities.
Test & debug programs and fix any reported bugs.
Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.

Requirements
BS/BE in Computer Science/Computer Engineering/Electrical & Computer Eng.
Programming skills in Python language.
Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus.
Programming skills in Java is a plus.
Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc.
Strong knowledge of REST APIs and webservices.
Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.
Knowledge of NoSQL databases is a plus.
Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.
Ability to work in a team environment.
Strong problem-solving skills and analytical skills.
Resilience and a determination to succeed.
Independent thinkers with growth mindset.
Must be passionate, self-motivated, and able to learn quickly.
Strong sense of integrity.
Personal values that match our company values.",https://www.linkedin.com/jobs/view/3075980419/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=vgp3eU%2FTYUYK7zmQECurbg%3D%3D&trackingId=iPpeEfPNPuwtmjZXGwzXSA%3D%3D&trk=flagship3_search_srp_jobs,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,1 month ago,Full-time · Entry level,"Peshawar, Khyber Pakhtunkhwa, Pakistan"
