,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Sara Sajid
Technical Recruiter | Career Advisor
Send InMail
Job Title: Sr. Manager Data Management & Data Science
Department: Digital Technologies
Location: Islamabad
Last Date to Apply: 15th June, 2022

Job Purpose:
To manage and lead the Data development team
Job Responsibilities:
Responsible for managing end-to-end project management tasks of the Data Development Team.
Mentoring and providing technical leadership to the team to reach team goals.
Helping and supporting senior management/stakeholders for assigned tasks.
Responsible for all big data development projects.
Understanding the customer business requirements and translating them to data models with a vision on how to implement a solution.
Responsible for designing big data development Architecture.
Coordinating with business stakeholders for the understanding of their requirements for data models.
Responsible for subject-oriented DWH plan and evolution, data model design and implementation.
Supporting advanced practices of data governance, including metadata management, data quality, data standard, etc.
Responsible for completing and updating the documentation of Roadmap, Projects, Solution Design documents, Business rules documents, application requirements documents.
Eligibility Criteria (Education, Knowledge, Experience and Skills):
Education:
Bachelor's degree or above in Computer Science and specialization in Data Design and Development will be a plus.
Work Experience:
Preferably around 10 Years’ experience of working in the Data Science, Data development, and BI/DWH domain and at least 5 years experience in a managerial role.
Skills – Generic:
Effective project management skills.
Should be passionate about data, information management, and its role for organizational decision making and performance boost.
Potential to achieve results with personal efforts and team coordination.
Ability to work in a challenging environment and sustain pressure.
Have a keen attention to accuracy, proficiency, and time management.
Good analytical skills and decision-making.
Effective communication and negotiation skills for dealing with technical and business alike.
Skills – Job Specific:
Strong experience in Project Management and Team Management.
Good understanding and experience of Data Development Management.
Design and development of DWH model, dimension table, fact table.
Experienced on Job scheduler, pre-processing, ETL structure program and ETL script.
Skilled on distributed platform, good understanding of distributed protocol and mechanism.
Sound understanding of Telecom and cellular business.
Understanding of BI & DWH solution development methodology and in general System Development Life cycle.
Hands-on experience in developing and managing large Analytical Datamart.
Ability to provide quick and accurate solutions to address critical business needs for information and insights of business stakeholders.
Should have the skills for managing small and Complex change(s).
Strong expertise in writing SQL, shell, python, perl, etc.
Good understanding of domain-driven design.
Rich experience in data development tools and technologies (e.g. Teradata, SPSS, Hadoop, Spark).
Skilled in data governance, including metadata management, data quality, data standard, etc.",https://www.linkedin.com/jobs/view/3099436619/?eBP=CwEAAAGBh2mEtkSQ5KaFhdlWnnhnhHUBJLD_2yHZQMyJV-Ku5RWnnQ-91hLFmbcnPPZu3_ipVq6D1jbzwpgwUY8oDP_q2UMVjpBLy-2fqZusU7gOZVHy28Do3Bgk7NINVKAeud0JcpcGRaPkJSbJyo-WJKK-xMqDRVOOJW2TwldjbV77a_SNQ4u59nQA2yFYWI92CaSukvKKQ4cpx6COexJdouMZ9CIz0o2UnwnX3lc5Uqwu7WzeRs68puYANphSEsYW34MEGb0bTbDWB3WykZpbuwgMA0rs_ljVBhnGCDK3ctyHys5zQP3y6QkGnIJQX96OrbdTEcB0PruU_e9DyUzYIa3jucR_4kkw0umgTV5q8xutQFwZnqWkiFnJMDQGsts&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=kqjOKScl%2BC5aREEmT9T9Ag%3D%3D&trk=flagship3_search_srp_jobs,Sr. Manager Data Management & Data Science | Digital Technologies,Zong CMPak Ltd,3 weeks ago,Full-time · Mid-Senior level,"Islāmābād, Pakistan"
1,1,"Posted by
Danish Zahid
Founder | Entrepreneur | iOS | Asp.Net
Send InMail
Data Analyst Lead / Business Intelligence Lead

What you will do

You design analytics data structures and custom events (user behavior, financial) for e-commerce applications (mobile, web)
You design efficient events flow and define metrics and KPls for e-commerce data
You verify the implementation of events on the client side (mobile/web)
You monitor data and make queries, reports and dashboards using our analytical platforms
You connect databases to our analytical platforms
You verify the implementation of analytical and marketing platforms specially push notification automation

Who you are

You studied statistics, computer science, mathematics or similar
You have excellent e-commerce analytical skills and like to use these on Python and SQL
You have experience working with analytical platforms like Mixpanel
You have experience working with marketing platforms like Adjust, OneSignal
You have experience working with databases like MongoDB, MySQL
You can communicate in English as well
You have experience in handling reporting packages like Business Objects, programming (Javascript, XML, or ETL frameworks), databases
You can Adept at using data processing platforms like Hadoop and Apache Spark
Problem-solving skills
Accuracy and attention to detail
Adept at queries, writing reports, and making presentations
Team-working skills
Verbal and Written communication skills

Responsibilities:

Using automated tools to extract data from primary and secondary sources
Removing corrupted data and fixing coding errors and related problems
Developing and maintaining databases, data systems — reorganizing data in a readable format
Performing analysis to assess quality and meaning of data
Filter Data by reviewing reports and performance indicators to identify and correct code problems
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.
Analyzing local, national, and global trends that impact both the organization and the industry
Preparing reports for the management stating trends, patterns, and predictions using relevant data
Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications, and devise data governance strategies.
Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.

Another integral element of data analyst job description is EDA or Exploratory Data
Analysis Project. In such data analyst projects, the analyst needs to scrutinize data to recognize and identify patterns. The next thing data analysts do is use data modeling techniques to summarize the overall features of data analysis.

Additional advantages

Design and implement recommender systems.
Advanced knowledge in predictive analytics.
Experience in growth marketing and digital marketing.
Experience in user behavior analysis, business analytics, and feature adoption analysis.
Familiarity with Zoho analytics, Google analytics, Google Data Studio, and BigQuery.",https://www.linkedin.com/jobs/view/3132778404/?eBP=JOB_SEARCH_ORGANIC&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=stlmw8YUbhxPt64CVZuFsA%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,AppRoots,1 day ago,Full-time,"Gujranwala, Punjab, Pakistan"
2,2,"Country

Pakistan

Job Family

Operations

For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every consumer’s life - and we will continue to build on this. We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media. With our headquarters in Germany and a presence in around 60 countries worldwide, you benefit from our global company with a diverse community of ~9,000 employees.

Harnessing the power of our workforce, the greatest asset we have is our people. As part of GfK, you can take your future into your own hands. We value talent, skills and responsibility and support your development within our international teams. We are proud of our heritage and our future: Currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology. This is only possible with extraordinary people and this is why we are looking for YOU to help create our future. For our employees as well as for our clients we pursue one goal: Growth from Knowledge!

Job Description

Required Personal Skills and Competences:
Fast Learner
Presentation skills
Research and Report writing skills
Problem solving and decision-making skills
Professional and positive approach
We are an ethical and honest company that is wholly committed to its clients and employees. We are proud to be an inclusive workplace for all and are committed to equal opportunity in employment which focuses on all of our employees reaching their full potential. At GfK we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours.

We offer an exciting work environment that brings people together. We encourage an entrepreneurial and innovative spirit. We make use of the latest digital technologies. We are looking for self-starters, who accept challenges and create solutions.

Can there be a better place to take center stage in the digital revolution? We are excited to get to know you!",https://www.linkedin.com/jobs/view/3123431510/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=KN0BFEQ6a%2B%2Ff%2B3jjsiVUcA%3D%3D&trk=flagship3_search_srp_jobs,Associate Data Processing Engineer,GfK,4 weeks ago,Full-time · Associate,"Karachi Division, Pakistan"
3,3,"566049BR

Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

We’re looking for a real-world problem solver with the technical savvy to make the impossible, possible. As a Artificial Intelligence resource, you’ll be a part of client-facing teams to help businesses change the way they work, finding solutions to major challenges by translating system requirements into the design and development of customized systems in an agile environment.

You’ll help design, develop, and integrate solutions using future-looking technologies, techniques, and products our clients demand today. We prioritize ongoing learning, development of consulting and/or technical skills, and continuous personal growth, all grounded in a culture of coaching and apprenticeship.

Work with developers to design algorithms and flowcharts
Understand client requirements and how they translate in application features
Design creative prototypes according to specifications
Write high quality source code to program complete applications within deadlines
Perform unit and integration testing before launch
Conduct functional and non-functional testing
Troubleshoot and debug applications
Evaluate existing applications to reprogram, update and add new features
Develop technical documents and handbooks to accurately represent application design and code

Required Technical and Professional Expertise

At least 1 to 2 years of experience in Artificial Intelligence.
Experience in designing and building applications
Ability to program in at least one programming language such as Python, Java, R etc.
In-depth knowledge of programming for diverse operating systems and platforms using development tools
Knowledge of IBM Watson assistant will be a big plus.
Previously development experience of a chatbot will be plus.
Understanding of NodeJS will be plus.
Excellent understanding of software design and programming principles.
A team player with excellent communication skills
Analytical thinking and problem-solving capability
Great attention to detail and time-management skills
BSc/BA in computer science or relevant field

Preferred Technical And Professional Expertise

N/A

About Business Unit

IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",https://www.linkedin.com/jobs/view/3128672897/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=DvMtfV9%2BA5jZEijYrQJw5w%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist-Artificial Intelligence,IBM,18 hours ago,Full-time,"Islamabad, Islāmābād, Pakistan"
4,4,"Position

Data Engineer

Experience

3+ Years

Job Description

This role is responsible for the development and implementation of data warehouse solutions for company-wide application and managing large sets of structured and unstructured data. The candidate will be expected to analyze complex customer requirements and work with data warehouse architect to gather, define and document data transformation rules and its implementation. Data Engineers will be expected to have a broad understanding of the data acquisition and integration space and be able to weigh the pros and cons of different architectures and approaches.

You will have a chance to learn and work with multiple technologies and Thought Leaders in the domain.

Responsibility
Translate the business requirements into technical requirements
ETL development using native and 3rd party tools and utilities
Write and optimize complex SQL and shell scripts
Design and develop code, scripts, and data pipelines that leverage structured and unstructured data
Data ingestion pipelines and ETL processing, including low-latency data acquisition and stream processing
Design and develop processes/procedures for integration of data warehouse solutions in an operative IT environment.
Monitoring performance and advising any necessary configurations & infrastructure changes.
Readiness to travel to customer sites for short, medium or long-term engagements.
Create and maintain technical documentation that is required in supporting solutions.
Skills And Qualifications
S. / M.S. in Computer Sciences or related field
Hands on experience with DataStage.
Good programming experience with Python and PySpark
Experience with Tivoli, Unix and Azure DevOps is highly desirable.
Strong RDBMS concepts, SQL development skills and Teradata Technology.
Knowledge of data modeling and data mapping
Experience with Data Integration from multiple data sources
Good Data warehouse & ETL concepts
Understanding of one or more business areas and industries Telecom, Retail, Financial etc.
Good knowledge of Big Data technologies such as Pig, Hive, Spark, Kafka, Nifi
Experience with NoSQL databases, such as HBase, Cassandra, MongoDB
Experience with any of the Hadoop distributions such as Cloudera/Hortonworks
Experience on any of one development or scripting languages e.g. Java or Groovy
Good understanding and basic working experience with at least one cloud service provider AWS, Azure or Google Cloud and with their native tools.
Good understanding of Agile delivery methodologies.
Solid understanding of DevOps technology stack and standard tools/practices like Linux, Dockers, Jenkins & Git etc.
Training/Certification on any Hadoop distribution will be a plus.
Good communication and analytical skills
Ability to work in a dynamic and collaborative team environment, demonstrating excellent interpersonal skills
Our Company

Teradata is the connected multi-cloud data platform for enterprise analytics company. Our enterprise analytics solve business challenges from start to scale. Only Teradata gives you the flexibility to handle the massive and mixed data workloads of the future, today.

The Teradata Vantage architecture is cloud native, delivered as-a-service, and built on an open ecosystem. These design features make Vantage the ideal platform to optimize price performance in a multi-cloud environment.",https://www.linkedin.com/jobs/view/3134215032/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=i7ZjwD8qyPtgkTkQNN799A%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Teradata,4 hours ago,Full-time · Mid-Senior level,"Islamabad, Islāmābād, Pakistan"
5,5,"Country

Pakistan

Job Family

Operations

For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every consumer’s life - and we will continue to build on this. We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media. With our headquarters in Germany and a presence in around 60 countries worldwide, you benefit from our global company with a diverse community of ~9,000 employees.

Harnessing the power of our workforce, the greatest asset we have is our people. As part of GfK, you can take your future into your own hands. We value talent, skills and responsibility and support your development within our international teams. We are proud of our heritage and our future: Currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology. This is only possible with extraordinary people and this is why we are looking for YOU to help create our future. For our employees as well as for our clients we pursue one goal: Growth from Knowledge!

Job Description
To produce quality product data as per daily targets
To remove errors in product data and get it QC passed
To follow product extraction standards during production as based on GfK standards
To suggest improvements in product data development
To help and maintain a positive working relationship with team members.
To gain expertise in product category to a level where he/she can impart training to other fellow DPEs
Monitor Defect Rate of Production in assigned categories
Any special tasks/projects as assigned by the lead/manage
We are an ethical and honest company that is wholly committed to its clients and employees. We are proud to be an inclusive workplace for all and are committed to equal opportunity in employment which focuses on all of our employees reaching their full potential. At GfK we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours.

We offer an exciting work environment that brings people together. We encourage an entrepreneurial and innovative spirit. We make use of the latest digital technologies. We are looking for self-starters, who accept challenges and create solutions.

Can there be a better place to take center stage in the digital revolution? We are excited to get to know you!",https://www.linkedin.com/jobs/view/3121195569/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=Sc1mNX8gpDCAxyp8ShV32w%3D%3D&trk=flagship3_search_srp_jobs,Associate Data Processing Engineer,GfK,1 month ago,Full-time · Associate,"Karachi Division, Pakistan"
6,6,"GEI is an inclusive global partnership committed to country-owned, sustainable M&E frameworks and capacities to promote the use of evidence in public decision-making, enhance accountability, and achieve better development results. Centre for Economic Research in Pakistan (CERP) is GEI’s Implementing partner in Pakistan and Central Asia. CERP had been an affiliate of CLEAR SA since 2011 and is now transitioning into becoming an affiliate of GEI. CERP’s mission is to improve decision-making in Pakistan and its surrounding region through evidence-based research, survey, analytics, executive education, and advisory services while engaging with policy counterparts with real policy challenges and designing and advising on high impact reforms based on data.

Key Duties and Responsibilities
The research associate recruited under this program will be assigned to the different verticals of CERP. Following will be the tasks they will require to perform:
· Work like a team member, aiding the vertical with technical and operational day to day support.
· Design a strategy to identify and conduct primary research with 1-2 key government ministries and/or departments to use as input for the Monitoring and Evaluation Systems Analysis (MESA) diagnostic tool, developed by GEI to help analyze countries’ national M&E systems, for 2-3 identified sections.
· Use primary research for MESA as input to design government relevant case studies which can be used as teaching aid for M&E trainings deployed by CERP at the national, and international level.
· Assist the Executive Education team in development of content and operations of M&E trainings.
· Work on a project of data collection on healthcare from hospitals in 15 largest cities of Pakistan. They will also be part of a consumer survey launch to assess the needs for healthcare services. The YEEs will need to look at the in coming data, do a descriptive analyze and feed that into next round of qualitative data.
· Depending on the capability of the YEE there will be an opportunity to deep dive into data and also contribute to field activity (focus group discussions-FGDs, in-depth interviews-IDIs) and then analyze the learning from the field. The RA will be required to contribute to writing of the final report.
· YEE will have the opportunity to participate and attend various M&E training programmes offered by CERP as well as participate in GEI-related events.
Eligibility and Selection Criteria
· Interest in the field of monitoring and evaluation
· A graduate (master’s) degree or in the final year of completing master’s program, with no more than three years of evaluation experience
· Pursuing a degree in a related field (i.e., public policy/administration, sociology, international development, economics, Political science etc.)
· Fluency in English and Urdu
· Strong qualitative and quantitative data analysis skills
· Strong writing and communication skills
· Strong at stakeholder management at the government level and be willing to travel to different cities for conducting interviews/focus group discussions with relevant stakeholders

Application
Submit a detailed and updated CV with at least 2 references
A motivation letter explaining “how do you expect this YEE program will boost your M&E career”
A transcript of the Master’s degree
Complete applications should be emailed by 23rd June ‘22 to amna.aaqil@cerp.org.pk and cc’d to anam.shoaib@cerp.org.pk
Please mention “Application: GEI & CERP Research Associate” in the email subject.

Please note that late submissions will not be accepted, and only shortlisted applicants will be contacted for interviews within a week of their submission, if not been contact within a week, then know that your CV has not been shortlisted",https://www.linkedin.com/jobs/view/3129169993/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=7CPFIuKxInmqO83URGXYKA%3D%3D&trk=flagship3_search_srp_jobs,GEI & CERP Research Associate,Centre for Economic Research in Pakistan (CERP),1 hour ago,Contract · Associate,"Lahore District, Punjab, Pakistan"
7,7,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 countries and territories, we work for every child, everywhere, every day, to build a better world for everyone.

And we never give up.

For every child, a safe home!

Pakistan was the sixth country in the world to sign and ratify the Convention on the Rights of the Child, less than one year after it was adopted by the United Nations General Assembly in 1989. However, children and adolescents living in Pakistan still face acute challenges.

UNICEF supports the Government of Pakistan to accelerate progress for children, work to achieve the Sustainable Development Goals (SDGs) and help children realize their rights under the Convention on the Rights of Children. This will be made through, among others things, strong partnerships with provincial authorities, teachers and health professionals, frontline workers and social mobilisers, communities and families, and of course the children and adolescents themselves.

In Particular, UNICEF Will Work So That
Every child survives and thrives -- being in good health, immunized, protected from polio and accessing nutritious food.
Every child learns.
Every child is protected from violence and exploitation and registered at birth.
Every child lives in a safe and clean environment, with access to safe drinking water and adequate sanitation.
To learn more about UNICEF’s work in Pakistan, please visit the country website www.unicef.org/pakistan and videos on YouTube and Vimeo

How can you make a difference?

The social policy is a new section in UNICEF Pakistan country program. The program focuses on supporting implementation of child rights through policy advocacy, capacity development and evidence generation on child poverty, public finance for children PF4C and social protection. The proposed incumbent is expected to support UNICEF’s strategic thinking and engagement with government partners for advancing equity and quality of basic social services for all children through improved public finance and governance in Punjab region. The consultant will liaise closely with provincial department and officials for smooth implementation of work plan and strategic priorities for social policy program. The consultant will also work closely with all sector teams, Chief of Field Office and Islamabad team.

In view of this, Social Policy section intends to hire a short term consultant to provide technical support to i) policy level coordination and convening with Govt. counterparts mainly P&D, Finance and other Depts.; ii) support design of capacity building and advocacy initiatives on PF4C related initiatives; iii) support policy coordination and evidence building on social protection systems; and iv) Assist the section in generating research based policy papers and secondary data analysis in light of COVID-19 pandemic.

More Specifically, The Incumbent Is Expected To Support Following Key Areas

The incumbent shall seek strategic guidance from Chief Social Policy and Chief Field Office to perform strategic functions and work closely with Social Policy Officer for execution of work plan.
Improving use of public financial resources for children
Strengthening social protection coverage and impact for children in the context of COVID-19
Improve data on child poverty & vulnerability for increased use for policy and programming action in light of COVID 19
To make a difference, you will be accountable for the following tasks and deliverables:

Tasks
Organize inception discussion with P&D, Finance Dept. and OPM to review and roll out PF4C study for 2021/22;
Support implementation of PF4C capacity development plan for Punjab province;
Facilitate organizing of PF4C training for stakeholders;
Organize and execute advocacy meetings with Government Departments, Members of Provincial Assembly using results from the PF4C analysis;
Develop at least two policy briefs on PF4C in Punjab based on the PF4C analysis study;
Support EPRI to engage with social protection stakeholders for participation in social protection scoping mission;
Support coordination efforts of SP Islamabad team with P&D to kick start child poverty analysis;
Support SP Islamabad team and CFO in smooth implementation of SP Punjab work plan; and
Liaison and coordinating with BoS on data generation activities including MICS+, EP/DP profiles.
Deliverables
Meeting Organized with clear meeting minutes and action points prepared and signed by Secretary P&D
Draft capacity development plan prepared;
Training event organised and report prepared;
Advocacy events organised and conducted on PF4C;
At least two policy briefs;
At least1 events organized;
Activity reports prepared;
Study initiated with support of OPHI;
At least 2 Quarterly progress reports submitted; and
Meeting minutes and data products produced.
To qualify as an advocate for every child you will have…
An advanced university degree (Master’s or higher) in one of the following fields is required: Economics, Public Policy, Social Sciences, International Relations, Political Science, Statistics/Economics, or another relevant technical field. (Development Studies, Economics, Public Policy, Social policy, Anthropology, Political science, International Relations)
A first University Degree in a relevant field combined with 2 additional years of professional experience may be accepted in lieu of an Advanced University Degree.
A minimum of 4 years of relevant professional experience in the field of data, social policy, public finance and research in development sector with advance degree
Excellent understanding of public and private sector landscape at federal and provincial level.
Demonstrated experience of working with public sector stakeholders i.e. Planning and Development Dept., Ministry Finance and other Depts.
Experience of managing policy level researches and analytical projects
Excellent experience of policy level coordination and presentation within range of stakeholders
Demonstrated experience in working with multiple stakeholders across CSOs, government and civil society in the areas of research and evaluation
For every Child, you demonstrate…
UNICEF’s core values of Care, Respect, Integrity, Trust and Accountability and core competencies in: Demonstrates Self Awareness and Ethical Awareness; Works Collaboratively with others; Builds and Maintains Partnerships; Innovates and Embraces Change; Thinks and Acts Strategically; Drives to achieve impactful results and Manages ambiguity and complexity. View our competency framework at: Here
UNICEF is committed to diversity and inclusion within its workforce, and encourages all candidates, irrespective of gender, nationality, religious and ethnic backgrounds, including persons living with disabilities, to apply to become a part of the organization.
UNICEF has a zero-tolerance policy on conduct that is incompatible with the aims and objectives of the United Nations and UNICEF, including sexual exploitation and abuse, sexual harassment, abuse of authority and discrimination. UNICEF also adheres to strict child safeguarding principles. All selected candidates will, therefore, undergo rigorous reference and background checks, and will be expected to adhere to these standards and principles.
Note
Estimated Duration: 6 months, estimate starting date: 15 June 2021
The consultant will be based in Lahore
The consultancy is at NOB equivalent level.
Applicants are requested to submit a financial quotation indicating monthly fee as part of the application against each deliverable.
HEC Attested and verified degrees are a pre-requisite for employment at UNICEF. Candidates will be required to present attested and verified degrees.
At the time the contract is awarded, the selected candidate must have in place current health insurance coverage.
Remarks

Only shortlisted candidates will be contacted and advance to the next stage of the selection process.

Individuals engaged under a consultancy or individual contract will not be considered “staff members” under the Staff Regulations and Rules of the United Nations and UNICEF’s policies and procedures, and will not be entitled to benefits provided therein (such as leave entitlements and medical insurance coverage). Their conditions of service will be governed by their contract and the General Conditions of Contracts for the Services of Consultants and Individual Contractors. Consultants and individual contractors are responsible for determining their tax liabilities and for the payment of any taxes and/or duties, in accordance with local or other applicable laws.",https://www.linkedin.com/jobs/view/3111645627/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=BHC8%2Fghun3gZLSSuXLs8Dg%3D%3D&trk=flagship3_search_srp_jobs,"National Consultancy: Public Finance and Social Protection Consultant, Lahore, Pakistan, # 540259, 6 months (For Pakistani Nationals only)",UNICEF,1 week ago,Contract,"Islamabad, Islāmābād, Pakistan"
8,8,"URGENT HIRING (DATA ENGINEERS)

Responsibilities:

● Must have Hands on Experience in Aws Services (EMR, S3, Redshift, Lamda) PySpark, Apache Airflow, Python

● Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity.

● Collaborates with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization.

● Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.

● Writes unit/integration tests, contributes to engineering wiki, and documents work.

● Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.

● Works closely with a team of frontend and backend engineers, product managers, and analysts.

● Designs data integrations and data quality framework.

● Designs and evaluates open source and vendor tools for data lineage. ● Works closely with all business units and engineering teams to develop strategy for long term data platform architecture

Timings: 2 PM to 11 PM

Working Days: Mon to Fri

Experience: minimum 1 - 4 years

Location: Johar Town, Lahore",https://www.linkedin.com/jobs/view/3135657394/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=Ix%2BqiHcWKWrt9f5LlHXU%2FQ%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,nowasys,23 hours ago,Full-time,"Lahore, Punjab, Pakistan"
9,9,"Site Name: Pakistan - Sindh - Karachi

Posted Date: Jun 21 2022

Responsibilities
Builds and maintains business intelligence processes to support end to end planning e.g. build supply plans that satisfies market requirements, making sure product availability on right first time
Provides scenario modelling / run RCCP (Rough Cut Capacity Planning) to support supply chain planning teams and the Regional Supply Chain Planning Manager.
Produces KPI reports for the region, and works with supply chain contacts e.g. CMO’s, sites, markets, demand team and move product to get required data and provide validation.
Review SOLS (Stock Out Low Stock) exception messages and identify resolutions
To support in preparing daily analytical files.
To support supply planners in automation of work/ prepare dashboards for analysis
Being accountable for keeping system parameters updated.
Preparation and facilitation of SRM meetings with regional sites.
Education

Education: Bachelor of Engineering / Bachelor of Supply Chain

Skills: Supply Planning, Data Analysis, Microsoft Excel, SAP-APO/ECC experience will be an added advantage

Experience: 1 – 2 years of experience in supply chain management

Contact Information

You may apply for this position online by selecting the Apply now button.

Important notice to Employment businesses/ Agencies

GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.",https://www.linkedin.com/jobs/view/3134210170/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=eiZWQVogRU25vCVO2Q5KqA%3D%3D&trackingId=zwuUpJzkOHvoIp8hgv2n7w%3D%3D&trk=flagship3_search_srp_jobs,Project Trainee (Engineering/Supply Chain),GSK,4 hours ago,Full-time,"Karāchi, Sindh, Pakistan"
