,job_descriptions,job links,job titles,Posted By
0,"Posted by
Maria Aleem Assoc. CIPD
Talent Acquisition @ Daraz | x - Abacus Consulting | x - Yunus brothers | x- HRSGlobal
Send InMail
About Daraz
Launched in 2012, Daraz is South Asia's online shopping and selling destination of choice – present in Pakistan, Bangladesh, Sri Lanka, Myanmar and Nepal. Supported by a wide range of tailored marketing, data, and service solutions, the pioneering e-commerce ecosystem in South Asia has 30,000 sellers and 500 brands, serving 5 million consumers. With 2 million products available, Daraz offers a diverse assortment of products in categories ranging from consumer electronics to household goods, beauty, fashion, sports equipment, and groceries. Focused on providing an excellent customer experience, it offers multiple payment methods including cash-on-delivery, comprehensive customer care and hassle- free returns. Daraz is owned by Alibaba Group Holding Limited.

At Daraz, we believe in chasing hard towards big goals. By 2022, we have six aspirations to lead Pakistan into the digital era:
1) As the market leader, we will continue to drive 100%+ annual growth of the e-commerce market for the next 4 years.
2) Reach 200,000 active Daraz sellers (all educated through Daraz University).
3) Engage 25 million Daraz users monthly by being relevant, convenient and service-minded.
4) Create 1 million jobs for marketplace participants.
5) Fully digitalize the logistics ecosystem with real-time visibility for customers regardless of location.
6) Introduce digital payments to 10 million new customers.
Location: Karachi

Job Description:
Work with Daraz Search team to identify potential issues in Search and develop solutions for them.
Use predictive modeling to increase and optimize customer experiences, revenue generation, conversion rate and other business KPIs.
Assess the effectiveness and accuracy of Search algorithms and analyse the target metrics.

Requirements:
At-least 2 years of experience in Data Science, NLP (Natural Language Processing) and deep learning techniques with focus on information retrieval.
Strong knowledge of a variety of natural language processing techniques (bag of words, Text Embeddings, etc.) and their real-world advantages/drawbacks.
Experience in querying databases and using statistical computer languages: SQL, Python
Coding knowledge and experience with several programming languages: Java, C++


Qualification:
Must have Bachelor's degree in Computer Science, Masters preferred
Fluent in English to communicate with stakeholders
At-least 1 year of professional experience
Experience working with and creating data architectures and data pipelines.
A drive to learn and master new technologies and techniques.



Our Offer:
International working environment in a start-up setting, and a unique opportunity to learn from the best in e-commerce (Alibaba Group) and business growth
Rigorous training and exposure in team management, leadership, business analytics, and operations
An opportunity to train the next generation of business leaders in the ‘tech’ industry",https://www.linkedin.com/jobs/view/3040833899/?eBP=CwEAAAGAqzaUxnMGYEYRZ56zJ2fFyzhPVqh75d6q0E8AkGApyDCxlCj6hj7EKeCIfgkv-jItV2zCGFesM1-FtwwXB3wo8sjO3j1lmR9OwNIO2Gs-IDingIjqudDc_MBABA4F7GcnMe7beh8sNoS7Wlu5HlBPKR375tyxrO47sPMLnfbARWj2maTNU58kUghmJNBb6vM18GfgpCQNN1sUplEFGFiNToCbsYnCGAJi0kdgGd6--TDuCDZuG2cYKAalv1RaqFhFILjXS85MqRVbm93qx8YRBv77DeBOhKar9A2X8hcUNyorxMl559k7cwRhPFJwri-ERLJyc3HnvtZjufpfN9g&recommendedFlavor=SCHOOL_RECRUIT&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=OE%2BYf71n%2Fzw3Aulo5w9RoQ%3D%3D&trk=flagship3_search_srp_jobs,Senior Data Scientist,Daraz
1,"Organization Teradata GDC

Location Islamabad, Pakistan.

Position Title Data Scientist

Department Data Science

Position Overview

Teradata GDC is looking to add dynamic new members to our Data Science team. We design, develop & deliver Data Science, Machine Learning and Artifical Intelligence solutions addressing real-world business problems for our global clients in domains as diverse as Retail, Finance, and Healthcare to Oil & Gas, Hospitality and Telecomunications. These solutions incorporate cutting edge ML and AI tools with our best in class cloud analytics platform Vantage.Interested candidates should have good analytical skills, business understanding, above average communication skills and an understanding backed by experience of DWH and Cloud concepts.

Job Specification

Successful candidates will -
Engage with Teradata account teams and prospective customers to analyze and understand customer requirements.
Work directly with prospective customers’ technical and business teams to devise and recommend solutions based on the understood requirements.
Work on POC and Pilot Projects to showcase the benefits of Advanced Analytics and Big Data Technologies to customers.
Use Analytical tools and Deep Learning frameworks; like SAS, Python, R, DeepStream, TensorFlow, AzureML etc., to deliver the required analytics solutions
Comfortable with hands-on data wrangling and number crunching skills to develop the right insights
Present findings to IT and Business stakeholders.
Actively participate in brainstorming sessions to come up with possible solutions/analytics.
Candidate Profile
Minimum Bachelor’s Degree in Computer Science
3+ years’ experience in data driven field (e.g. BI, DWH, Analytics etc.).
Hands on experience with programming languages (e.g. R, Python, Java, etc.)
Comfortable with and experience using SQL.
Familiarity with Statistical concepts. In-depth understanding is a plus.
Familiarity with Machine Learning concepts. In-depth understanding is a plus.
Exposure to Artificial Intelligence and Deep Learning is a plus
Ability and willingness to learn.
Very strong analytical skills.
Experience in data analysis is a plus.
Good communication skills.
Ability to independently manage critical situations.
Team player.
Business understanding for at least one field.
Story building skills.
Our Company

Teradata is the connected multi-cloud data platform for enterprise analytics company. Our enterprise analytics solve business challenges from start to scale. Only Teradata gives you the flexibility to handle the massive and mixed data workloads of the future, today.

The Teradata Vantage architecture is cloud native, delivered as-a-service, and built on an open ecosystem. These design features make Vantage the ideal platform to optimize price performance in a multi-cloud environment.",https://www.linkedin.com/jobs/view/3043442764/?eBP=CwEAAAGAqzaUxgLJ41eqI4MigMmyJ-bIj5SJLGJyKKgp2bwR9neW2x4brioe1aQk0c_YAL6cqJhYmHOC0W8rVbz7rCOmum05ZQU2NpN8TJYDtgzWRG_ZniEk-rV8sLucf11rZpSfrmTwXr3v2_bEjmJAJL85AyLo_VAivx9uZU0D22m8ukIBi1ioaBKNxicnuJn1yUUvhpWoON4GzzE4oNYLiBHTdImkKmwRKE5XdCI9EjSFDUVRqRKCfmOg0EJKs6-yVOCmPaoIBhTPen_5nulN_diZ0FJc4rRipS53gj06g_E7pEzZBc5r5DpkjgHWEoQhrh6tfhQEKS6RTMNNX1UnHKx9bz5nT1CRy88PTrAwVo02wsy0dB3cJO5yS5qa&recommendedFlavor=SCHOOL_RECRUIT&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=PvKGu%2Fze13UQiFWD48Uupw%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Teradata
2,"About Daraz:

Daraz is South Asia's leading online shopping and selling platform present in Pakistan, Bangladesh, Sri Lanka, Myanmar and Nepal (headquartered in Singapore). We currently operate an ecosystem of ~70,000 sellers serving 30 million active users (MAU) with more than 50 million listed products.

In May 2018 Daraz was acquired by Alibaba Group, and we are proud to carry our part of the mission to 'make it easy to do business anywhere'. As part of the Alibaba ecosystem, we are leveraging Alibaba’s global leadership in technology, online commerce, mobile payment and logistics to drive growth in our markets. Together with Alibaba, we are ready to empower entrepreneurs in the region and to offer our customers the best selection of products with a high level of convenience.

Our organization is characterized by young and smart talent with lots of energy and initiative. We are extremely performance-oriented and believe in letting the best people and ideas grow - regardless of seniority. Our management philosophy is based on an equal balance of ‘managing’ and ‘empowering’. We’ll give you the freedom and tools to bring your absolute best, and the opportunities will be limitless.

We operate a matrix organization where cross-regional specialist teams support the country management. It is therefore, critical that you are agile and work well with other teams.

Job Description:

Work with Daraz Search team to identify potential issues in Search and develop solutions for them.
Use predictive modeling to increase and optimize customer experiences, revenue generation, conversion rate and other business KPIs
Assess the effectiveness and accuracy of Search algorithms and analyze the target metrics.

Technical Requirements:

3+ year of experience in NLP (Natural Language Processing) and deep learning techniques with focus on information retrieval.
Strong knowledge of a variety of natural language processing techniques (bag of words, Text Embeddings, etc.) and their real-world advantages/drawbacks.
Experience in querying databases and using statistical computer languages: SQL, Python
Coding knowledge and experience with several programming languages: Java, C++

Qualification / Eligibility Criteria:

Bachelor's degree in related domain, Masters preferred
3+ year of professional experience in data science domain
Experience working with developing data pipelines, machine learning models and deployments of algorithms.
A drive to learn and master new technologies and techniques.

What we offer:
1. International working environment in a start-up setting, and a unique opportunity to learn from the best in e-commerce (Alibaba Group) and business growth.
2. A platform to learn from Alibaba’s world-leading ecosystem
3. Rigorous training and exposure in team management, leadership, business analytics, and operations.
4. An opportunity to train the next generation of business leaders in the ‘tech’ industry.
5. Competitive salary and incentive package
6. Health & life insurance
7. Relocation support (if applicable)",https://www.linkedin.com/jobs/view/3015555613/?eBP=CwEAAAGAqzaUxnQnUyhrERo6uMDIeNwGT8bu01G8oXY2d5MlD0XtH57Fo7gOGmoZ8k8fLo-6nQgj-ppUmKDgURSIfr0q7PksI4a4y6kgiMgRvuSMYMO9ouXuYQxyOIJNi6TUpWz5pKY2Fqc25z302fDgPFATSnai_LvN2rLvgqYh2Dnbhu-uubjSAyESM0Y3ln0nXPOpfslYZqO3SJLVeRCH3aa5roNf5vZJrbp4qkcSjdJJoCgmfQpkuYaY8XT046N3eX3vePzmryiUeapX-_rIwuAAyQi8UXoFoePsv9OP2y3yKJ0ucJYmiObgdSJP3VRoXjgp_wOgFx3gOvkxOf90xYxCg909M5oJhBZaMHPUngG4PeKwopZKTDQtojqg9f4&recommendedFlavor=SCHOOL_RECRUIT&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=JiN3uCeOtDk0u5Oh6mciFQ%3D%3D&trk=flagship3_search_srp_jobs,Senior Data Scientist,Daraz
3,"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Responsibilities:
Responsible for the research and implementation of related algorithms in the fields of task-based dialogue, open domain QA , and customer service Chatbot;
Responsible for work related to natural language processing, including but not limited to text classification, NER, semantic understanding, dialogue management, text generation, knowledge graph, text recommendation, etc;
Have the ability to use cutting-edge technology to solve practical problems;

Requirements:
Rich experience in NLP, including question answering systems, search systems, knowledge graphs, etc.;
Proficient in at least one programming language, such as C/C++, Java, Python, etc.;
Familiar with the principles of general machine learning algorithms, and use TensorFlow, Torch, Caffe and other deep learning frameworks;
A solid and good foundation in mathematics, good English reading ability;
Good tracking of international cutting-edge technology, proficient in reading English documents of international conferences and journals and applying them to engineering practice;
Have a sense of teamwork and cooperate well with others;

Working at Binance
Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry
Fast moving, challenging and unique business problems
International work environment and flat organisation
Great career development opportunities in a growing company
Possibility for relocation and international transfers mid-career
Competitive salary
Flexible working hours, Casual work attire",https://www.linkedin.com/jobs/view/3069602649/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=cJH4Wkl47uo6eCYSMlGOig%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist - NLU,Binance
4,"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Data driven based business is the core in helping us to use cloud native platform to serve tens of millions of crypto-currency users. Engineers and Data Scientists across the company use the data platform to do interesting and impactful analysis for continuous innovations. As a data scientist, you will have the opportunity to leverage rich data (PB-level scalability) and state-of-art machine learning infrastructure to develop data products which are used by our tens of millions of crypto-currency users. You will collaborate with a strong team of engineers, data analysts, business operation and product/marketing managers to define and build solutions, features, algorithms and products based off our rich data and cutting-edge machine learning technology.

We have multiple openings available and much more are coming due to our rapid growth of business. Sample projects include:
User behavior and pattern analysis: KYC, Anti-Money Laundry and abnormal user automated recognition to provide our users with safe and more accurate information service
Digital data asset: obtain the blockchain based data to perform chain-based data analysis, prediction and recommendations.
Personalized recommender system: leverage of our PB-scale data warehouse to perform in-depth analysis and recommender system for our end-users
Data driven customer feedback and satisfaction analysis: leverage of machine learning techniques to understand customer’s feedback and satisfaction with proven data evidence and analysis

To be successful in this role, you MUST be a quick learner, stellar machine learning skills with rich and solid experience from inception to business impact, strong communication capabilities and work well in cross-functional teams (e.g. with data users from different marketing and consumer team). This is a great opportunity to enhance your machine learning /data science skills in markets and familiarize with Blockchain based technology and etc while making a real impact on Blockchain and Crypto-Currency technology globally.

Responsibilities
Conduct applied research and development in AI applications that involve computer vision, natural language processing, speech processing, and other related techniques
Work closely with other team members on implementing algorithms that power user focused products
Build and release models, and elevate customer experience and track impact over time

Requirements
MSc or Phd in Machine Learning, Computer Vision, Computer Science or Applied Mathematics with at least 5 years of relevant industry experience
Excellent hands-on experience with popular Machine Learning frameworks such as PyTorch or TensorFlow
Fluent in English, both written and spoken
Experience with application development practices at scale

Optional
Good experiences on Computer Vision particularly on OCR and text extract with deep learning based end-to-end solution
Good global team collaboration skills and experiences are good add-ons as well
Publication record at top conferences and journals is a plus

Working at Binance
Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry
Fast moving, challenging and unique business problems
International work environment and flat organisation
Great career development opportunities in a growing company
Possibility for relocation and international transfers mid-career
Competitive salary
Flexible working hours, Casual work attire",https://www.linkedin.com/jobs/view/3069608191/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=R7%2FxxsSje3ugkltUCjCvng%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist - Deep Learning,Binance
5,"PackageX is modernizing the way logistics is done.

We believe logistics shouldn't be a black box. PackageX helps businesses to stop flying blind and relying on point solutions and outdated logistics systems that don't talk to each other. PackageX lets customers gain control of their logistics operations across shipping, tracking, storage, delivery, and receiving on a unified platform to improve efficiency, sky-rocket growth, and meet fast-changing end-customer expectations.

We're a seedstage tech startup based in New York City with a distributed global team. We’re backed by Sierra Ventures, Ludlow Ventures, MXV Capital, Pareto Holdings, and other strategic investors and angels.

We're always looking for talented humans who want to challenge the status quo and join us on the journey in building the future of logistics alongside us.

What we are looking for

We’re looking for passionate data scientists to come work alongside us to take on some of the most interesting and impact-full problems. Data Scientists have strong analytical skills, great attention to detail, and excellent programming ability. You should be observant enough to see how we can leverage Data to solve client pain-points. You will coordinate with other professionals in order to develop effective systems, so they need to have the ability to work as part of a team and demonstrate strong oral communication skills. A strong mathematical/language background and problem-solving skills are a must. Written skills are required so that the results can be conveyed to the client.

You will
Understand our clients’ proprietary data and external data sources, gather data and automate data pipelines.
Be an out-of-the-box thinker who is passionate about brainstorming innovative ways to use our unique data to answer business problems
Design, develop, implement, validate, deploy and maintain advanced predictive models using advanced data mining, machine learning and deep learning techniques.
Develop metrics and dashboards to measure and track the value of the solutions
Meet the coding style and standards requirements in python Pep 8, Flake 8 etc
Collaborate with people from different backgrounds to formulate innovative solutions to experiment and implement advanced data mining techniques.
Communicate complex concepts and the results of the analyses in a clear and effective manner to senior management.

We are looking for someone who has
Bachelors in computer science, electrical engineering or any related fields (statistics, applied math) with at least 1+ years of experience
Deep technical understanding of advanced areas of machine learning, deep learning and data mining.
Strong understanding of at least one area of deep learning i.e. Computer Vision, Sequence Modelling etc.
Strong computer science fundamentals in algorithms and data structures.
Fluency in Python stack for data processing, visualization and modeling (Numpy, Pandas, OpenCV,
Scikit_Learn, Keras, Tensorflow, Pytorch, NLTK, Theon, Matplotlib/Seaborn)
Fluency in at least one of the following deep learning frameworks Tensorflow/Pytorch/Keras.
Excellent understanding of databases and proficiency in either SQL/NoSQL
Understanding of Linux environment and deployment on cloud is required.
Excellent communication skills.
Ability to read and implement research is required.
Participation & a good position in Kaggle Competitions would be a big plus.
Understanding of Agile methodology and Scrum.

Why choose us

We are a global team of hustlers who challenge status-quo to build something great and meaningful for the customers we serve. We strongly believe that our product innovation, speed to service/support, and partnership mindset sets us apart from the fragmented competition and available legacy systems. Our leadership, advisors, and investors have extensive experience in building, supporting, and scaling tech companies in logistics, retail, CRM, media, and consulting. We have got all it takes to build an enterprise of the future.

We are an equal opportunity employer, and we value diversity. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other legally protected status.",https://www.linkedin.com/jobs/view/3058334323/?eBP=JOB_SEARCH_ORGANIC&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=oQjqI0gQY5NM2fNcPSCk5A%3D%3D&trk=flagship3_search_srp_jobs,Junior Data Scientist,PackageX
6,"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Data driven based business is the core in helping to use cloud native platform to serve tens of millions of crypto-currency users. Engineers and Data Scientists across the company use the data platform to do interesting and impactful analysis for continuous innovations.

As a data scientist, you will have the opportunity to leverage rich data (PB-level scalability) and state-of-art machine learning infrastructure to develop data products which are used by our tens of millions of crypto-currency users.

You will collaborate with a strong team of engineers, data analysts, business operation and product/marketing managers to define and build solutions, features, algorithms and products based off our rich data and cutting-edge machine learning technology.

Responsibilities:
Universe risk management: data analysis and modeling to KYC, payment, credit, exchange scenes
User behavior and pattern analysis: leverage of our PB-scale data warehouse to perform in-depth analysis to build personalized services and provide abnormal user automated recognition
Digital data asset: obtain the blockchain based data to perform chain-based data analysis, prediction and recommendations
Data driven customer feedback and satisfaction analysis: leverage of machine learning techniques to understand customer’s feedback and satisfaction with proven data evidence and analysis

Requirements:
2+ year experience developing machine learning models at scale from inception to business impact
Deep understanding of modern machine learning techniques and mathematical underpinning, such as classifications, recommendation systems, optimization and etc.
Working with data size from Terabyte to Petabyte scale
Good experience with Python, Java and/or Scala is preferred (2+ years) with solid project experience
Excellent communication skills (English Reading/Writing skills are required)
Master’s Degree with at least 2 years machine learning experience or PhD
Experience in Deep Learning is a plus
Experience in productionizing machine learning models is a plus

Working at Binance
Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry
Fast moving, challenging and unique business problems
International work environment and flat organisation
Great career development opportunities in a growing company
Possibility for relocation and international transfers mid-career
Competitive salary
Flexible working hours, Casual work attire",https://www.linkedin.com/jobs/view/3069605365/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=XntsDCCJ1tzp13747M1rLw%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist – Machine Learning and Algorithms (Risk Management),Binance
7,"We are looking for an experienced Data Science Lead. Apply only if you consider yourself to be the very best and are looking for challenges and rewards that no other company will provide.

Skills Required
Minimum 5 years of experience
Solid understanding of mathematics, statistics and probability.
Hands on experience in Python scientific computing eco-system (pandas, numpy, scikit-learn and matplotlib)
Familiarity with SQL and R (tidyverse and caret) is a plus
Proficiency in the machine learning workflow including data wrangling, feature engineering and model selection and evaluation
Ability to perform extensive exploratory data analysis and identify patterns, communicate insights and answer business queries
Excellent understanding and working knowledge of Machine learning models:
Supervised (Classification, Regression)
Unsupervised (Anomaly detection, dimensionality reduction and clustering)
Experience with Time Series models in either of the following:
Statistical models i.e. (ARIMA, exponential smoothing, Prophet)
Boosting and tree based models like XGBoost and Lightgbm
Neural Networks (RNN like LSTM and other variations of RNN etc.) based models.
Familiarity with PySpark or deploying machine learning models in production would be a plus
We have an amazing team of 500+ individuals working on highly innovative enterprise projects & products. Our customer base includes fortune 5 retail and CPG companies, leading store chains, fast growth fintech and multiple Silicon Valley startups.

What makes Confiz stand out is our focus on processes and culture. Confiz is CMMi Level 3 and ISO 9001:2015 certified. We have a vibrant culture of learning via collaboration and making workplace fun.

People who work with us work with the cutting-edge technologies while contributing success to the company as well as to themselves. This is obviously above and beyond the usual stuff (excellent pay, medical benefits, frequent appraisals and bonuses).

To know more about Confiz Limited, visit: https://web.facebook.com/lifeatconfiz",https://www.linkedin.com/jobs/view/3039566827/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=HamdRtXZDd7dGF46kPmKIw%3D%3D&trk=flagship3_search_srp_jobs,Principal Data Scientist,Confiz
8,"This job is sourced from a job board. Learn more
MonetizeMore builds industry leading ad technology that is seen by more than 300M people per month. The company has been running for 11 years achieving consistent double digit growth each year with a team of 180+ team members spread across the globe.

MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire and the arbitrary 9 - 5 work day. Take your life back into your hands by joining the MonetizeMore team!

The product team is the fastest and most innovative team in the company. Build greenfield technology that is disrupting the ad technology industry. Solve problems that have never been solved before. Join a company culture that replaces constant meetings and interruptions with innovation that continues to break boundaries. Take your skillset to the next level with some of the best minds in the ad technology industry to make a real difference with MonetizeMore.

Job Description

What you will do
Perform exploratory data analysis on auction data to form hypothesis
Build models to test the hypothesis
Optimize auction strategies using statistics and machine learning techniques
Collaborate with other developers to make the models reproducible and production-ready
Who you might be
1-2 years of professional experience in data analysis using Python
Highly knowledgeable in statistics and probability
Experienced in conducting hypothesis testing
Have good understanding of classical machine learning techniques
Knowledgeable in reinforcement learning algorithms is a plus
Proficiency in SQL, pandas, NumPy, scikit-learn, Matplotlib, etc.
Attributes

MonetizeMore attributes include: Teamwork Attributes
Collaboration : Working remotely on complex projects necessitates that you work together with your team and share knowledge.
Communication Skills : You are comfortable communicating in English at all levels, have strong spoken and written communication skills and are an active listener.
Teamwork : You value team synergy and are excited about helping your team succeed.
Interpersonal Skills : You are able to get along, work well and coordinate with others.
Conflict Management : As a team, we are proactive in dealing with conflict. You are able to find constructive ways of resolving issues with other team members.
Technical Attributes
Technology : A MonetizeMore developer is proficient in all stages of web development, from conception to deployment. You are a one-person army, ready and willing to attack any technical challenge that crosses your path
Analytical and Problem Solving Skills : You work hard to understand technical issues and to resolve them in an effective manner.
Detail Orientation : You work on many parts of an application or system at the same time and are able to focus on each detail meticulously.
Initiative : You work well in a team, with little supervision, making well-reasoned and effective technical decisions.
Reliability and Responsibility : You demonstrate reliability at all times. You give reasonable expectations within the Agile Scrum framework and work hard and smart to achieve and surpass those expectations. You communicate what you are going to do, then meet that commitment.
Thought Leadership : You analyze MonetizeMore's tech stack, systems and processes with the goal to iterate on a regular basis. You look for opportunities to improve to increase value to MonetizeMore and suggest them to the team.
If you think you are a good fit to join the MonetizeMore Product Team, kindly apply and give specific reasons on what sets you apart. We hire individuals, not robots. Don't be afraid to show a little personality ;)

Powered by JazzHR",https://www.linkedin.com/jobs/view/3065659078/?eBP=JOB_SEARCH_ORGANIC&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=2DKeXaweMSg0Cn2MioTfsA%3D%3D&trk=flagship3_search_srp_jobs,Remote Data Scientist,MonetizeMore
9,"We are looking for an experienced Data Scientist with minimum 3 years of experience. Apply only if you consider yourself to be the very best and are looking for challenges and rewards that no other company will provide.

Skills Required
Very Good mathematical and statistical skills
Proficiency in Python/R/Matlab
Able to do data wrangling and finding patterns in the data
Can analyse large, complex datasets to extract insights
Strong understaning of:
Supervised and Unsupervised ML models.
At least one of the three type of time series forecasiting models:
Classical ARIMA (auto regression and moving average) based forecasting models.
Latest Neural Network (RNN like LSTM and other variations of RNN etc) based models.
Hybrid models (lies between classical and NN based models)
We have an amazing team of 500+ individuals working on highly innovative enterprise projects & products. Our customer base includes fortune 5 retail and CPG companies, leading store chains, fast growth fintech and multiple Silicon Valley startups.

What makes Confiz stand out is our focus on processes and culture. Confiz is CMMi Level 3 and ISO 9001:2015 certified. We have a vibrant culture of learning via collaboration and making workplace fun.

People who work with us work with the cutting-edge technologies while contributing success to the company as well as to themselves. This is obviously above and beyond the usual stuff (excellent pay, medical benefits, frequent appraisals and bonuses).

To know more about Confiz Limited, visit: https://web.facebook.com/lifeatconfiz",https://www.linkedin.com/jobs/view/3038577318/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=j91Ksq6RoqJ2iYogjDaSpQ%3D%3D&trackingId=x1tJXCkFijpO8cQmAql2zw%3D%3D&trk=flagship3_search_srp_jobs,Senior Data Scientist,Confiz
