,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

Senior Associate - Database Administrator

At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

EY Ford Rhodes. Chartered Accountants, is a member firm of Ernst & Young Global Limited (EYGL) providing Assurance, Tax, Consulting and Strategy & Transaction Advisory services to our clients, both global and local, operating out of or seeking advice on doing business in Pakistan. With its Principal Office in Karachi and branches in Lahore and Islamabad, EY Ford Rhodes has been operating in Pakistan since 1948.

The opportunity

EY Ford Rhodes is currently seeking a Database Administrator (Senior Associate) to join our GCR (Global Compliance & Reporting) Tax Technology team based in Islamabad. We are looking for a talent individual carrying DBA experience of managing Windows Server as well. This is a fantastic opportunity to be part of a pioneer firm whilst being instrumental in the growth of a new service offering.

Role Responsibilities

As a database administrator, you'll need to:
Management of databases created for payroll outsourcing setup. This includes setup of a database, tables and must be aware of SQL queries & Database optimization.
Monitoring database performance and setup of Database optimization.
Installation & configuration of Microsoft SQL Server, SSMS, SSRS etc.
develop, manage, and test back-up and recovery plans for all the databases with automation of data backup. This includes database replication and mirroring concepts and its practical exposure.
ensure that storage and archiving procedures are functioning correctly
carry out capacity planning
work closely with IT Onsite Support services, Application support Vendor and GCR Tax team to ensure availability and reliability of the system.
Must be aware of as to how database encryption works (at rest).

Skills And Attributes Required For Success

You will need to show:
excellent problem-solving and analytical skills
good communication, teamwork, and negotiation skills
familiarity with the main data manipulation languages and the principles of database design
the ability to work to tight deadlines under pressure
good organizational skills
flexibility and adaptability
the ability to create and maintain strong working relationships with colleagues and customers
business awareness and understanding of business requirements of IT
a willingness to keep up to date with developments in new technology and working experience of Windows Server, networking etc. is essential.
Comprehensive understanding of Data and Database technologies with ability to troubleshoot underlying issues.
Knowledge of business processes, products, and services, within agreed areas of expertise and is able to provide input and advice to key stakeholders, such as Product Owners, business sponsors and Service Delivery Managers
Ability to systematically break apart complex problems (written, verbal or numerical).
Ability to be analytical and systematic whilst being open-minded and creative.
Able to base decisions on facts rather than emotions, and always using logic.

To qualify for the role, you should have
Certified Database Administrator will be preferred
Atleast Bachelor’s degree in IT / Computer science, Engineering etc.
4+ years Database Experience including administration and troubleshooting
Working Knowledge of SQL Server Database configuration, support and administration tasks
Microsoft SQL Server, Windows Service Bus, IIS, .NET, Cloud Development Platforms
Excellent analytical and communication skills (verbal and written).
Ability to effectively prioritize and execute tasks in a dynamic and high-pressure environment
Ability to work in a team environment with in a high performing team
Flexibility to work weekends or afterhours as needed
Shift flexibility supporting afterhours

EY | Building a better working world

EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.",https://www.linkedin.com/jobs/view/3116782953/?eBP=CwEAAAGBh3FRXmqspv-sppsWujR2iEF8-0ppcV_eM8mx2SO15sIx9ZEoxrXKJvSCb4rHS0LyAiO7H73ZhpRvntOjXsXPrNcmWmZKrirOwXVCXGJ8_XHUcPyiKWbJEcsv7SoI3gzwtccdDNJYxXybTubhBJJ5jDDJNtkc2hP7QIJRDFLtyuWOfPBj5P85Uo7c35rg84QEQ3tQkyYez_62B-qZZe3_RaibbTM6bJR_ZjPphDx62S0NF5F52bD7ET2b2h2R5-Cu4Z3YXqs5McCOj9yMHhnWaJkpsdPdq3pUONty_RKl452T1vW88Yf0AisqBIeV1qeJzqmjqlEgd29kYD_Xb8teyXIQOUMiaU8pVwMwb6zVnJF7iT-MlFkpxQWsXKY&recommendedFlavor=SCHOOL_RECRUIT&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=H7jEKPqWNeUXjjlRqFkZqQ%3D%3D&trk=flagship3_search_srp_jobs,EY Ford Rhodes: Senior Associate- Database Administrator,EY,1 week ago,Full-time · Associate,"Islamabad, Islāmābād, Pakistan"
1,1,"It's fun to work in a company where people truly BELIEVE in what they're doing!

CureMD's revolutionary health technology simplifies clinical decision making, streamlines administrative operations and ensures compliance to industry standards, ultimately helping physicians do what they do best: save lives. Established in 1997, CureMD is head-quartered in New York, USA, with a thriving R&D facility in Lahore, Pakistan.

CureMD is seeking an experienced Database Architect to work closely with our smart, passionate software developers and product managers to solve data related problems and design innovative solutions in a fast paced environment. This role will give you an opportunity to work with different teams and discover a range of new systems, leveraging the deep collection of architectural patterns, tools and technologies throughout the company and extending them to allow us to boldly go where no other company has gone before in the Healthcare IT industry. You will also be working with department heads and senior executives to integrate new tools, technologies and refine the system performance.

As a Database Architect, you will be responsible for analyzing structural requirements for new software and applications, design conceptual and logical data models and flowcharts, choosing the best technology stack, helping to build the IT infrastructure, implementing migration methods for existing data, improving the system performance by conducting tests and troubleshooting, defining security and backup procedures. Main focus will be on design, development and manage large scale Healthcare databases to store and organize vast amount of data by using the HIPAA security rules. You will collaborate with system architects, information technologists, and other staff members regarding data storage practices, network operation, and other computer issues.

Minimum qualifications:
Bachelor's degree in Computer Science or Software Engineers.
7+ years of experience with SQL Server or traditional RDBMS applications.
Experience developing large scale database as database architect.
Creative problem-solver with strong communication skills

Preferred qualifications:
Excellent data management skills including ensuring data integrity, data access, security and archiving procedures.
Expertise in two or more areas of database systems (database internals, performance optimization, DBMS/RDBMS, data warehousing and integration, query optimization, indexing, memory management, variety of data formats access, advance methodologies and techniques).
Full-stack database knowledge from database kernel to cloud service platform, including core database kernel architecture, automation of database lifecycle management & tuning, and integration with other cloud services.
Knowledge and understanding of parallel programming, thread programming, concurrency control and scalability.
Knowledge and application of CAP theorem and ACID properties.
Experience with NoSQL, SQL databases, statistics and algorithms.
Proven ability to work in distributed systems.
Strong oral and written communication skills.",https://www.linkedin.com/jobs/view/3049266579/?eBP=CwEAAAGBh3FRXvNcY88laPFxkJGIVkOIk3_cpMJxmfNvDVDT2sn7rIOMV_LuR89fKbfo6JUmm7G83CilD-f0OJW83M101jnWWhIuU7PVbUWI5z41rp00lpcrluolJPASW-Kbtq3ZYkugLew2Urh5XxNMCp7xc1xQA8SvqtPJNwRic9_y5aR2g38HDWCl2nLoClP1f5CxX4qHG-cAYuWVk6KA3NhK4VhRULLSFeizM_bFybsjvIXPNdFNkaaYQeiH2wc_nMxOS0dOZE5f4KAqJEHktun9VBQsGEGWtUL2MNQsi4cB9AKs9jtUjDAJzuc4GywPz2FWofMSgcHvEhIxxrqloVrt-4ktxAdGYlrB2eE_2fR2DkhKNWyoJI9NawCN&recommendedFlavor=SCHOOL_RECRUIT&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=MvE9v6fXlchBWN0JMVC1Kg%3D%3D&trk=flagship3_search_srp_jobs,Database Architect,CureMD,1 week ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
2,2,"Introduction
The Aga Khan University is a private, international university committed to international standards of excellence in teaching, research and service. Its teaching hospital, the Aga Khan University Hospital has been accredited by the prestigious Joint Commission International for achieving the highest international healthcare standards.

Responsibilities:

The incumbent will be responsible to setup & manage databases and enterprise applications to the required performance monitoring/optimization. Specifically, you will be responsible to;
Build, configure, administer, and troubleshoot high available PeopleSoft environments
Maintain PeopleSoft system performance by performing system monitoring and performance tuning.
Resolve day to day issues related to PeopleSoft application
Install and maintain the database performance of enterprise applications such as PeopleSoft ERP, Oracle and SharePoint.
Install, design, and maintain database system software and implement database security to ensure high availability of database systems to avoid any discontinuity which could affect the organization and its employees
Ensure optimum performance of all the databases and ensure efficient utilization of database systems
Implement a disaster recovery solution for the database environment, including the installation and configuration of database software and replication processes.
Identifying gaps in the existing DBMS and developing innovative solutions to enhance the system and improve the efficiency of existing systems.
Demonstrates advanced technical knowledge and is able to apply technical expertise to complete the complex projects and bring standardization of IT systems.
Control access permissions and privileges to maintain sanctity and security of database management systems (DBMS)
Review fellow Engineer work plans and deliverables, to ensure quality, consistency and timeliness. Mentor Engineer within and across teams in facilitation and customer interaction.
Always on call to support technical staff in different regions which include East Africa, London and Afghanistan, with expert technical guidance and consultancy
Encourage team members to explore new technologies and impart skills by coaching them on issue and their solution
Ensure 24/7 support of database operations globally and make sure database system health is maintained by preventive maintenance and deployment of security/upgrade patches
Eligibility Criteria/Requirement:
Bachelor’s Degree in Computer Science/Engineering
At least 5 years relevant experience in the field of Database administration, Systems and database architecture designing.
Strong hands-on experience of MS SQL & Oracle; performing version upgrades, performance monitoring, security management & tuning.
S/he should have strong hands-on experience on Linux and Microsoft windows servers (Windows 2012, 2016 & 2019). S/he should have knowledge of windows failover clusters and high availability.
Knowledge of ERP PeopleSoft architecture and implementation.
Ability to professionally deal with difficult people or situations.
Advanced Knowledge of database security, high availability, backup and recovery, and performance monitoring standards.
Understanding of relational and dimensional data modelling.",https://www.linkedin.com/jobs/view/3124445986/?eBP=CwEAAAGBh3FRXoPfeQJ3AUyXAtoK5YBjXld4nm6iRx2tqnFGa48Wz6FEvfgUPa4aFhROnFxE75YZkUTsjI0nTNE9t7uIYCIcGHCgtMPES7TMzojm7sWyC1F0MryAyRAGdQ87NfQ-RWzOXRvrDiAPlKFVfbnZ-bxEwb0ocR3yFpSoTtyHqDk5ArygIky_M9XmSfqqf6WZ_Eh4gVranMpX27Vum74-IXSagjDfWlA0_IW7HcYY-_ZXa8cV64fxdGkPGoexc7LR8Bt8StSGRVaideV2slGAeap26bSagxL9GoXTBQfJb3yH6vywbx-HcDKrVTVNxWzd7s2yYCECWQlKKztx9aF5Whddq59-NLoqv3LqqysPQQ0JSht4rUJv6daq&recommendedFlavor=SCHOOL_RECRUIT&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=z%2BZORzndA4ltJF%2BZ7XKSdw%3D%3D&trk=flagship3_search_srp_jobs,"Specialist, Database (Service Delivery)",Aga Khan University,1 week ago,Full-time · Mid-Senior level,"Karāchi, Sindh, Pakistan"
3,3,"Posted by
Saad Khan
Human Resources Administrator at Jobs for Freshers & Experienced
Send InMail
To enter data from various source documents into the computer system for storage, processing and data management purposes

prepare, compile and sort documents for data entry
check source documents for accuracy
verify data and correct data where necessary
obtain further information for incomplete documents
update data and delete unnecessary files
combine and rearrange data from source documents where required
enter data from source documents into prescribed computer database, files and forms
transcribe information into required electronic format
scan documents into document management systems or databases
check completed work for accuracy
store completed documents in designated locations
maintain logbooks or records of activities and tasks
respond to requests for information and access relevant files
print information when required
comply with data integrity and security policies
maintain own office equipment and stationery supplies",https://www.linkedin.com/jobs/view/3134437199/?eBP=JOB_SEARCH_ORGANIC&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=w6%2BIkucGVnQvZT7WTP%2FhTQ%3D%3D&trk=flagship3_search_srp_jobs,Data entry Management jobs,DATA - ENTRY,41 minutes ago,Full-time,"Rawalpindi, Punjab, Pakistan"
4,4,"Posted by
Leanne Mei Silla
Sourcing Associate at Appen | Hiring for Global Part-time Opportunities at home | Add me as your Connection
Send InMail
Data Annotation Project for URDU Speakers in PAKISTAN

Contribute to data annotation that helps build state-of-the-art AI-powered models for the given target languages.

We're looking for data annotators to help us evaluate single-sentence summaries of news articles in their mother tongue.

Project Task:
In this project, you will be provided with a passage, a one-sentence summary of the passage, and 3 questions per summary to help us assess whether the summary is comprehensive and faithful. You will need to read the passage and the summary, and then answer all the questions provided. You will be able to work from home on your own time.

Project Requirements:
You must pass the project’s qualification quiz.
You must have a good command of English in order to understand the project-related materials, such as guidelines.


To Participate, Visit our official website using the link below and register for an account.
https://connect.appen.com/qrp/public/jobs?sref=9340bc2df063310ad1983928ba38b40d

REMEMBER: Choose URDU (PAKISTAN) as your primary language and PAKISTAN as your country.

Make sure to add all your native languages when creating your profile in the system. Once your account has been created, click the 'All Projects' Tab then you will see the ""Continue"" button on the right side of the ""Unlock More Projects Complete your profile"", and complete the required information to unlock more projects.

Please reach out to us with questions or for more information. If should you have any further questions and needed assistance, kindly send me an email at LSILLA@APPEN.COM and I will get back to you as soon as possible.


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.""

Thank you and we hope to work with you soon!

#innovation #technology #future #careers #data #artificialintelligence #hiring #jobsearch #jobseekers #deeplearning #workingathome #recruiting #job #datascience #ai #jobopening #homeoffice #openings",https://www.linkedin.com/jobs/view/3123167397/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=dnyEOXt%2F9GoaCi1G5MScXw%3D%3D&trk=flagship3_search_srp_jobs,Data Annotator,Appen,4 days ago,Part-time,"Lahore District, Punjab, Pakistan"
5,5,"Posted by
Leanne Mei Silla
Sourcing Associate at Appen | Hiring for Global Part-time Opportunities at home | Add me as your Connection
Send InMail
Do you want to be a part of something bigger than yourself?
Would you like to help make business search results better for end-users? This project is for you!

The goal of this project is to tap into the collective intelligence of the public at large. Results of tasks will be used in a wide variety of applications - data annotation, multimedia, sentiment analysis, and search engine result evaluation.

Requirements:
· Computer OS should be Microsoft Vista, Microsoft Windows 7, and above
· 3 to 5 years of residency in Pakistan
· Windows Live ID (WLID)

Please follow the steps below on how to apply for the project:

1. Visit the Appen website using the link below:
https://connect.appen.com/qrp/public/jobs?sref=9340bc2df063310ad1983928ba38b40d
2. Choose Urdu (Pakistan) as your primary language and Pakistan as your country.
3. Complete the Registration page and click the Submit Application button to create your account
4. Once your account has been created, click the 'All Projects' Tab and look for this project.
5. Choose the ""Apply"" button to start your qualification for the project.
Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends!

A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.

Thank you and we hope to work with you soon!

#innovation #technology #future #careers #data #artificialintelligence #hiring #jobsearch #jobseekers #deeplearning #workingathome #recruiting #job #datascience #ai #jobopening #homeoffice #openings #informationtechnology",https://www.linkedin.com/jobs/view/3126953158/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=aSO%2BrLyImMR0QOrfWAz1oQ%3D%3D&trk=flagship3_search_srp_jobs,Data Collection Project for Urdu Speakers,Appen,1 day ago,Part-time,"Islāmābād, Pakistan"
6,6,"Posted by
Leanne Mei Silla
Sourcing Associate at Appen | Hiring for Global Part-time Opportunities at home | Add me as your Connection
Send InMail
Data Annotation Project for URDU Speakers in PAKISTAN

Contribute to data annotation that helps build state-of-the-art AI-powered models for the given target languages.

We're looking for data annotators to help us evaluate single-sentence summaries of news articles in their mother tongue.

Project Task:
In this project, you will be provided with a passage, a one-sentence summary of the passage, and 3 questions per summary to help us assess whether the summary is comprehensive and faithful. You will need to read the passage and the summary, and then answer all the questions provided. You will be able to work from home on your own time.

Project Requirements:
You must pass the project’s qualification quiz.
You must have a good command of English in order to understand the project-related materials, such as guidelines.


To Participate, Visit our official website using the link below and register for an account.
https://connect.appen.com/qrp/public/jobs?sref=9340bc2df063310ad1983928ba38b40d

REMEMBER: Choose URDU (PAKISTAN) as your primary language and PAKISTAN as your country.

Make sure to add all your native languages when creating your profile in the system. Once your account has been created, click the 'All Projects' Tab then you will see the ""Continue"" button on the right side of the ""Unlock More Projects Complete your profile"", and complete the required information to unlock more projects.

Please reach out to us with questions or for more information. If should you have any further questions and needed assistance, kindly send me an email at LSILLA@APPEN.COM and I will get back to you as soon as possible.


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.""

Thank you and we hope to work with you soon!

#innovation #technology #future #careers #data #artificialintelligence #hiring #jobsearch #jobseekers #deeplearning #workingathome #recruiting #job #datascience #ai #jobopening #homeoffice #openings",https://www.linkedin.com/jobs/view/3123168309/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=03Fe28EveOiyZf%2B7rOz5WQ%3D%3D&trk=flagship3_search_srp_jobs,Data Annotator,Appen,4 days ago,Part-time,"Lahore, Punjab, Pakistan"
7,7,"Posted by
Adil Malik
CEO/Co-Founder at Progressive Bpo
Send InMail
We are Hiring Experienced Verifiers for the Final Expense campaign.
𝐖𝐨𝐫𝐤𝐢𝐧𝐠 𝐃𝐚𝐲𝐬: Monday to Friday
𝐒𝐡𝐢𝐟𝐭 𝐓𝐢𝐦𝐢𝐧𝐠𝐬: Night Shift (8:00 pm-6:00 am)

𝗕𝗲𝗻𝗲𝗳𝗶𝘁𝘀:
Sales Commission
Weekly/Monthly Bonuses
Five Working Days
Yearly Increment
Growth Opportunity

Responsibilities:
• Learn and prepare the closing script with good attention to detail.
• Build positive conversations with prequalified customer and connect them with the international line.
• Keep note of details provided by customers and submit them to the company's database.
• Increase your closing consistently & generate maximum successful connections? transfer to the international line.
• Maintain good relations with your team, and demonstrate discipline and professional line.",https://www.linkedin.com/jobs/view/3133140300/?eBP=JOB_SEARCH_ORGANIC&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=vWw6mku0To%2FsBrxaHsGPbg%3D%3D&trk=flagship3_search_srp_jobs,Experienced Verifier,Progressive Bpo,8 hours ago,Full-time,"Rawalpindi, Punjab, Pakistan"
8,8,"Posted by
Samin Raza
Account Relationship Manager at JOB VACANCIES TODAY
Send InMail
The data entry manager is primarily responsible for effectively managing large amounts of information. This includes inserting, updating and maintaining accurate company data on various computer systems and in our organizational archives. This position is a lead role that will oversee the supervisor and employees in the data entry department.

Data Entry Manager ResponsibilitiesWorks closely with human resources to recruit, interview and train new data entry employees. Organizes schedules, performs regular coaching and counseling and disciplines employees as needed.Clearly communicates job expectations to data entry team, while monitoring, appraising and reviewing their work. Enforces company policies and procedures as necessary.Input customer account information into databases within required time limits.Compile and verify the accuracy of data to prepare it for computer entry.Apply data techniques within the program and following all procedures.Generate data reports and perform backups in archives.Improves results by participating in and completing audits, identifying weaknesses and implementing improved changes.Updates job information and knowledge through participation in continued education.",https://www.linkedin.com/jobs/view/3133914014/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=G5Pgc8fPYj4KBZl6ZuF8WA%3D%3D&trk=flagship3_search_srp_jobs,Data entry management jobs,Online Data Entry Jobs,13 minutes ago,Full-time,"Rawalpindi, Punjab, Pakistan"
9,9,"Posted by
Leanne Mei Silla
Sourcing Associate at Appen | Hiring for Global Part-time Opportunities at home | Add me as your Connection
Send InMail
Data Annotation Project for URDU Speakers in PAKISTAN

Contribute to data annotation that helps build state-of-the-art AI-powered models for the given target languages.

We're looking for data annotators to help us evaluate single-sentence summaries of news articles in their mother tongue.

Project Task:
In this project, you will be provided with a passage, a one-sentence summary of the passage, and 3 questions per summary to help us assess whether the summary is comprehensive and faithful. You will need to read the passage and the summary, and then answer all the questions provided. You will be able to work from home on your own time.

Project Requirements:
You must pass the project’s qualification quiz.
You must have a good command of English in order to understand the project-related materials, such as guidelines.


To Participate, Visit our official website using the link below and register for an account.
https://connect.appen.com/qrp/public/jobs?sref=9340bc2df063310ad1983928ba38b40d

REMEMBER: Choose URDU (PAKISTAN) as your primary language and PAKISTAN as your country.

Make sure to add all your native languages when creating your profile in the system. Once your account has been created, click the 'All Projects' Tab then you will see the ""Continue"" button on the right side of the ""Unlock More Projects Complete your profile"", and complete the required information to unlock more projects.

Please reach out to us with questions or for more information. If should you have any further questions and needed assistance, kindly send me an email at LSILLA@APPEN.COM and I will get back to you as soon as possible.


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.""

Thank you and we hope to work with you soon!

#innovation #technology #future #careers #data #artificialintelligence #hiring #jobsearch #jobseekers #deeplearning #workingathome #recruiting #job #datascience #ai #jobopening #homeoffice #openings",https://www.linkedin.com/jobs/view/3123161958/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=s232sX2ndSub5aKUf7e9Ig%3D%3D&trackingId=yC%2BKQGGvqwUouEFd%2BYVhAA%3D%3D&trk=flagship3_search_srp_jobs,Data Annotator,Appen,4 days ago,Part-time,"Islamabad, Islāmābād, Pakistan"
