,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Bilal Arif Chhotani
Human Resources Professional | xP&G | xHRSG | xDHL | AIESEC
Send InMail
Hey there, we’re Integry. We’re a distributed startup headquartered in San Francisco, California with teams distributed globally. We build technology that makes your favorite apps work for you automatically. Our technology helps the smallest startup to the largest enterprise add automation to their apps, getting rid of boring, repetitive work.

THE ROLE
We’re looking for a senior engineering leader to manage our growing cloud infrastructure needs. You’ll be working on deploying, managing, securing, and monitoring services. You are a stickler for details, care deeply about your craft, and are completely hands-on.

REQUIREMENTS

Own: manage Integy's infrastructure, maintain industry-leading up time.
GCP: At least 3 years of experience working with Google Cloud Platform
*nix: We're sure you know Linux, HR wanted us to be thorough and mention it here
VM: Experience in VM lifecycle: creating, managing, backing up, restoring
Kubernetes: Experience managing Kubernetes clusters, configuring, adding docker images.
Scripting: Experience writing scripts to automate processes related to infrastructure in Python, Bash, etc
Databases: Experience managing Databases like MySQL, Redis, MongoDB including backing up, replication strategy, audit logging, permissions, and security.
CI/CD: Experience implementing continuous integration and delivery
Security: Knowledgeable in security best practices for cloud, VPN, firewalls, etc. Prior experience working on SOC II, OWASP, ISO standards is a plus.
Scaling: Experience in autoscaling various services on traffic profiles.
Cost: Make infrastructure purchasing and costing decisions
Collaborate: Bridge with the engineering team to work and improve the release processes
Quality: Understanding of embedding Quality Assurance at every part of the creation and rollout process
Critical thinking: Critical thinking and problem-solving skills. Ability to think about edge cases and test your work.
Communication: Exceptional written and verbal communication skills
Manage & Lead: Ability to plan and estimate time and effort for rolling out features. Ability to perform code reviews. Ability to unblock your team members.

SKILLS AND EXPERIENCE

Education: Bachelor's degree in CS or related fields
Experience: At least three years of experience
Cloud: 3 years hands-on with GCP

WORKING AT INTEGRY

Top 1% You, Top 1% Salary: We hire the very best top 1% and we pay the top 1% of the market.
Work from anywhere: We are a fully distributed company with team members working across three different continents.
Work at any time: We’re also distributed in time. We don’t have timings; we have regular check-ins. You work at whatever time suits you.
Unlimited Vacations: Anyone can take a few hours, days, weeks off without approval. We don’t track how many days you’re off.
Home Office Renovation Budget: We want you to be comfortable working from home. We’ll assign an Interior Designer to you who will work with you to renovate your home office.
Home Utilities Support: We’ll cover internet, backup internet while you work from home
Work from any Coworking Space: Maybe you don’t want to work from home or you can’t. In that case, pick any coworking space near you and we’ll pay for it.
Medical coverage for you, your family, your parents, or anyone you care about: So long as you have a valid receipt or invoice. Your coverage includes dental and vision as well.
Up to Six Month Paid Maternity Leave: We also provide leaves in case of miscarriage
Education fund: We’ll pay for any books, courses or material you need to purchase
Awesome Gear: Upgrade your own laptop or get a custom, top-of-the-line laptop from us
Stock Options: You’ll get stock options in Integry Inc. USA

YOU…
are curious who likes to learn new things and is down to dive into complex technical topics and learn about them
are self-motivated and comfortable working with yourself and in a team. You know how to get in front of things and are proactive, not reactive.
don’t mind wearing many hats from software construction to helping build presentations.",https://www.linkedin.com/jobs/view/3103029930/?eBP=CwEAAAGBh3pssJLuLAaUTya6STPPiuZCU7YsB2Giv_U4aJoL-xN6YVgQG6lSeFVy_c20ejRa-3QBoUn-keZouVdB4mlJSLH3LFa0BXNkdJdHhCyv_A3JwPmisz6M8JPMuZfEkRAWUJ0nBf3N_V7XRfasL42yz51q7RdNAkiA9pf5znEGMPYGX5Sw1n9j8DuPUNroaf1rdSQjitxeuFZDDhndHEbpxNgf_Ynalgdfv2IoiyksChMm_4uFkFw1cKqGOhxZNKVEWpsdXta6mL6QVjq_LHifxscJLtTX8MP8KRVntUXXZ5jopwx1sWd2oSACa7i73a7zsiMYcenmxE6RT5PC2UA&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=blb0LvAXt9O2fPBINam7zA%3D%3D&trk=flagship3_search_srp_jobs,Principal DevOps Engineer,Integry,3 weeks ago,Full-time · Mid-Senior level,Pakistan
1,1,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Virtasant. Have you got what it takes?

Do you love the challenge of constantly solving new problems and learning new technologies? Would you like to work with some of the world's best cloud professionals at some of the world's leading companies, designing and building highly scalable, portable Kubernetes solutions?

At Virtasant, our teams work with global clients to help them leverage the power of the cloud. Our advanced technology solutions team works on solving complex customer problems at an unmatched scale. With us, you will design and implement the fundamental tools and platforms on which our customers will run their businesses.

If you are excited about learning from some of the best technology leaders in the world and pushing the limits of Kubernetes, we want to hear from you!

What You Will Be Doing
Designing and implementing features for customers, including coding, testing, and deployment
Investigating issues and bugs escalated by Support, Professional Services team, etc
Providing feedback to the Product Management team on the technical aspects of the products
What You Won’t Be Doing
Maintaining existing, sub-standard solutions
Simply designing solutions and not implementing them
DevOps Engineer Key Responsibilities

You will have end-to-end ownership of the technical design and implementation of features for our customers' platforms.

Basic Requirements
Experience coding with Cloud Infrastructure (GCP, AWS, Azure), Docker/Kubernetes
Experience migrating applications to Kubernetes
Experience as a DevOps/Site Reliability Engineer
About Virtasant

Virtasant is a global cloud services provider with industry-leading technology, capabilities, and people. We've been working in the cloud, testing the limits of its capabilities, since the start. We transform, build, and optimize customers' digital experience in the cloud every day, helping companies make the most of the cloud's native capabilities. To achieve this, we've built one of the world's largest fully remote organizations.

To maintain the high quality of services that Virtasant is offering, we give all our employees a chance of attaining official cloud certification which helps them develop and grow themselves faster.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $50 USD/hour, which equates to $100,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:
You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-4754-PK-Islamaba-DevOpsEngineer.001",https://www.linkedin.com/jobs/view/3125331358/?eBP=CwEAAAGBh3pssLEjsfSpxKARyjgqMhW6e-k1HwqqM_rZa38bW-DxP_FbDvHR0VG-DWzmeLrIZnSVwuliGp4qfL9eTvIdzEGMZnidtsiNJlWcnqq0LJS0S33Rh4KQkz21-LNpl_FYpGm-lsIZtA2_yUmmE0_lm0ZQfnFOZ664WFGfwwl-5VYtQcEsy906x98alOb6TACA0b3CKGdCU8WO2EwXhh8RG-c6t5bueuvmkNAimaa3wPA7KnKaO48m3VDFA4mGk5MAOdZQeEcjILaBkmEpZik2e5jrO3bTE8AR1ouDeK20epe1-eh0zKabnfgP35kuekrT_Zs8VO8pWWAGm74dBgaKyJtG-MsXG1lf9cZLK5cQVQJR206pfidHKg&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=z1SP1zvEkrBs2kp2J%2BKhgw%3D%3D&trk=flagship3_search_srp_jobs,"DevOps Engineer, Virtasant (Remote) - $100,000/year USD",Crossover for Work,1 day ago,Full-time · Mid-Senior level,"Islamabad, Islāmābād, Pakistan"
2,2,"At EMPG LABS, an EMPG company, we are looking to further expand our Pakistan engineering office of already 300+. We are most interested in bringing on board colleagues who love to learn, perform, and teach. We are building a high-quality engineering environment with a super focus on delivering value to customers. Your primary responsibility would be to build world-class suite products to support the hyper-growth of our businesses in 16 countries.
Minimum 3+ years of relevant experience
Excellent in problem solving, critical thinking and communication skills.
To collaborate with cross-functional teams to define and deploy new applications.
Demonstrate the ability to work independently and as part of a development team with a range of scientific and professional backgrounds
Expertise in AWS, Azure, GCP, Rackspace will be highly preferred
Experience in Mysql, PosgresSQL, MongoDB, RedShift
Familiar with working in Linux/Windows environment",https://www.linkedin.com/jobs/view/2671302388/?eBP=CwEAAAGBh3pssKD1XdJCGnDuv_EgJA5TzW-J2JEoZVzJTZGkRhLvRgCxDyXgmr6-dr0Mb1uadKTR06HQLgwQHJ_jxffeviq1Q2XgKaOJxbW1t7OCqYpsiTzwztnowTMcInbG6o_oI-ok7RR813pUnGI27c0bl7y6MTFlaUWxVjjtbRI3nWG9Je29EqcHcWyA5pG3QccTdEXHUYfD-t_ssAvjq1G_1ML9e064qXSCjy4bcpzF9r9ieOIVem_squME6BsUVWEF88DwzGjpEJyMzlZjP_DthM1qHFpVgMkMrdcUqdFUl344TaDqOZXdYHR2F5iP40-gdp_L-bmRw0UhHQ06cEU&recommendedFlavor=SCHOOL_RECRUIT&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=NrFEUGhYikuLd%2BMJ293YSg%3D%3D&trk=flagship3_search_srp_jobs,Senior DevOps Engineer,EMPG LABS,2 weeks ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
3,3,"Description

As a DevOps Engineers at Dubizzle ensures, you will ensure our services are healthy, monitored, automated, and designed to scale. You’ll use your background as an operations generalist to work closely with our development teams from the early stages of design all the way through identifying and resolving production issues. You will support a wide range of products focusing on automation, availability and performance, and above all reliability.

Requirements
Serve as a primary point responsible for the overall health, performance, efficiency and capacity of our production environment
Be part of the implementation and design of the systems used to operate Dubizzle, with a focus on automation and maintainability at large scale
Experience in building large CI/CD processes (experience with Github actions & Jenkins is preferred)
Collaboration with the development team on operations-related issues, providing support and acting as stakeholder
Provide fast and reliable development experience for product teams by maintaining production-like environments used for development and testing
Develop tools to effectively monitor custom applications in a large-scale environment
Troubleshoot issues across the entire stack - hardware, software, application and network
Migrate applications off of legacy environments with minimal downtime
Take part in a shared 24x7 on-call rotation
Document system design and procedures
Experience & Qualification
Bachelor's Degree in Computer Science, Engineering or equivalent field and significant experience in DevOps.
AWS Solutions Architect certification
4+ years experience in supporting hosted services in a high-volume customer-facing environment
Experience with DevOps tools, processes, culture, distributed systems, supporting mission-critical systems
Experience working on Continuous Integration / Delivery pipelines using tools such as Jenkins and Github actions
Demonstrated ability to write programs / utilities using a high-level programming language like: Go, Ruby, Python as well as Bash
3+ years proven experience in running and managing infrastructure at scale using container orchestration tool kubernetes
Experience in performing migration from traditional technology stack(s) to AWS EKS or similar
Benefits
A fast paced, high performing team.
Multicultural environment with over 35 different nationalities
Competitive Tax-free Salary
Comprehensive Health insurance
Annual Air Ticket Allowance
Employee discounts at multiple vendors across the emirates
Rewards & Recognitions
Learning & Development",https://www.linkedin.com/jobs/view/2635839125/?eBP=CwEAAAGBh3pssYc8dX5Xsnn2LuaZxwpxn8pTHJybgxtLOs-fGEObX4ClPLQ6ADjJu8V1eI2BloTHCU2S2KZmB6zlh96RFASMwiG66YwweDmFQkho74ka5Ed1t-iXBFQQvXvCfwUW7kWRAVajFR7In3vyPEg1eMuRenBdJ4NjlcjolDb_Mw_TIsjlH0DqgN7RiDeIHNRVWu402bt9a-SlAnuoE6ZudQrZxhSUi4j-bjmTcemBtbcIhduIhtlgh8hW32mCZwVWBXRK1Cy5StGPDAdEIGle4dpwuXei2kA3OdfCkver1YsP6YI3fW3O4pPpGUgcNZN7DsUFhRE4KrePe4XA6LpMWSdNe2yWwy6BDSvngnA3ar2_VCnxcG71HeTT&recommendedFlavor=SCHOOL_RECRUIT&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=16PPRQGTWG0l9ln7C5WfOw%3D%3D&trk=flagship3_search_srp_jobs,DevOps Engineer,Bayut.com,4 days ago,Full-time · Entry level,"Karachi Division, Pakistan"
4,4,"Posted by
AIMA SHABIR
Talent Acquisition | HR Officer | Head Hunter | Technical Recruiter |
Send InMail
EXPERIENCE
5 - 10 years of combined overall Application development or DevOps experience
COMPETENCIES (Skill set, abilities and traits required)
Team Work
Integrity
Entrepreneurship
Achievement Orientation
Presentation Skills
Conflict Management
Client Relationship Building
Knowledge Management
Proposal Development
Strong communication and interpersonal skills
Ability to work in a fast-paced and highly growing business
Customer focused approach and ability to learn and adapt to needs and changes quickly
ROLES / RESPONSIBILITIES
Work in an Agile product team and across cross-functional teams to design, develop, test, and support complex software systems.
· Create and maintain infrastructure to support building, testing, deploying and orchestrating Micro-services
· Design and build infrastructure on premises and run regression tests.
· Deploy and manage orchestration systems to schedule maintenance jobs, Keep services available and auto-scale when testing demands grow. Implement monitoring and alerting systems around the various DevOps operations.
· Build a CI system to allow teams to run their pipelines on various other projects.
· Work in a variety of infrastructure providers from cloud providers like AWS to virtual machines and physical servers.
· Hands on experience with Docker and Kubernetes.
· Hands-on experience with DevOps tools such as Azure DevOps, Github Actions, TFS or Octopus Deploy, JIRA or any other.
· Experience in designing and deploying Micro-services
· Experience with SQL and NoSQL databases
· Experience with developing RESTful web services
· Linux experience with other open-source tools familiarity. Bash scripting and YAML files.
· Experience of Software Development processes and methodologies",https://www.linkedin.com/jobs/view/3133921407/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=AEOgMhmaOBlHZa0iIRW7mQ%3D%3D&trk=flagship3_search_srp_jobs,DevOps Engineer,Abacus Consulting,10 hours ago,Full-time · Mid-Senior level,"Islamabad, Islāmābād, Pakistan"
5,5,"Country

Pakistan

Job Family

Technology

For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every consumer’s life - and we will continue to build on this. We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media. With our headquarters in Germany and a presence in around 60 countries worldwide, you benefit from our global company with a diverse community of ~9,000 employees.

Harnessing the power of our workforce, the greatest asset we have is our people. As part of GfK, you can take your future into your own hands. We value talent, skills and responsibility and support your development within our international teams. We are proud of our heritage and our future: Currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology. This is only possible with extraordinary people and this is why we are looking for YOU to help create our future. For our employees as well as for our clients we pursue one goal: Growth from Knowledge!

Job Description

Key Activities
Ability to contribute in all phases of the product lifecycle.
Ability to multi-task.
Ability to work independently and must be self-driven.
Contribute to software life cycle strategies.
Regularly attending team meetings to discuss projects, brainstorm ideas, and put forward solutions to any issues.
Looking after all the infrastructure hosted in KHI DC and AWS including but not limited to;
Troubleshooting hardware/tools/applications/service level issues
Hardware upgrade
OS upgrades and patch management
Application deployments
Firewall administration
Monitoring
Backups and restorations
Database administration; support, backups and restorations – MySQL, MSSQL, Document DBs
Web server administration – Apache, Tomcat, NGINX, IIS
Managing internal and external DNS hosting.
Coordinate with CDN for any issue, update/addition of new rules, ensure timely synch and purging of data to CDN as per the committed SLA.
Management, Support and Administration of 3rd party hosted applications – Atlassian JIRA
User account management and server administration on both LDAP and Active Directory
Application and OS patch management to ensure information security compliance.
We are an ethical and honest company that is wholly committed to its clients and employees. We are proud to be an inclusive workplace for all and are committed to equal opportunity in employment which focuses on all of our employees reaching their full potential. At GfK we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours.

We offer an exciting work environment that brings people together. We encourage an entrepreneurial and innovative spirit. We make use of the latest digital technologies. We are looking for self-starters, who accept challenges and create solutions.

Can there be a better place to take center stage in the digital revolution? We are excited to get to know you!",https://www.linkedin.com/jobs/view/3123428865/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=n6YqmLEK7EvPPfirp4vOng%3D%3D&trk=flagship3_search_srp_jobs,Junior Site Reliability Engineer,GfK,3 weeks ago,Full-time · Associate,"Karachi Division, Pakistan"
6,6,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, IgniteTech. Have you got what it takes?

Are you tired of juggling changing instructions from multiple stakeholders, or putting down fires for the same product and using the same technology every day? Join us to supercharge your career by building efficient and stable infrastructure for a portfolio of cloud-native products.

We treasure every piece of your technical expertise. Whether you have worked with Oracle, MS SQL, Postgres or mySQL., whether you prefer fast-paced lift & shift cloud migrations or stable DB administration, we want you to have an impact in our organization.

At IgniteTech, we are reinventing the enterprise software industry. Our “Netflix for Enterprise Software” model is changing the game for how enterprises buy software, and a key element of our growth strategy is to drive great customer experiences across our broad and growing library of solutions.

What You Will Be Doing
Learning new technologies to evaluate their potential to simplify our infrastructure, improve availability and reduce costs
Monitoring and maintaining cloud services, dockerized containers and databases
Migrating non-standard components to our standardized infrastructure
What You Won’t Be Doing
Focusing on a single product or being stuck with the same set of technologies
Building customized infrastructure solutions that add complexity
DevOps Engineer Key Responsibilities
Deliver standardized, high-availability, cost-optimized infrastructure
Handle SaaS requests or incidents
Basic Requirements
2+ years of hands-on experience with Linux and AWS Services
Ability to use infrastructure configuration management, deployment, and versioning tools
Ability to deploy and configure infrastructure for virtual machines (VMWare) and to pack applications into containers and deploy them (Docker/Kubernetes)
A university degree requiring an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR equivalent experience
About IgniteTech

If you want to work hard at a company where you can grow and be a part of a dynamic team, join IgniteTech!

Through our portfolio of leading enterprise software solutions, we ignite business performance for thousands of customers globally. We’re doing it in an entirely remote workplace that is focused on building teams of top talent and operating in a model that provides challenging opportunities and personal flexibility.

A career with IgniteTech is challenging and fast-paced. We are always looking for energetic and enthusiastic employees to join our world-class team.

We offer opportunities for personal contribution and promote career development. IgniteTech is an Affirmative Action, Equal Opportunity Employer that values the strength that diversity brings to the workplace.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:
You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-4728-PK-Lahore-DevOpsEngineer.004",https://www.linkedin.com/jobs/view/3125330433/?eBP=CwEAAAGBh3pssR1-R0o_ixqGPtagFWsvw_wWFY7NhmYoxCKcQVbOxgJrvTOYf5nOqRGihO_ELNqsYqs3JtL5Bc8WZDBKwT7iLp7qL6Gkci1B3kXt6_lqQqqp0GlfJDOq5nwcQ-df-1OZadg8OvLzdEJlrTYNOQ6H4COEEdVX2JkTD6uQOMAg-8LPAGO7Ttbp7pbag-7WZmF4leracJBVSk5vpzjfCjzKNT2b9RSLoKdjxk5UEFW7gGs92Ei_XNzqcyyw-zGSZdg4BoB9fO2vOoAlTddzVoynU2EWg3EjCKtfhcQY4tHQfnbaaHEyIqSCetshMAKu2YP4LCweVki4wDO5n65faPdY33uA1qfvwe7DCd-ljInDDa2VYxP98En0eaE&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=CL8JtiQDZ0X%2Bv4qRggI3xQ%3D%3D&trk=flagship3_search_srp_jobs,"DevOps Engineer, IgniteTech (Remote) - $60,000/year USD",Crossover for Work,1 day ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
7,7,"The Division

Trapeze Europe, a division of Constellation Software Inc., provides enterprise solutions that consider the full 360 degrees of transport. The company has grown its solution portfolio and global presence to become one of the world's leading companies of software solutions and intelligent transport systems. Trapeze Group provides its solutions to public and private transport organizations and authorities across Europe, North America, and Asia Pacific.

The Position

We are seeking Trainee DevOps Engineer who will be working with our Trapeze Europe division. The hired candidate will be located and work out of the Contour Software Lahore office, working as part of the resource-center, as an extension of the division-based R&D department.

Required Qualifications
Bachelor's degree from an accredited college or university or a certificate from a technical training institute.
Fresh graduates or having 1-year of DevOps experience.
SCM processes implementation knowledge or experience.
Knowledge of source control, git.
SQL server database knowledge.
Adequate understanding of Windows servers and cloud computing.
Detailed understanding of setup and maintenance of web application with IIS
CI/CD concepts, tools and implementation.
Build Tools and Programming expertise are plus.
Adequate accuracy and fluency in written and spoken English.
A familiarity with software development methodologies, tools, languages and approaches
Exciting Benefits we offer:
Market-leading Salary
Medical Coverage Self & Dependents
Parents Medical Coverage
Provident Fund
Employee Performance-based bonuses
Home Internet Subsidy
Conveyance Allowance
Profit Sharing Plan [Tenured Employees Only]
Life Benefit
Child Care Facility
Company Provided Lunch/Dinner
Professional Development Budget
Recreational area for in-house games
Sporadic On-shore training opportunities
Friendly work environment
Leave Encashment",https://www.linkedin.com/jobs/view/3110623534/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=uC8H5tKtMW1Qh3tDV4PMWQ%3D%3D&trk=flagship3_search_srp_jobs,Trainee DevOps Engineer,Contour Software,1 week ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
8,8,"About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers. Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions. About the role We are looking for a Site Reliability Engineer (independent contractor) who will be in charge of improving our clients’ current systems and processes. You will be responsible for the availability, quality, and reliability of the platform services and applications, ensuring they satisfy the requirements of all stakeholders. You will also be responsible for performing in-depth analysis of the possible risks and countermeasures for them. Requirements
English language proficiency
At least 3 years of professional experience as Site Reliability Engineer
Project management skills
A keen attention to detail
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#GlobalOpportunities #RemoteJobSiteReliabilityEngineering",https://www.linkedin.com/jobs/view/3133501273/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=4LN4wayhNEZxkmUxyj8tyQ%3D%3D&trk=flagship3_search_srp_jobs,Freelance Site Reliability Engineer,Toptal,23 hours ago,Contract · Mid-Senior level,Pakistan
9,9,"Posted by
Aelia Adil
Student at Lahore University of Management Sciences
Send InMail
Applicant must be familiar with both Azure administration and development and must be expert in these areas. Must be responsible individual who delivers on time and is comfortable working with a team of developers.

Responsibilities
Develop an instrumentation strategy
Develop a Site Reliability Engineering strategy
Develop a security and compliance plan
Manage source control
Facilitate communication and collaboration
Define and implement continuous integration
Define and implement a continuous delivery and release management strategy

Qualifications
Preferably a Microsoft Certified DevOps Engineering Expert
Excellent verbal communication skills",https://www.linkedin.com/jobs/view/3129134297/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=Jm2ISNjyQT9Wb5JVe8UPqQ%3D%3D&trackingId=uXz87iJHtyhu0dvRjzD%2FgQ%3D%3D&trk=flagship3_search_srp_jobs,Azure DevOps Engineer,AppRays,9 hours ago,Part-time,"Lahore, Punjab, Pakistan"
