,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Whizzbridge HR
Technical Recruiter at Whizzbridge
Send InMail
We are looking for passionate Full Stack Lead to join our rocket ship who could build and scale the remote working platform further and ensure that the system is able to handle traffic in future without compromising on user experience. The ideal candidate would also mentor the current team of engineers and help them solve their problems on a day-to-day basis.

Responsibilities
• Work with founders to build best in class SaaS delivery platform•
Discuss and design the High LeWork with founders to build best in class SaaS delivery platform•
Discuss and design the High Level and low level architecture of the remote working platform.
• Solve for the current challenges faced in platform and ensure that there is no downtime.
• Mentor and grow a team of 3-5 mid-level and junior engineers and be responsible for their delivery.
• Setup the right processes for the team to function properly.
• Involved in coding and code reviews for the modules and services.
• Involved in various architectural discussions with partners to support proper integrations.
• Writing technical documentation of the system being developed for team members to refer.vel and low level architecture of the remote working platform.
• Solve for the current challenges faced in platform and ensure that there is no downtime.
• Mentor and grow a team of 3-5 mid-level and junior engineers and be responsible for their delivery.
• Setup the right processes for the team to function properly.
• Involved in coding and code reviews for the modules and services.
• Involved in various architectural discussions with partners to support proper integrations.
• Writing technical documentation of the system being developed for team members to refer.
Qualification and Job Skills
• Minimum 5 years of experience in software development.
• Minimum 4 years’ experience in coding in PHP Laravel, Node.js, and React Native.
• Minimum 2 years of experience in delivering high quality systems quickly and efficiently in a fast paced environment.
• Good understanding of software development fundamentals (Data structures, Algorithms, problem-solving, OO design, and systems architecture).
• Excellent knowledge of Relational and NoSQL databases like MySQL and MongoDB or equivalents• Familiarity with Cloud Systems (GCP / AWS), CI/CD concepts and DevOps tools (Jenkins, Dockers etc.)
• Familiarity with using Logging and Instrumentation frameworks like Sentry, Datadog, Logstash, or equivalents
• Experience with platform and browser performance analyzer tools.
• B.Tech / MCA / M.Tech or M.S. in Computer Science, Engineering, or relevant field
• Open to Work from Anywhere in our Digital office • Experience in WebRTC API’s (Agora or others), Signaling (Socket.io, Firebase, etc), WEBSockets an added advantage.
• Knowledge of multithreading, and asynchronous systems would be an added advantage
• Experience in Angular.js would be an added advantage",https://www.linkedin.com/jobs/view/3103754809/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=tkcn46%2FmUCXyZG5NMs2s6w%3D%3D&trk=flagship3_search_srp_jobs,"Sr. FullStack Developer (PHP, Node, React Native)",Whizzbridge,16 minutes ago,Full-time,"Lahore, Punjab, Pakistan"
1,1,"Posted by
Junaid Hassan
HR & Payroll I HRBP | Talent Acquisition | Organizational Development Specialist | Technical Recruiter | Startup Expert | Employer Branding | Headhunter | Employee Relations I Employee Retention
Send InMail
Requirements:
Previous working experience as a Full Stack Developer.
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Familiarity with limitations of PHP as a platform and its workarounds
Proficient in PHP, HTML5, JavaScript, JQuery Expert
Experience with PHP MVC frameworks (Symfony, Kohana, CodeIgniter, Zend, etc.)
Hands-on Vue.js or React
Excellent relational database skills with MySQL
Experience with building restful JSON web services
Understanding of responsive design frameworks such as bootstrap

If you consider yourself to be:
1) A fast learner (it's not where you start but how fast you get to the finish line that we care about)
2) Clear communicator (someone quick at responding to inquiries and updates)
3) Talented (talented people want to work with other talented people, so if you got talent, join us)
Application Questions:
• Do you have minimum 3 years of working experience as a Backend developer (Core PHP & Laravel)?
• Do you have minimum 2 Years of working experience as a Frontend developer (Vue.JS)?
• Do you speak fluent English?
Job Type: Full-time, Permanent, Remote
Salary: Above Market Competitive",https://www.linkedin.com/jobs/view/3129950857/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=g8481L%2FY1r6XN3PZmlPIkQ%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Engineer,EZ-AD,1 minute ago,Full-time,Pakistan
2,2,"Posted by
Arwa Arshad
In-house Legal Counsel at Zain Jeewanjee Insurance Agency
Send InMail
About Us:
Go One Global is undoubtedly one of the leading travel tech companies. It was founded for the purpose of ensuring safer travels through technology, and since its existence has been providing an unmatched level of service to its clients. We at Go One Global, strongly believe in prioritizing our client’s businesses above anything else. Knowing that every journey is unique in its own way, G1G is constantly exploring new ways to leverage the latest technologies to make the world a safer place for travelers by creating personalized travel insurance policies.

GENERAL DESCRIPTION OF POSITION
We are looking for a highly skilled Full Stack Developer who is comfortable with both front and back-end programming. You will be responsible for developing and designing front-end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.

Responsibilities and Duties:
Develop and improve our framework and help develop our front-end and back-end products and features of www.g1g.com including but not limited to:
Participate in our product development from ideation to deployment and beyond
Create groundbreaking new features for our users and customers, and for internal use
Work with our data team to make our product smarter and more intuitive to use
Maintain and help optimize existing systems
Designing, developing, and integrating APIs
Developing and managing well-functioning databases and applications
Designing visually appealing frontend applications
Working with development teams to find software solutions.
Handling and making technical documentation.

Skills, Expertise and Qualifications -
Requirements:
Proficient in PHP and Laravel, at least 3+ years of experience
Solid understanding of PHP MVC Frameworks such as Laravel, Symfony
Experienced in creating and consuming REST and SOAP APIs
Experienced in securing APIs with JWT authentication and Laravel Passport
In-depth understanding of the OAuth protocol
Experience in front-end technologies such as VueJS, React etc. is a plus
Proficient in HTML, CSS, Javascript, jQuery
In-depth understanding of Object Oriented programming (OOP)
Knowledge and understanding of Data structures and algorithms
Solid understanding of relational databases (MySQL, and PostgreSQL) and No-SQL databases (MongoDB, DynamoDB)
Experience with Git (BitBucket), GitHub, Backend Development Languages, and the concept of pull requests etc.
Ability to write reusable, readable and testable code following coding standards such as PSR-2
Understanding of PHP autoloader and Composer package manager
BSc degree in Computer Science, Software Engineering or related field
Ability to write Unit tests following but not limited to TDD
Experience working in an Agile team environment and understanding of the Agile methodology, SCRUM and sprints

Interpersonal skills:
Excellent verbal and written English communication skills
Exceptional problem-solving skills
Extreme attention to detail
Performs well under pressure and excels at time management with ability to complete tasks within aggressive deadlines
Ability to work independently as well as in a team
Naturally, a self-starter and task orientated
Must be customer-focused and solution-orientated
Ability to think and work effectively under pressure and accurately prioritize and complete tasks within established timeframes.
Ability to assume responsibility and exercise good judgment when making decisions within the scope of the position.
Ability to maintain confidentiality.
Ability to comply with all G1G policies and procedures.
Ability to perform the job safely with respect to others, property, and individual safety.

Environmental and Social Responsibilites:
Developing an eco-conscious organization begins on the ground level with your workforce, as it is crucial for your people to believe in your vision and practice environmentally-friendly habits in the office in order for your mission of sustainability to signal out accordingly. As G1G takes pride for working towards sustainability and making the world a safer place, there are various accessible and cost-effective measures that we encourage our employees to take as well toto reduce the overall carbon footprint and affect of environmental impact. While we have a Go-Green Policy that is implemented across the organization, here are some of the steps you can take for starters:
Promote use of recycling; commit to printing less, dispose recyclable products and waste according to the policies we have set out for such.
Carry out impact assessments on individual level to identify, assess and reduce an organisation's environmental risks and financial costs.
Promote and raise awareness, at all levels of an organisation, of the impact of emerging environmental issues with the knowledge-base you have on this.
Implement best practice in areas of corporate, ethical and social responsibility and address any issues arising.
Be mindful of the electricity and water usage.",https://www.linkedin.com/jobs/view/3133166240/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=gU5ABsrRdlsaNWlAndyHFw%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Engineer,G1G,1 day ago,Full-time,"Lahore District, Punjab, Pakistan"
3,3,"BAT is evolving at pace - truly like no other organisation.

To achieve the ambition, we have set for ourselves, we are looking for colleagues who are ready to live our ethos every day. Come be a part of this journey!

BAT GBS PAKISTAN IS LOOKING FOR A FULLSTACK DEVELOPEER

ROLE POSITIONING AND OBJECTIVES

The Full Stack Developer is responsible to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility and familiar with Agile methodologies.

What You Will Be Accountable For
Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation
Work with data scientists and analysts to improve software
Essential Experience, Skills And Knowledge
Proven 5 years’ experience as a Full Stack
Experience developing desktop and mobile applications
Familiarity with common stacks
Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)
Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)
Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design
Excellent communication and teamwork skills
Great attention to detail
Organizational skills
An analytical mind
Degree in Computer Science, Statistics or relevant field
WE ARE BAT

At BAT we are committed to our Purpose of creating A Better Tomorrow. This is what drives our people and our passion for innovation. See what is possible for you at BAT.
Global Top Employer with 53,000 BAT people across more than 180 markets
Brands sold in over 200 markets, made in 44 factories in 42 countries
Newly established Tech Hubs building world-class capabilities for innovation in 4 strategic locations
Diversity leader in the Financial Times and International Women’s Day Best Practice winner
Seal Award winner – one of 50 most sustainable companies
BELONGING, ACHIEVING, TOGETHER

Collaboration, diversity and teamwork underpin everything we do here at BAT. We know that collaborating with colleagues from different backgrounds is what makes us stronger and best prepared to meet our business goals. Come bring your difference!",https://www.linkedin.com/jobs/view/3124759386/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=Ql85QJtVOWpt025bUzxoaA%3D%3D&trk=flagship3_search_srp_jobs,FULLSTACK DEVELOPER,BAT,1 week ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
4,4,"WHO ARE WE?

Afiniti uses data science to enhance human interactions in large enterprises by efficiently pairing customers with company representatives. Our current main focus is improving customer interactions in fields ranging from telecommunications to healthcare to banking to hospitality.

This position is located in Pakistan.

Key Responsibilities
Interested in Front End Engineering
HTML, CSS, Javascript, React, Nodejs, git
Good problem solving skill
Candidate will have an exposure to work on the key Afiniti tool, building it from scratch.
Requirements
Candidate must be a fresh grad or undergrad for BS/MS degree in Computer Science or related field
Fundamentals in problem solving, computer science, algorithm design, complexity analysis",https://www.linkedin.com/jobs/view/3130025487/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=DHuQ6dQlh5inRcuGtBU9kw%3D%3D&trk=flagship3_search_srp_jobs,Front End Developer - Intern,Afiniti,4 days ago,Internship · Internship,"Lahore, Punjab, Pakistan"
5,5,"POSITION: Frontend Development Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to a business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment leveraging our deep industry experience, along with using analytical rigor to drive outstanding results for businesses. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Frontend Development Intern to join them in the upcoming weeks. This position is great for an aspiring frontend development professional looking to work on business-critical projects and gain relevant work experience.

Your Profile
Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Willingness to learn and develop frontend development skills
Competitive and proactive attitude
Capacity to stay professional in stressful/dispute situation
Fluency in English
You Will Learn How To
Help create landing pages for our new services, features, webinars and marketing campaigns
Maintain, evolve and improve our website experience for thousands of users
Work closely with our friendly, creative and helpful marketing team, sales team and project managers
Design, build, test, deploy and maintain mission-critical, customer-facing web applications
Use different technologies and tools to support the delivery of high-quality software
Adjust different approaches dependent on project requirements
Write clear and consistent code and assure its quality
Analyze project requirements, design documents and maintain software specifications as a member of the project development team
Accomplish complex business projects and cooperate with an international client
At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",https://www.linkedin.com/jobs/view/3130349896/?eBP=JOB_SEARCH_ORGANIC&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=HqBdWryFrrpXhrvT7sHXLw%3D%3D&trk=flagship3_search_srp_jobs,Intern/Junior Frontend Developer (Remote Frontend Development Internship),Brainnest,4 days ago,Full-time · Internship,"Lahore, Punjab, Pakistan"
6,6,"POSITION: Frontend Development Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to a business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment leveraging our deep industry experience, along with using analytical rigor to drive outstanding results for businesses. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Frontend Development Intern to join them in the upcoming weeks. This position is great for an aspiring frontend development professional looking to work on business-critical projects and gain relevant work experience.

Your Profile
Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Willingness to learn and develop frontend development skills
Competitive and proactive attitude
Capacity to stay professional in stressful/dispute situation
Fluency in English
You Will Learn How To
Help create landing pages for our new services, features, webinars and marketing campaigns
Maintain, evolve and improve our website experience for thousands of users
Work closely with our friendly, creative and helpful marketing team, sales team and project managers
Design, build, test, deploy and maintain mission-critical, customer-facing web applications
Use different technologies and tools to support the delivery of high-quality software
Adjust different approaches dependent on project requirements
Write clear and consistent code and assure its quality
Analyze project requirements, design documents and maintain software specifications as a member of the project development team
Accomplish complex business projects and cooperate with an international client
At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",https://www.linkedin.com/jobs/view/3130355120/?eBP=JOB_SEARCH_ORGANIC&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=t9VQ%2Brt9XnstcWE7UM3sdQ%3D%3D&trk=flagship3_search_srp_jobs,Intern/Junior Frontend Developer (Remote Frontend Development Internship),Brainnest,4 days ago,Full-time · Internship,"Islamabad, Punjab, Pakistan"
7,7,"Posted by
Huma Komal
Web Developer | social media officer
Send InMail
Requirements:
1) Applicant must have good programming logical skills in any programing language.
2) Applicant must have a little bit of experience in adding and modifying new features in existing scripts jQuery or JS.
3) The candidate must have an idea about PHP, HTML, and CSS.
Candidates having web development experience in any organization will be preferred.
However Fresh degree holder candidates can also apply.
*****𝐀𝐩𝐩𝐥𝐲 𝐍𝐨𝐰*****
Drop your CV at: hr@niais.org
Contact Us: 0325-2425056",https://www.linkedin.com/jobs/view/3133917680/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=BbyXeixU3tOiJ25QPNX4KA%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Engineer,National Initiative For Artificial Intelligence and Security,11 hours ago,Full-time,"Lahore, Punjab, Pakistan"
8,8,"Posted by
Fawad Soomro
Human Resources Officer at RA & Co Chartered Accountants
Send InMail
We are urgently looking for Talented candidate for the position:

Designation: Angular Developer
Qualification: BSCS / Diploma in Computer Science
Experience: 6 months to 1 year
Location: Karachi",https://www.linkedin.com/jobs/view/3134472019/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=AIrwXQqw%2BYBFn7fHScGUYg%3D%3D&trk=flagship3_search_srp_jobs,Angular Developer,RA & Co Chartered Accountants,33 seconds ago,Full-time,"Karāchi, Sindh, Pakistan"
9,9,"POSITION: Frontend Development Intern

LOCATION: Remote

SCHEDULE: Part-time (10-20h/week)

About Brainnest

The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to a business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed. Since 2020, we offer a combination of expertise, proficiency, and commitment leveraging our deep industry experience, along with using analytical rigor to drive outstanding results for businesses. We proudly provide top-class consulting and training services for a wide range of industries around the world. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.

Our team is looking for a Frontend Development Intern to join them in the upcoming weeks. This position is great for an aspiring frontend development professional looking to work on business-critical projects and gain relevant work experience.

Your Profile
Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Willingness to learn and develop frontend development skills
Competitive and proactive attitude
Capacity to stay professional in stressful/dispute situation
Fluency in English
You Will Learn How To
Help create landing pages for our new services, features, webinars and marketing campaigns
Maintain, evolve and improve our website experience for thousands of users
Work closely with our friendly, creative and helpful marketing team, sales team and project managers
Design, build, test, deploy and maintain mission-critical, customer-facing web applications
Use different technologies and tools to support the delivery of high-quality software
Adjust different approaches dependent on project requirements
Write clear and consistent code and assure its quality
Analyze project requirements, design documents and maintain software specifications as a member of the project development team
Accomplish complex business projects and cooperate with an international client
At Brainnest, we’re committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",https://www.linkedin.com/jobs/view/3130350891/?eBP=JOB_SEARCH_ORGANIC&refId=6fo7xfFxEoSCvaSjSRojjw%3D%3D&trackingId=MvTekhqMUJI32daAcWtq%2Bg%3D%3D&trk=flagship3_search_srp_jobs,Intern/Junior Frontend Developer (Remote Frontend Development Internship),Brainnest,4 days ago,Full-time · Internship,"Hyderabad, Sindh, Pakistan"
