,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"TITLE: Senior Mechanical Engineer

REPORTS TO: Deputy/Assistant Manager Maintenance

LOCATION: Faisalabad, Pakistan

Rafhan Maize Products Co. Ltd. (Ingredion Incorporated) is hiring Senior Mechanical Engineer, who will be responsible for monitoring and controlling plant operation and maintenance activities.

As Senior Mechanical Engineer, Your Responsibilities Will Include
Delivering safety talk on daily basis before assigning the job to workers to ensure the accident-free environment
Managing available resources to execute the maintenance jobs
Preparing maintenance orders and store issuance requisitions in SAP
Ensuring the corrective and preventive maintenance of all equipment as per schedule
Preparing and evaluating the bills of contractor as per actual scope of work
Preparing, keeping and updating the record of preventive and corrective maintenance
Analyzing the actual requirement of items and amend the store inventory levels
Ensuring the timely preparation of monthly reports related to departmental activities
Ensuring the timely completion of month end closing in SAP
Raising PRs, evaluating QEMs for selection of material, preparing maintenance orders, store issuance requisitions and month end closing in SAP
Observing the ongoing daily activities performed by the workers and making appropriate changes where required for the safe execution of job
Ensuring timely completion of ongoing projects well in allocated budget
Sharing the different way outs with Engineers / Foreman to carryout jobs
Working for the implementation of CSI projects
Assisting seniors to ensure the implementation of company policies and SOPs
Performing all the jobs assigned by the seniors
Working for compliance of company IMS policies to meet the targets
Assisting seniors for the preparation of ISO, SMETA, Regulatory Support Visits and Food audits
Assisting seniors to fulfill the regulatory requirements
This Position Is Well-suited For You If You Have
Good understanding of Chemical, Food or Process Industry
Team management skills
Qualified Candidates Will Have
B.Sc./M.Sc. Mechanical Engineering
Proven multidirectional experience of operation & maintenance of equipment
Knowledge of MS Office, SAP, ERP System, Six Sigma
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

About Us

Rafhan Maize is an affiliate of Ingredion Incorporated, USA which has strong global presence with commercial and manufacturing operations in more than 60 countries of the world. Our strategy is a unique blend of volume growth and operational excellence. We are pursuing tri dimensional strategy to grow organically, geographically and by broadening ingredients portfolio.

If you are inspired by professional challenges and the rewards that come from a high level of performance, then Ingredion (Rafhan Maize) is the company for you. At Ingredion (Rafhan Maize) you can be a member of a globally connected team inspired to achieve great things.

We believe in the power of our people to work together to seize opportunities, overcome obstacles and exceed expectations. Each day, individuals make a meaningful difference in the quality of our products and the success of our technology and operations and, in turn, the quality of life for consumers.

Relocation Available:

No",https://www.linkedin.com/jobs/view/3023491599/?eBP=CwEAAAGBh7JKFaOGN4D71Pw0DgNuI4lZ5Yu57jgL5JKWl99lPS5GluL0xp7kJPVs409BCjk0_9B_z3M_1fbCYnVy07pouYScZVlGZBnjGm0xzH42RdNhzB3wHPj-KPEMR00yQD6i5zvocWCFCWgwPGhztpFfrDAkmWNzWvivgMDpSUFrwfs9o5k1blLyRKcrJ8WjqXCpT7UX4WSC_xF9SefkEmR88NqHuXIm96bBJQqsM8kYC9sgUxOr3UUzR-PG7NOjylzYXII9Na1tuvgCyECtm4nMMxmqc0Fd8C7vSXuvYM8ITXEQj9jhbOL-h3BnEwLBbn1jjnR6sxWrFVBAI7N_kfs8Hc9a-Kh7MiUn4YiZAUN4-p7z7L6sHgqcM1s6&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=po0CeBooqE1oa77teQ4zfg%3D%3D&trk=flagship3_search_srp_jobs,Senior Mechanical Engineer,Rafhan Maize Products Co. Ltd.,5 days ago,Full-time · Mid-Senior level,"Faisalabad, Punjab, Pakistan"
1,1,"Posted by
Jarrar Haider
Assistant Manager HR
Send InMail
Main Accountabilities

Planning and designing of complete Public Health, Fire Fighting & HVAC services with support of Senior Members
Doing all necessary design calculations for Mechanical design
Preparation and Review of Public Health, Fire Fighting & HVAC design drawings
Coordinating with Senior Management and Design Team to assure project stability and to meet technical needs of the project
Collaborate cross- with different design teams on various design requirements and improvements
Coordinating with draft persons to prepare mechanical drawings as per design requirements
Producing necessary technical documents including Bill of Quantities (BOQ), Engineer’s Cost Estimate & technical specifications
Responsible for Identification of new technology & its deployment for a modernized and cost-effective solution
Create progress reports to streamline projects and increase efficiency

Qualification & Experience

BSc Mechanical Engineering
0-3 years of Experience (Public Health, Fire Fighting & HVAC System Design)

Job Specific Skills

Self-Motivated & Result Oriented
Excellent communication and Interpersonal skills
Team Player & Problem-Solving Approach
Sound Knowledge of Mechanical Design Codes
Proficient in Mechanical Design softwares",https://www.linkedin.com/jobs/view/3133905746/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=Q9ZQGuUNx1GWwszfYyJStA%3D%3D&trk=flagship3_search_srp_jobs,Junior Mechanical Design Engineer,Zameen Developments,13 hours ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
2,2,"Posted by
Jarrar Haider
Assistant Manager HR
Send InMail
Main Accountabilities

Planning & designing of complete Public Health, Fire Fighting & HVAC services
Providing optimized solutions for building services of the project
Collaborate cross-functionally with different design teams on various design requirements and improvements
Supervise drafting team & Communicating design requirements
Preparation of Design & Tender Documents with Engineer Estimation
Provide guidance to junior design staff and draft personals
Preparing Monthly Progress Reports, Initiating Backlog Clearance, Resolving Bottleneck Mechanical Issues

Qualification & Experience

BS Mechanical Engineering
5+ years of experience (preferably in mechanical design services)

Job Specific Skills

Self-Motivated & Result Oriented
Excellent Interpersonal Skills
Team Player & Problem-Solving Approach
Sound Knowledge of Electrical Design Codes
Proficient in Mechanical Design softwares",https://www.linkedin.com/jobs/view/3133902741/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=qrOXrnpKylCB2F6P66UD4w%3D%3D&trk=flagship3_search_srp_jobs,Mechanical Design Engineer,Zameen Developments,13 hours ago,Full-time · Mid-Senior level,"Lahore, Punjab, Pakistan"
3,3,"TITLE: Senior Mechanical Engineer

REPORTS TO: Deputy/Assistant Manager Maintenance

LOCATION: Faisalabad, Pakistan

Rafhan Maize Products Co. Ltd. (Ingredion Incorporated) is hiring Senior Mechanical Engineer, who will be responsible for monitoring and controlling plant operation and maintenance activities.

As Senior Mechanical Engineer, Your Responsibilities Will Include
Delivering safety talk on daily basis before assigning the job to workers to ensure the accident-free environment
Managing available resources to execute the maintenance jobs
Preparing maintenance orders and store issuance requisitions in SAP
Ensuring the corrective and preventive maintenance of all equipment as per schedule
Preparing and evaluating the bills of contractor as per actual scope of work
Preparing, keeping and updating the record of preventive and corrective maintenance
Analyzing the actual requirement of items and amend the store inventory levels
Ensuring the timely preparation of monthly reports related to departmental activities
Ensuring the timely completion of month end closing in SAP
Raising PRs, evaluating QEMs for selection of material, preparing maintenance orders, store issuance requisitions and month end closing in SAP
Observing the ongoing daily activities performed by the workers and making appropriate changes where required for the safe execution of job
Ensuring timely completion of ongoing projects well in allocated budget
Sharing the different way outs with Engineers / Foreman to carryout jobs
Working for the implementation of CSI projects
Assisting seniors to ensure the implementation of company policies and SOPs
Performing all the jobs assigned by the seniors
Working for compliance of company IMS policies to meet the targets
Assisting seniors for the preparation of ISO, SMETA, Regulatory Support Visits and Food audits
Assisting seniors to fulfill the regulatory requirements
This Position Is Well-suited For You If You Have
Good understanding of Chemical, Food or Process Industry
Team management skills
Qualified Candidates Will Have
B.Sc./M.Sc. Mechanical Engineering
Proven multidirectional experience of operation & maintenance of equipment
Knowledge of MS Office, SAP, ERP System, Six Sigma
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

About Us

Rafhan Maize is an affiliate of Ingredion Incorporated, USA which has strong global presence with commercial and manufacturing operations in more than 60 countries of the world. Our strategy is a unique blend of volume growth and operational excellence. We are pursuing tri dimensional strategy to grow organically, geographically and by broadening ingredients portfolio.

If you are inspired by professional challenges and the rewards that come from a high level of performance, then Ingredion (Rafhan Maize) is the company for you. At Ingredion (Rafhan Maize) you can be a member of a globally connected team inspired to achieve great things.

We believe in the power of our people to work together to seize opportunities, overcome obstacles and exceed expectations. Each day, individuals make a meaningful difference in the quality of our products and the success of our technology and operations and, in turn, the quality of life for consumers.

Relocation Available:

No",https://www.linkedin.com/jobs/view/3023498610/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=YR5Y21ygCZSSAvYQgFSbIw%3D%3D&trk=flagship3_search_srp_jobs,Senior Mechanical Engineer,Ingredion Incorporated,5 days ago,Full-time · Mid-Senior level,"Faisalabad, Punjab, Pakistan"
4,4,"TITLE: Boiler Engineer

REPORTS TO: Manager Powerhouse

LOCATION: Jaranwala, Punjab

Rafhan Maize Products Co. Ltd. (Ingredion Incorporated) is hiring Boiler Engineer, who will be responsible for ensuring smooth the operation of Co-gen Plant and other utilities in compliance with company policies and reporting system.

As Boiler Engineer, Your Responsibilities Will Include
Monitoring Boiler Water Level, related pumps and burning system of Boilers in operation at Co-gen and Utilities department
Supervision of coal crushing and conveying system
Supervision of ash handling and conveying system
Preparing the Plant Shift Report and Log Sheet
Checking the quality of boiler feed water, boiler blow down, process water and condensate return periodically during the shift
Ensuring proper function of canal water settling system and tube wells for ground water supply
Controlling the loss due to leakage of steam, water, gas, air, condensate at all the process plants
Closing valve in case of any major leakage of steam, steam condensate, water, gas, furnace oil and air
Ensuring proper working of safety devices at the boiler, air compressors, LPG/SNG plant and the cooling towers
Ensuring efficient operation of wastewater treatment and ensure the compliance of NEQS of effluent water discharge from WWTP
This Position Is Well-suited For You If You Have
Knowledge of Co-generation powerhouse and Utilities operations
Basic computer skills (MS Office); working knowledge of SAP will be preferred
Good written and verbal communication skills; preliminary level English language skills are desirable
Qualified Candidates Will Have
Matric; preferably DAE; 1st Class Boiler Competency Certificate
A few years of experience in the operation and maintenance of coal fired CFB boiler and water softening plant
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, color, religion, age, national origin, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, military status, or disability status.

About Us

Rafhan Maize is an affiliate of Ingredion Incorporated, USA which has strong global presence with commercial and manufacturing operations in more than 60 countries of the world. Our strategy is a unique blend of volume growth and operational excellence. We are pursuing tri dimensional strategy to grow organically, geographically and by broadening ingredients portfolio.

If you are inspired by professional challenges and the rewards that come from a high level of performance, then Ingredion (Rafhan Maize) is the company for you. At Ingredion (Rafhan Maize) you can be a member of a globally connected team inspired to achieve great things.

We believe in the power of our people to work together to seize opportunities, overcome obstacles and exceed expectations. Each day, individuals make a meaningful difference in the quality of our products and the success of our technology and operations and, in turn, the quality of life for consumers.

Relocation Available:

Yes, Within Country",https://www.linkedin.com/jobs/view/3023499760/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=MuN1VqdLMzDD3yCpQxb2VQ%3D%3D&trk=flagship3_search_srp_jobs,Boiler Engineer,Ingredion Incorporated,5 days ago,Full-time · Mid-Senior level,"Jarānwāla, Punjab, Pakistan"
5,5,"Control building experiences include but are not limited to structural estimations, Structural analysis (STAAD), HVAC proposals
Understanding of building materials, techniques, and processes
Design reviews for Skids including stress analysis of piping and structure
Hands-on experience in piping, instrumentation, and fabrication
Hands-on experience in using ASME / ASTM / AISI and construction-related international codes and standards
Inspection and supervision of project activities in line with project specifications and applicable standards
Vendor and subcontractor management
Integration and testing of the final package as per project specifications
Experience in proposals, tenders, and bidding procedure is a plus
The project, procurement management, and cost-controlling abilities
Excellent skills in technical writing and reporting
Flexible approach to work and ability to adapt

Requirements:

Master's or Bachelors in Mechanical Engineering
Experience: 3 to 5 years
PMP is preferred",https://www.linkedin.com/jobs/view/3057202969/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=XtjwJ%2FUtwqIluZEwTHvgIw%3D%3D&trk=flagship3_search_srp_jobs,Project Engineer,INTECH Process Automation,2 months ago,Full-time,"Lahore, Punjab, Pakistan"
6,6,"Project Engineer (Electrical) will be a part of project execution team BU Transmission Solution in Karachi, which is responsible for execution and completion of Grid Stations projects in line with time, cost and quality requirements.

Project Engineer (Electrical) Support the Project Manager in the execution of the project to achieve completion of the agreed scope within agreed budget, time and accepted quality standards.
Prepare and update project plans and management plans. Ensure plans consider risks and include appropriate mitigations.
Actively communicates with all stakeholders and other project team members for resolution of project related issues
Co-ordinate with design team to deliver design as per clients' standards and specifications.
Analysis and management of project schedules from suppliers/contractors to ensure accuracy of project master schedule.
Monitor and prepare reports to management on project progress, cost and performance (incl contractors) against program and budget targets.
Ensure that project risks are identified, assessed and updated. Monitor and report to management on project risks and issues and its response plan.
Support Project Manager in arranging for the procurement of materials and external services associated with the projects.
Arrange for outages of the HV system in association with the Site Manager.
Provide advice, information, reports and submissions to achieve technical objectives.
Develop presentations on technical areas for stakeholder engagements and for internal project team.
Ensuring compliance with relevant financial requirements.
Support Project Manager in day-today contract management.
Support Site Manger with on-site inspections.
Monitor contractor performance (KPIs), prepare and issue summary status reports on contractor performance.
Assist with the development and implementation of plans to enable the effective administration of contracts.
Ensures compliance with Quality and EHS standards for all projects.
Performs according to the Company Business Conduct Guidelines and establishes a culture of trust and integrity.
Your Qualifications and Skills - Digital and Solid!

A degree in Electrical Engineering from a reputable university.
Have good knowledge, experience and understanding of design and construction of substations.
Minimum 10 years’ experience in execution of projects out of which at least 5 years of experience in execution of substation projects. Must have executed 1 project of 220kV level or higher.
Well-developed interpersonal, report writing and business reporting skills.
Good analytical and problem-solving skills.
Proficiency in MS Office
Good Proficiency in English (Verbal and Written)
Organization: Siemens Energy

Company: Siemens Pakistan Engineering Co. Ltd.

Experience Level: Experienced Professional

Job Type: Full-time",https://www.linkedin.com/jobs/view/3115279561/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=mkXs%2BV0tWsALGvTdsFazzw%3D%3D&trk=flagship3_search_srp_jobs,Project Engineer,Siemens Energy,1 week ago,Full-time · Associate,"Karāchi, Sindh, Pakistan"
7,7,"The Role: Quality Engineer II

The Team: The Quality Engineering team works in partnership with other Technology Functions and the Business to ensure quality delivery of our products. The team works in an Agile environment and is located globally. The team is independent in driving all decisions and is responsible for continuously improving customer experience, revenue growth and operations enablement through quick turn-around of development of our products with high quality.

The Impact: As QE II, you will make a significant contribution in building solutions to test applications across Web/Windows/API/Services and framing efficient data comparison methods. Your challenge will be reducing the “time to market” for products without compromising quality, by leveraging automation and innovation. You will use a wide range of technologies and have the opportunity to interact with different internal teams.

What’s In It For You
Working with a team of highly skilled, ambitious and result-oriented professionals.
Using a wide range of cutting-edge technology to innovate while testing.
An ever-challenging environment to hone your existing skills in Automation service layer testing, SQL scripting etc.
A great opportunity to think and execute like a developer while performing the role of QA.
Being a part of an organization which values ‘Culture of Urgency’ and ‘Shift Left’ approaches.
A plenty of skill building, knowledge sharing, and innovation opportunities.
Building a fulfilling career with a global financial technology company.
Responsibilities
Develop automation/performance scripts that meet organization standards and build reliable, reusable and maintainable automated regression suites & test harness
Leverage tools and frameworks to build automation/performance scripts with quality code to simplify testing scenarios
Design and develop test plans, test cases based upon functional and design specifications, execute test cases and analyze and report test results to the teams
Work in partnership with the development teams to deliver business functionality on time with required quality that meets the acceptance criteria
Focus on building efficient solutions for Web, Services/APIs, Database, mobile testing requirements.
Participate in internal/cross team meetings, project scoping, functional reviews, test specifications, technical reviews for assigned projects in an Agile environment
Participate actively in functional, system and regression testing activities
Capture quality assurance data and metrics to provide insights and conclusions
Estimate and perform risk analysis for quality delivery
What We’re Looking For
2-4 years of experience in software testing or development with good understanding of testing, coding and debugging procedures
Experience in programming using Python/C#/Java or other languages
Experience in design and development of automated tests using automation tools (e.g. Selenium, Appium) with exposure in testing across the application layers (UI/Service/Data layers/Mobile)
Experience in advising team to identify automatable test cases at different layers (UI, Services and Data layer tests). Ability to working with developers to build automation/performance friendly code is a plus.
Experience in refactoring test automation/performance suites as necessary
Experience working with SOAP and REST service and understanding of SOA architecture
Experience of SQL/PL-SQL, writing SQL queries, stored procedures and RDBMS
Exposure to Behavior Driven Development (BDD) practices and experience in Agile methodology is highly desirable
Exposure to testing in CI, DevOps, rolling deployment/upgrade model is highly desirable
Experience in developing Test Plans and Test Cases, engage in Exploratory Testing, creating and maintaining Defect Reports
Experience in performance testing tools like HP LoadRunner/Performance Center/StormRunner, JMeter.
Demonstrate ability to explain complex technical issues to both technical and non-technical audiences
Strong communication skills and ability to produce clear, concise and detailed documentation
Excellent problem solving, analytical and technical troubleshooting skills
Bachelor's or higher qualification in Computer Science, Information Systems or equivalent is preferred
Equal Opportunity Employer

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.

US Candidates Only: The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group)

Job ID: 274411

Posted On: 2022-06-14

Location: Islamabad, Pakistan",https://www.linkedin.com/jobs/view/3126378710/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=WT19JRv5nM9S1qZAHesFcA%3D%3D&trk=flagship3_search_srp_jobs,QUALITY ENGINEER II,S&P Global Market Intelligence,1 week ago,Full-time,"Islamabad, Islāmābād, Pakistan"
8,8,"Join Barrick at Reko Diq, Pakistan.

Barrick is a multinational mining company with 9 operating Gold Mines, 3 Copper Mines together with various exploration sites across the global.

Our Reko Diq Greenfields Copper project will be one of the largest Copper Mining operations in the world and we are searching for best-in-class people to join us.

This is a remote site location within the desolate areas of Balochistan.

Being Part Of The Project Team And Reporting Into The Engineering Manager - We Are Searching For a Project Engineer - Mechnical To

Lead mechanical engineering design of the Reko Diq project from feasibility through to project implementation.

Functions / Responsibilities
Management of early stage works for site establishment
Deliver supply input requirements to enable contract tender and management
Feasibility study leadership working with engineering partner for;
Design specifications review and approval
Equipment specifications and option selection
Constructability and maintainability reviews
Develop project plans, schedules and sequencing for relevant project elements to ensure proper planning of all civil related aspects of the project work
Drive value opportunities and quality review through detailed design and project implementation;
Role will report to the Engineering Manager as one of a team of engineering disciples
Skills / Qualifications
Degree in Mechanical Engineering
Experience working on project scoping and design of major infrastructure / facility projects
Experience working on major infrastructure / facility construction
Experience defining design specifications based on site conditions
Experience working in Pakistan
Barrick - becoming the world’s most valued gold and copper mining business.

Job

Capital Projects

Primary Location

Pakistan-Balochistan-Reko Diq

Unposting Date

Ongoing",https://www.linkedin.com/jobs/view/3120922593/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=jb11avTHaDR84Gvd%2F7AI1g%3D%3D&trk=flagship3_search_srp_jobs,Reko Diq - Project Engineer - Mechanical,Barrick Gold Corporation,1 month ago,Full-time · Entry level,"Balochistan, Pakistan"
9,9,"Quality Engineer will be a part of project execution team BU Transmission Solution, which is responsible for execution and completion of Grid Stations projects in line with time, cost and quality requirements.

Quality Engineer will:

-Support the Project Manager (PM) in achieving project-specific quality objectives. He will plan the project-specific quality assurance measures together with the Project Manager.
-He will execute a project-specific quality assurance plan (QA plan) on the basis of the existing Quality Management (QM) system and any necessary supplements.
-Check that the quality requirements are implemented. He will take part in defining and checking processes, and if deviations from the targets are found, he derives corrective measures.
-Track the status of the project-specific quality assurance measures and any deviations from the quality management requirements
-Identify customer quality requirements, develop, and implement Method Statements, Job Safety Analysis, Inspection and test plans (ITPs)
-Ensure compliance with Quality standards for the projects. He should be familiar with ISO 9001, ISO 14001, ISO 27001 and ISO 45001 standards
-Liaison with subcontractors particularly civil & ETC contractors, for completion of project in accordance with required specifications
-Work with Supplier Quality, Purchasing, and/or Suppliers directly to develop a strategy to ensure purchased material meets project requirements.
-Provide customer-facing support during on-site visits / audits
-Facilitate PM@Siemens project quality process and gate completion with the project team
-Conduct internal audits to support compliance to the Quality Management System (QMS)
-Actively communicate with all stakeholders including other team project teams and responsible for resolution of project related issues
be deputed in Karachi region for execution of projects
Your Qualifications and Skills – Digital and Solid!

A bachelor’s degree in Electrical Engineering from reputable university
3-4 years’ experience as Quality Engineer (preferably in grid station construction projects)
Good communication skills
Proficiency in MS Office
Proficiency in English (Verbal and Written)
Organization: Siemens Energy

Company: Siemens Pakistan Engineering Co. Ltd.

Experience Level: Experienced Professional

Job Type: Full-time",https://www.linkedin.com/jobs/view/3101005500/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NPthXr5kwo3RlxyaRyhhlA%3D%3D&trackingId=mlAV56AyZcFa%2Bn2mrgmpPw%3D%3D&trk=flagship3_search_srp_jobs,Quality Engineer,Siemens Energy,1 day ago,Full-time · Associate,"Karāchi, Sindh, Pakistan"
