,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Sara Zafar
サラ| PeopleOps Lead - 433 | Ex - Daraz (Alibaba) | Japan Enthusiast | Recruit | Branding
Send InMail
About Daraz

Daraz is South Asia's leading online shopping and selling platform present in Pakistan, Bangladesh, Sri Lanka, Myanmar and Nepal. We currently operate an ecosystem of ~50,000 sellers serving 10 million consumers with more than 20 million listed products.
In May 2018 Daraz was acquired by Alibaba Group, and we are proud to carry our part of the mission to 'make it easy to do business anywhere'. As part of the Alibaba ecosystem, we are leveraging Alibaba’s global leadership and experience in technology, online commerce, mobile payment and logistics to drive growth in our markets. Together with Alibaba, we are ready to empower entrepreneurs in the region and to fulfill our promise to offer our customers the best selection of products with a high level of convenience.
We currently have approximately 3,000 employees in across countries and business units.

Job Description & Requirements:

Responsible for the implementation, troubleshooting and verification of devices configurations and standardization across Daraz Sites on a Regional level
Responsible for the standard design implementation of networks on new sites
Should be proficient in BGP and OSPF
Configuring and managing multivendor hardware like CISCO, LINKSYS, FortiGate and UniFi
Monitor Network equipment and its utilization across Branches through MRTG/PRTG
Coordination with affiliates to ensure Service level 24/7
Should have basic experience on managing remote network devices

What we offer:
International working environment in a start-up setting, and a unique opportunity to learn from the best in e-commerce (Alibaba Group) and business growth.
A platform to learn from Alibaba’s world-leading ecosystem with regular visits to China and South East Asia.
Rigorous training and exposure in team management, leadership, business analytics, and operations.
An opportunity to train the next generation of business leaders in the ‘tech’ industry.
Competitive salary and incentive package
Health & life insurance
Relocation support (if applicable)",https://www.linkedin.com/jobs/view/3093091237/?eBP=CwEAAAGBh8F8FdSmr7UqmTDe-DJsMCjww7BUiWqOBi29nilFE40oqT0i2sdix_S-OSHKWl8f_zAiORIDWtamxIYwqTzS9sb_CR0Ckvw9eVgQgGS4O9b7aQ8XO1eA6LYuWSZbHWL0C3WtDjDANTrSOiOm7K8zm6VmDu20iHZzDwNLXPA62pKqlgMapI3utnZ2sEevb1vtFui3v9yUL6Q9HpU7SGksHzcDk6DF-W3sKjMW8e-X26O_dFiAVhw9gMlAS1QVBupPAXVT_5W9y375O-_rVv0zp3LLTCm11OahWbWLa73SCdTdOG48OVPjYHIwCVA_rB-OHi6q7I7dc2p4QkCJIW-4PXbEFgAzEiRtlrBgT0Wp99XHkx810FfBgrxY&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=rnhcGhvoFO243Mk8vBn1Yg%3D%3D&trk=flagship3_search_srp_jobs,Network Engineer,Daraz,3 weeks ago,Full-time · Associate,"Karāchi, Sindh, Pakistan"
1,1,"UsThe ENTERTAINER is a leading digital company whose main goal is to add value to consumers by bringing them the best incentive offers globally. We are a data-driven, 100% digital, tech company. Providing first-rate offers across renowned dining, leisure, entertainment and hotel brands worldwide, the ENTERTAINER has grown with the aim of creating unbeatable value and loyalty everywhere we go.We believe that “experience is everything”, resulting in our passion for creating unforgettable experiences for both our customers, partners and employees.The TeamThe E-business team’s mission is to build simple, user-friendly digital experiences that delight the millions who use our products. The team’s responsibilities include product innovation, engineering, infrastructure, project delivery, data, IT & Ops. We work in an agile, fast-paced environment and align closely with teams across the business to identify, build and support the best possible solutions for our users. We’re passionate, curious, a bit intense and a lot of fun. All at the same time.
Role and Responsibilities

Being a key part of SOC Team, Network Security Engineer responsibility is monitoring of the Network Security Solutions and conduct PENTESTs. The selected candidate will be tasked to implement, manage, monitor Network Security Solutions based on the Entertainer’s Best Practice guideline, Coordinate with Systems Administrators, Development, SOC Team, and monitor all Cloud and On-Premise Infrastructure and ensure proper monitoring of cyber security.

Monitoring, Configuration, Maintenance of Security Systems.
Monitor the Security and action on the issues raised by SOC Team working in shifts.
Coordinate with related department and resolve all security Tickets.
Monitor all Dashboards and metrics and develop ways to improve infrastructure monitoring.
Install, configure and maintain all security and monitoring packages/software.
Improve, maintains and monitors network security by performing security reviews on the network
Troubleshoots complex issues in network systems to identify root cause and debug malfunctions in network communications.
Implements preventive measures to enhance network consistency, measurability, availability and security.
Security Assessment for all software deployments.
Investigates, recommends and installs new technology enhancements and applies technical knowledge to enhance network availability and recovery form incidents.
Implements data and network security through firewalls, UTM, IPS/IDS, ACS and VPN technologies.
Internal Infrastructure Security Assessment and reviews for Servers, Network, Firewalls
PENTESTs for Web and Mobile Apps
Provide technical guidance and educate team members regarding best practices in Security and Monitoring.
Setup, Maintain and Monitor all Automated Alerts
Documentation for all related.
Qualifications and Education Requirements

Bachelors/Masters in Computer Science/ Telecommunication or relevant.

Preferred Experience & Skills

1-9 years of experience and following are the desired skills.

Strong Knowledge of Linux
Strong knowledge of Python, Php based web applications & APIs.
Proven experience of use of different PENTEST Tools
Strong domain knowledge of common vulnerabilities like Buffer overflows, SQL Injection, Cross-site scripting, CSRF, Denial of service, Error handling, Poor or non-existent session IDs, Cookie hijacking, Command injection, Brute Force attack, Weak authentication, Trojans and Backdoors.
Experience in Amazon Web Services will be a plus
Experience in Microsoft Azure Cloud will be a plus
Cloudflare, Firewalls, AWS Cloudtrail, Guard-Duty, VPC Flow Logs
Opensource Security & PenTest Tools
Basic Knowledge of:

Apache, Gunicron, Ngnix
MySQL, Perconna, Mongo
GIT
Redis, Celery, Elasticsearch
AWS S3, Cloudfront, EC2, RDS, Aurora
Additional Notes

AWS Certified Security – Specialty",https://www.linkedin.com/jobs/view/2849732701/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=TZHKAWsnjvs9wdwiCkqRXw%3D%3D&trk=flagship3_search_srp_jobs,Network Security Engineer (Linux platform),The ENTERTAINER,6 months ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
2,2,"Posted by
Hira Z.
CIPD | MBA | De Montfort University | DPWorld | xPak-Suzuki
Send InMail
JOB LOCATION
Port Qasim, Karachi, Pakistan

We are looking for a dynamic individual for the role of Network and Security administrator

Role AS AN INDIVIDUAL CONTRIBUTOR
At DP World, we believe in the importance of leadership at all levels. We expect our people to embrace and live our founder principles by challenging themselves to identify issues that are most important for our clients, our people and for society, and make an impact that matters.
JOB REQUIREMENTS
DP World is looking for candidates with technical skills as follows;
· Networking - Routing & Switching
· Cisco Manageable switches (CATALYST and NEXUS Series)
· Cisco Wireless LAN
· Site to Site and Remote Access VPN configuration
· Network Security
· Dynamic Routing Protocol understanding
· Hands on ADC (Citrix Preferred)
· Proxy (Bluecoat Preferred)
· NMS and Logs management.
· SDWAN (Understanding)
YOU BRING (Qualification & Experience)
· BCS/MCS (from a recognized & reputable institute)
· At least 4 years of relevant experience as a Network Administrator
· Certification in Cisco Certified Network Associate- CCNA (Security Preferred)
· Experience in CISO Firewalls ASA/NGFW, NGIPS, FMC and FTD Firewalls.",https://www.linkedin.com/jobs/view/3110888365/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=VI6H5OK8oE40Jj1IQLnOZw%3D%3D&trk=flagship3_search_srp_jobs,Network and Security Administrator,DP World,2 weeks ago,Full-time,"Karāchi, Sindh, Pakistan"
3,3,"Work with multiple clients to gather requirements, provide guidance, and provide network support utilizing a deep understanding of routing and switching protocols, network security, good operational experience to isolate, analyze and resolve issues.
Establish networking environment by designing system configuration; directing system installation; defining, documenting, and enforcing system standards.
Maximize network performance by monitoring performance; troubleshooting network problems and outages; scheduling upgrades; collaborating with network architects on network optimization.
Report network operational status by gathering, prioritizing information; managing projects.
Automate tasks and monitor their effectiveness
Secure network system by establishing and enforcing policies; defining and monitoring access.
Create, oversee and test security measures (e.g. access authentication and disaster recovery)
Maintain complete documentation.
Suggest improvements to network performance, capacity and scalability
Participate in on-call rotation with the rest of the team members.
Update job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.
Mentor team members on technical issues

Requirements
Excellent knowledge of routing, switching, network security, and associated hardware platforms
Multi-Vendor Knowledge of Switches and Firewalls
Knowledge of NGFW, stateful packet inspection and ACLs
Extensive experience with Layer 3 Routing and Protocols, OSPF, BGP required, and SDWan knowledge a plus.
Experience with Layer 2 protocols and associated enhancements (LACP, L2 ECMP, 802.1d/w/s, 802.1x, etc.) required
Knowledge of the following areas is required: VPN (GRE, IPSec, and SSL VPNs,), Wireless (802.1b/g/n/ac) and DNS/DHCP
Knowledge/experience in any of the following areas is highly desired:, Network Virtualization, Cloud systems, VoIP, or Project Management.
Excellent analytical skills and the ability to operate independently in a fast-paced environment with limited supervision
Excellent time management and organizational skills
Strong interpersonal skills both with clients and within the organization
Bachelor’s Degree in Computer Science or Computer Engineering a plus",https://www.linkedin.com/jobs/view/3085865929/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=7GZILs7903kuV6VffZsX%2BQ%3D%3D&trk=flagship3_search_srp_jobs,Network Engineer,ICE Consulting - Managed IT for Life Sciences,1 month ago,Full-time · Mid-Senior level,"Lahore, Punjab, Pakistan"
4,4,"Job Description

Systems Engineer

Location – Pakistan (Islamabad)

We are looking for a Systems Engineer to work closely with a sales representative in a defined territory. The Systems Engineer's main mission will be to support the sales organization in all technical matters regarding pre-sales, sales calls, and post-sales.

With us you will
Lead all technical aspects of a sales cycle with the Enterprise customers, from the initial RFIs, through to RFPs & RFQs when required. This includes the project management and active participation in POCs in partnership with the relevant teams both internally and within the customer and/or commercial partner.
Have the ability to listen and to understand the technical requirements of the customer, reading between the lines to build a solution which outperforms the competitor offering.
Be the primary technical point of contact for the customer(s) and partners in close collaboration with your sales partner.
Continuously strive to improve knowledge around the Fortinet products and solutions, along with maintaining a deep understanding of the competitive landscape and Fortinet’s ability to provide long lasting protection against the ever-evolving threats.
Have a strong ability to position Fortinet solutions to the customer, whether this be remotely or in person. This requires strong communication skills and the ability to confidently present through whiteboarding, technical white papers, technical plans or customer discussions.
Manage your time effectively when working on multiple deals simultaneously, ensuring a positive customer experience is maintained.
Maintain accurate activity, contact, and account technical information of all customers and prospects in our CRM (Salesforce).

Apply if you
Have a high aptitude for security technology, specifically encryption, authentication, with further knowledge of network security, intrusion detection, anti-virus, routing, switching, LAN and WAN being desirable. The CISSP accreditation would also be beneficial.
Are currently or have previously worked in a pre-sales engineer role, managing end to end technical aspects of deals, through to technical closure.
Can demonstrate your problem solving skills and how this has impacted key wins within your current organisation.
Understand and can demonstrate your ability to build and maintain customer relationships, including your ability to effectively communicate technically to a range of both external and internal stakeholders.
Have a strong understanding of RADIUS, PKI, IKE, Certificates, L2TP, IPSEC, FIREWALL, 802.1Q, MD5, SSH, SSL, SHA1, DES, 3DES

What You Can Expect From Us
Excellent training and development opportunities, providing you with all the tools you need to be successful.
An open working environment, sharing knowledge and information collaboratively and transparently, with respect to everyone’s thoughts and opinions.
The opportunity to be part of an innovative, collaborative and winning team.
A competitive salary and incentive compensation package, including stock awards, health and welfare benefits.

From the start, the Fortinet vision has been to deliver broad, truly integrated, high-performance security across the IT infrastructure. Today, we secure the largest enterprises, service providers and government organizations around the world.

Fortinet empowers its customers with intelligent, seamless protection across the expanding attack surface and the power to take on ever-increasing performance requirements of the borderless network – today and into the future. We have proven to be a truly innovative technology driven network security company with over 619 registered Global Patents. This is over 3 times more than our closest most innovative competitor!

#LI - AB1",https://www.linkedin.com/jobs/view/3110886025/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=0hnRAosau2IHz3lHFQ2cEA%3D%3D&trk=flagship3_search_srp_jobs,Systems Engineer - Pakistan (Islamabad),Fortinet,2 weeks ago,Full-time · Mid-Senior level,"Islamabad, Islāmābād, Pakistan"
5,5,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?

Are you a Site Reliability or CloudOps Pro who revels in playing detective and solving intricate infrastructure issues? Do you dread doing endless bug and code fixes to upkeep an outdated product? Would you like to up your game by maintaining mission-critical infrastructure for a massive SaaS enterprise?

At Trilogy, we push the cloud infrastructure limits with a portfolio of 100+ centrally-managed SaaS products. We are constantly adding new products to our platform, and we need a team of superstars who can permanently fix issues at their core to ensure maximum uptime.

Forget about addressing customer tickets or repetitive runbook execution. This role is about applying your troubleshooting skills to diagnosing system outages and relentlessly improving the infrastructure to prevent them from happening again. Unbounded by a single platform or tech stack, you will broaden your skill set across multiple technologies and applications.

If you dream of being a SaaS hero who saves the day, apply now!

What You Will Be Doing
Troubleshooting. Based on reported outages or degradations, you will diagnose and propose a permanent fix for the issue.
System improvements. You will implement change requests that simplify, automate, and improve the platform.
What You Won’t Be Doing
Coding. This role is about diagnosing outages and proposing solutions, not fixing code.
Dealing with customers. You will not address user-specific requests or conduct customer-facing issue resolution
Writing documentation. The creation of technical documentation or runbooks is not in scope for this role.
System Engineer Key Responsibilities

Maintain and improve a centrally-managed cloud infrastructure, with 24x7 incident coverage and excellent uptime/service levels.

Basic Requirements
Experience maintaining production systems on AWS infrastructure, VMWare, and MS Azure, and interacting with Amazon APIs
3+ years of experience maintaining large-scale SaaS cloud applications and cloud orchestration tools (Docker/Kubernetes)
4+ years of hands-on experience in Windows/Linux Administration and troubleshooting
Ability to write shell scripts in any language (e.g., PHP, bash, SQL)
About Trilogy

Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:
You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-3362-PK-Lahore-SystemEngineer.065",https://www.linkedin.com/jobs/view/3125330964/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=%2BIhkEEGuJBYoAS4SHfkhjw%3D%3D&trk=flagship3_search_srp_jobs,"System Engineer, Trilogy (Remote) - $60,000/year USD",Crossover for Work,1 day ago,Full-time · Associate,"Lahore, Punjab, Pakistan"
6,6,"Who We Are:

We are a privately owned leading Managed IT Services company (Managed Service Provider). Since 1997 we have specialized in providing managed IT services and managed security services for our clients. which are made up of small to medium-sized enterprises. We are looking for highly passionate individuals to join our team to help and drive the growth and success of our company.

Job Description:

ICE Consulting is seeking a talented Security Operations Center (SOC) Engineer to join our Team. The Security Operations Center Engineer role requires the individual to work as part of the Security Operations Center (SOC) team and help in monitoring and analyzing the environment, identifying, and responding to security threats that put the company at risk. The engineer will own leading-edge solution/s that are intended to improve the security posture of the company. With his domain expertise, the engineer is expected to provide thought leadership and provide sound technical mentorship on how to respond and analyze to security incidents based on security best practices.

Requirements

Essential Responsibilities:
Own and operate most important security solutions designed to protect the company from cyber threats and attacks
Lead in deploying new solutions and technologies to improve the security posture of the company.
Continuous fine-tuning of our security solutions to reduce the occurrence of false positive and false negative alerts
Working knowledge of client audit compliance which include but not limited to HIPPA, NIST, HiTrust, SOC2, and FDA
Act as L3 escalation point in analyzing and responding to security incidents from various security technologies and platforms.
Perform platform health checks to ensure that our security solutions are operating effectively and efficiently
Drive continuous improvement to reduce threat dwell time in our environment through automation, process simplification, among others.
Work closely with the Penetration Test Team, Cyber Hunt Team, Threat Intel, and other internal organizations to achieve the shared vision of improving the company’s cyber security posture.
Conduct incident response, identify vulnerabilities, and consult on remediation steps.
Use tools to respond to incidents, and actively improve the cyber security posture of the company.
Effectively communicate technical information to non-technical audiences and influence others to follow policies and conform to standards and methodologies.
Develop the technical skills of the junior SOC analysts in the team to empower them to be more effective and efficient in their roles
Champion security standard methodologies across the organization
Help to develop client Incident Response Plan (IRP)
Working knowledge and experience with the MITRE framework for cyber adversary tactics and techniques
Must have working knowledge of Securonix, Rapid7 or Alienvault.

Qualifications:

Should have deep technical knowledge of the following:
Malware Analysis – ability to perform complex analysis to understand the properties and behaviors of a malware and propose effective countermeasures and mitigation strategies
User behavior Analysis – ability to piece together user activities to recognize patters of malicious behaviors
Log Analysis and Correlation
Enterprise Endpoint Security and Email Security
Network Security (IPS/IDS), Security protocols and Operating Systems (Windows, Unix, Linux)
Cloud Security (AWS, Azure, GCP)
Preferably with relevant experience on key leading-edge security solutions such as Fire Eye, Proofpoint, Imperva, etc.
Certification *Preferred*: CEH, CISSP, CCNA, OSCP
Ability to work with diverse groups such as the Cyber Incident Response team (CIRT), Penetration Testing team, etc. to mitigate a security threat
Bachelor’s degree in Information Systems, Information Technology (IT), Computer Science, Engineering, or other technical / IT field.",https://www.linkedin.com/jobs/view/3107152692/?eBP=JOB_SEARCH_ORGANIC&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=tbJX%2FxpnZtMc070H98Xyhw%3D%3D&trk=flagship3_search_srp_jobs,Security Operations Center (SOC) Engineer,ICE Consulting - Managed IT for Life Sciences,2 weeks ago,Full-time · Mid-Senior level,"Lahore, Punjab, Pakistan"
7,7,"Introduction
The Aga Khan University is a private, international university committed to international standards of excellence in teaching, research and service. Its teaching hospital, the Aga Khan University Hospital has been accredited by the prestigious Joint Commission International for achieving the highest international healthcare standards.

Responsibilities:

Reporting to the Manager, Information Technology, you are expected to be a highly motivated and energetic individual to support our Security Operations Centre (SOC). This role thrives in the delivery of consistently high level of services to monitor multiple feeds in a 24/7 environment to immediately detect, verify, and respond swiftly to cyber treats, e.g. vulnerability exploitation, malware, cyber-attacks, etc. The incumbent will extensively monitor the global ICT infrastructure of the institution through various tools like SIEM, EDR, Azure ATP, next generation firewall etc.
You will also require carrying host forensics, network forensics, log analysis, and malware triage in support of incident response investigations.
You will be working collaboratively with multiple teams including Systems, Networks, managed SOC, etc. You will serve as an SME within the ICT Service Delivery to hunt and mitigate cyber threat hunters, threat intelligence analysis, and implement and continuously improve technology and process to enhance SOC monitoring, investigation, and response capabilities.
You must be experienced with NIDS/HIPS/EDR infrastructure & tools, protocol analysis and tools. You must have extensive working knowledge of Windows and Linux, malware operation and indicators, networking fundamentals (TCP/IP, network layers, Ethernet, ARP, etc.),ED Firewalls, current cyber threat landscape (e.g. threat actors, APT, cybercrime, etc.), Data Loss Prevention monitoring, penetration techniques, and DDoS mitigation techniques. Establish standard policies, prepares support documentation, and provides training to team members. This person will respond to service request and request fulfilment on a regular basis while managing project concurrently.
Specifically, you will be responsible to;
administering the Security Operations Centre (SOC) Operations - effectively manage the SOC activities
ICT Systems and Network administration expertise - take necessary technical steps immediately to mitigate active threat on servers, clients, and network devices etc.
design & Implementing new Innovations - Identifying gaps in the existing IT operations environment and developing innovative solutions to enhance the system
communication and knowledge sharing amongst IT Staff
ensure self and team growth through training.

Eligibility Criteria / Requirements:

Bachelor’s Degree in Computer Science/Engineering
minimum 5 years relevant experience of IT infrastructure, systems, networks, and systems/networks security operations
participated in the implementation of Information Security program in a large-scale environment
have strong hands-on experience on Microsoft Windows Servers (2008/2012/2016/2019), client OS (Windows 7/Windows 10), CentOS & Red Hat, Active Directory, DNS, Windows Defender, Azure, etc.
be experienced in at least one of the SIEM solutions like IBM QRadar, Microsoft Azure Sentinel, Splunk, LogRhythm, etc.
experience with EDR, XDR, Network switches and next generation firewall
expertise in the security and vulnerability assessment and remediation/hardening of server and client operating systems and applications (Active Directory, DNS, Exchange Server, IIS/web services, etc.)
hands-on experience in dealing with APT campaigns, attack Tactics, Techniques and Procedures (TTPs), memory injection techniques, malware analysis and malware persistence mechanism
experienced in analyzing malware, identifying Indicators of Compromise (IOC) and TTPs of various threat actors through the analysis of email, malware, endpoint, network, etc.
in-depth knowledge of security issues inherent in corporate environments e.g. Phishing, DDoS attacks Malware, Ransomware, etc.
resources are required to work in rotational shifts to cover 24/7/365 SOC operations
technical, managerial, analytical, interpersonal and organization skills required
ability to communicate in an understandable, polite, and friendly manner, both written and verbal
ability to work well with others, as well as independently
strong organizational skills and ability to multi-task in a business environment
ability to establish and maintain effective relationships with co-workers and customers to gain their trust and respect
ability to professionally deal with difficult people or situations
ability to pick up technical concepts quickly and can learn new skills and knowledge
experience working within large and complex technical environments.",https://www.linkedin.com/jobs/view/3124447330/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=hSgGHFrTwACmgdrJ0T%2F0UQ%3D%3D&trk=flagship3_search_srp_jobs,"Engineer, Service Delivery (Security)",Aga Khan University,1 week ago,Full-time · Associate,"Karāchi, Sindh, Pakistan"
8,8,"Us

The ENTERTAINER is a leading digital company whose main goal is to add value to consumers by bringing them the best incentive offers globally. We are a data-driven, 100% digital, tech company. Providing first-rate offers across renowned dining, leisure, entertainment and hotel brands worldwide, the ENTERTAINER has grown with the aim of creating unbeatable value and loyalty everywhere we go.

We believe that “experience is everything”, resulting in our passion for creating unforgettable experiences for both our customers, partners and employees.

The Team

The E-business team’s mission is to build simple, user-friendly digital experiences that delight the millions who use our products. The team’s responsibilities include product innovation, engineering, infrastructure, project delivery, data, IT & Ops. We work in an agile, fast-paced environment and align closely with teams across the business to identify, build and support the best possible solutions for our users. We’re passionate, curious, a bit intense and a lot of fun. All at the same time.

Role and Responsibilities

Being a Key part of IT Support Team, Network & Desktop Support Engineer responsibility is to monitor, maintain, support of all Network & Desktop equipment. The selected candidate will be tasked to provide support to all IT users, manage, monitor, and maintain all the wired/wireless network devices, firewalls and desktop and laptop computers based on the Entertainer’s best practice guideline.

Monitoring, Configuration, Maintenance of Cisco Switches.
Monitoring, Configuration, Maintenance of Cisco Wireless Controllers, Access Points.
Monitoring, Configuration, Maintenance of Fortinet Firewalls, IPSec Client VPNs, Site to Site VPNs.
Monitoring, Configuration, Maintenance of Endpoint Security Systems, Antivirus, Monitoring Agents.
Provide hardware and software support for all desktop and laptop users.
Improve, maintains and monitors network security by performing security reviews on the network
Troubleshoots complex issues in network systems to identify root cause and debug malfunctions in network communications.
Provide Support for Windows, Linux and Mac Operating Systems
Implements preventive measures to enhance network consistency, measurability, availability and security.
Security Assessment for all software deployments.
Manage and Maintain Office365, Windows Active Directory
Provide Support for Mobile and Tablet devices to end users.
Investigates, recommends, and installs new technology enhancements and applies technical knowledge to enhance network availability and recovery form incidents.
Implements data and network security through firewalls, UTM, IPS/IDS, ACS and VPN technologies.
Diagnose & Repair Hardware like Laptop, Desktop Computers, Printers, Tablet and Mobile Devices
Work through Support Ticketing System
Setup, Maintain and Monitor all Automated Alerts.
Documentation for all related network diagrams.
Preferred Skills

Following are the desired skills.

Strong Knowledge of Linux, Windows, Mac OS
CCNA, CCNP, Microsoft Certifications for Windows Servers
Routing, ACLs, Firewall Security
Basic Knowledge of:

Cloud Security
NAS
Additional Notes

<span style=""font-family:""Times New Roman"",serif""><span style=""font-family:""Helvetica"",sans-serif"">AWS Certified Security – Specialty

Qualifications and Education Requirements


Bachelors/ Masters degree in Computer Science / Information Security / Software Engineering /Computer Engineering",https://www.linkedin.com/jobs/view/2906428424/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=631yv%2Ft3bEb8PcOlvJC9Qw%3D%3D&trk=flagship3_search_srp_jobs,Network & Desktop Support Engineer,The ENTERTAINER,4 months ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
9,9,"Job Brief

We are looking for a self-driven Network/System Support Engineer who is excited to learn and improve his/her skillset with us.

VentureDive Overview

Founded in 2012 by veteran technology entrepreneurs from MIT and Stanford, VentureDive is the fastest growing technology company in the region that develops and invests in products and solutions that simplify and improve lives of people world-wide. We aspire to create a technology organization and an entrepreneurial ecosystem in the region that are recognized as second to none in the world.

Key Responsibilities
Providing support for HP/Dell Microsoft, MAC and Linux Users
Configuration and testing of any new Hardware and Software.
knowledge and hands-on experience with Linux/Ubuntu to provide support.
Knowledge and hands-on experience with Cisco switches can able to configure and install
Knowledge and hands-on experience with FortiGate Firewall and different Wi-Fi Access points and Routers.
VPN configurations site to site and with End-users
Troubleshooting and Maintaining Network, hardware and software.

Required Qualifications And Experience
Graduate with 2-3 years of experience preferably in the IT industry
Microsoft, Cisco, Fortinet or any other relevant certification.
Good communication, pro-active problem-solving skills quick learner.
Self-starter with good interpersonal skills

What We Look For Beyond Required Skills

In order to thrive at VentureDive, you

…are intellectually smart and curious

…have the passion for and take pride in your work

…deeply believe in VentureDive’s mission, vision, and values

…have a no-frills attitude

…are a collaborative team player

…are ethical and honest

Are you ready to put your ideas into products and solutions that will be used by millions?

You will find VentureDive to be a quick pace, high standards, fun and a rewarding place to work at. Not only will your work reach millions of users world-wide, you will also be rewarded with competitive salaries and benefits. If you think you have what it takes to be a VenDian, come join us ... we're having a ball!

Powered by JazzHR

dLfwQkwMfw",https://www.linkedin.com/jobs/view/3092956270/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=ACmu3JookutwBU18GfEUZw%3D%3D&trackingId=OQbHRb4i4lDP8eGB3LHspQ%3D%3D&trk=flagship3_search_srp_jobs,Network/System Support Engineer,VentureDive,3 weeks ago,Full-time · Mid-Senior level,"Lahore, Punjab, Pakistan"
