,JobId,job_descriptions,job links,job titles,Posted By,Posted Time,Employement Status,Location
0,0,"Posted by
Leah Xu
HR at Kuaishou Technology
Send InMail
Responsibilities:
1. Communicate with industry professionals to create a strong network.
2. Involve in ideation/creation of influencer campaign in acquiring & maintaining KOL/influencers.
3. Selecting, dealing, arranging meeting and reminding on each account to execute the tasks assigned.
4. Analyse & monitor KOL performance.
5. Formulating policies with constant review and feedback.
6. Ensure the contract terms and conditions related.

Requirements:
1.Bachelor Degree in any major.
2. Minimum 2-3 years experience in managing KOL/influencers.
3. Proven experience in handling broad range of talents (Celebrities, KOLs, artists, etc).
4. Familiar with digital media.
5. Have broad network.
6. Good English and Urdu in oral and written.
7. Good negotiation skills.
8. Excellent multitasking skills.",https://www.linkedin.com/jobs/view/3122146107/?eBP=CwEAAAGBh8NiEUTo1mV9-tm3H16OLYgAIlgVk2n2nET9GtP7GkvPOi4eIOtJHZrx73ohWsxqwBfBGnMi3VP2IrqwSWq69sIe-VsloK219QPsOO462_5e2kOrLxuBbmn-x2ux61la6Mv0jfC6KVy-p_7rJSHqZs8hzZDrxlhaBLI1XS4jIKwWHV6kH82epxviULgZ6TcPh0RyKSPSSAeCvKOutxFfdu3az69xUnTgnbllpdjWqEV_S7QF63SlWCceFNBbB6XF1ZeFtdokf5Bh8NCHOBUK5Of4bbEUVxsjpGBuDV1ECRYpAoT33v_YtXlYWUIEAQhAJgG5bPVVLO_8tm-2-vc1OZg7K17bg6mWEO7t5InFKFzB0lvXKNincXKg4yvBFvLj&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=gFdtnw5fWi8gvQcc8K%2BdOw%3D%3D&trk=flagship3_search_srp_jobs,User Operations Manager(KOL Management),Kuaishou Technology,5 days ago,Full-time · Mid-Senior level,"Karāchi, Sindh, Pakistan"
1,1,"Posted by
Ahsan Anwar
Manager Talent Acquisition - Operations at Daraz
Send InMail
Launched in 2012, Daraz is South Asia's online shopping and selling destination of choice – present in Pakistan, Bangladesh, Sri Lanka, Myanmar and Nepal. Supported by a wide range of tailored marketing, data, and service solutions, the pioneering e-commerce ecosystem in South Asia has 30,000 sellers and 500 brands, serving 5 million consumers. With 2 million products available, Daraz offers a diverse assortment of products in categories ranging from consumer electronics to household goods, beauty, fashion, sports equipment, and groceries. Focused on providing an excellent customer experience, it offers multiple payment methods including cash-on-delivery, comprehensive customer care and hassle-free returns. Daraz is owned by Alibaba Group Holding Limited.

At Daraz, we believe in chasing hard towards big goals. By 2022, we have six aspirations to lead Pakistan into the digital era:

1) As the market leader, we will continue to drive 100%+ annual growth of the e-commerce market for the next 4 years.
2) Reach 200,000 active Daraz sellers (all educated through Daraz University).
3) Engage 25 million Daraz users monthly by being relevant, convenient and service-minded.
4) Create 1 million jobs for marketplace participants.
5) Fully digitalize the logistics ecosystem with real-time visibility for customers regardless of location.
6) Introduce digital payments to 10 million new customers.

JOB DESCRIPTION:
Adjusting group project blueprints to suit South Asian e-commerce market
Structure projects in line with company logistics operations and goals
Liaise and influence change
Perform deep-dives into our data, structure and processes. Then improve them by conceiving of new ideas and developing them into new projects
Implementing projects related to distribution network, transport and sorting center Design
Optimising the delivery operations
Build and manage roadmap of operations-related initiatives
Maintaining & improving main KPIs: Success rate, E2E lead times, cost Effective pricing Efficiency, Reducing the business losses, productivity, etc.
Collaborate with senior management at Daraz, as well as experts at Lazada and Alibaba across various countries when needed
Work on clear and impactful projects to improve operations & our partners experience
Understand high-level business priorities and translate these into actionable project plans with clear scope, milestones and success criteria
Drive collaboration and positive relationships between functions within Daraz in order to meet common business goals
Track project progress; identify, report and resolve issues and risks in order to launch initiatives on-time and smoothly


ELIGIBILITY CRITERIA/QUALIFICATION:
Education: Top Engineering and Business Schools
Background in Project Management (PM Tools/Software Knowledge is a plus)
Having above 5 years of commercial or e-commerce experience
Should have an entrepreneurship mindset & result-oriented
Having problem-solving and analytical skills
Should have know-how to manage priorities and should be able to meet deadlines
Highly adaptable to quickly changing environment
Strong interpersonal and influencing skills to drive and manage cross-functional teams and cross-cultural stakeholder",https://www.linkedin.com/jobs/view/3107751386/?eBP=CwEAAAGBh8NiERIr-Z2Qn6lVxp8nN0mRs3E0qW6UNqHd-FZSCSavWNSrNkP6BMQlD9gt1wpF59yUVyOBdxeyGO0fz3rDhMt4flM4byZHw5Pkm8w7rtnt3hLUx1jc89Q_kKbR6eEwlSfp0BtAaLmB89zoEjZWCRayn8Bsur4S8m1Ucqj_fFHTrVeGGCu8WE7TYI3_QGhAx0UEh3XYQBenS8FzpvKU2tmj8mnZTgSGs51eUZGattEv47zoM-3_XiGzIaJV_HeQzYBhupUKipDQ-SYmsyf0-iinxZwOdE2hLNE2IAX_0thtTEQMnjlF7rlgRYPGEXC3ROboJgMUW2J8zsWpkjDCMg9ObJaZ8Y4PXzbqLwo0_NpFzSsCSem9PiVgKV9YAX6z&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=pIZkPLyV9hREDz14TUYuYg%3D%3D&trk=flagship3_search_srp_jobs,Regional Operations Program Manager,Daraz,2 weeks ago,Full-time · Mid-Senior level,"Karāchi, Sindh, Pakistan"
2,2,"Job Purpose

We are looking to hire a driven Business Operations Manager to maximize our company’s operating capabilities, oversee our strategies, and guarantee client satisfaction.

Job Responsibilities
Approve the job ads that the clients wish to post through our platform
Approve the case studies that go live with the job ad as a requirement
Sourcing and screening the candidates who have applied on the job ads
Creating a delivery sheet and transfer it to the Customer Success teams
Carry on transparent communication channels with the teams internally

Must Haves
A self starter
Accuracy and attention to detail
Outstanding communication skills

What You’ll Get

Perks
Unlimited vacations days
Work from anywhere in the world
Outcome based work environment
A competitive compensation
Stock options plan to grow as the company grows

Culture
Ability to implement your ideas - Fail fast, learn faster
A culture that empowers you everyday to take ownership

Workplace
An opportunity to join the founding team of a hyper growth rocket-ship
Culturally diverse team from multiple countries yet focused towards one mutual goal
An environment that encourages quick learning and merit-based exponential growth",https://www.linkedin.com/jobs/view/3130335782/?eBP=JOB_SEARCH_ORGANIC&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=pvUiA653KY3MNgHhzu5d5w%3D%3D&trk=flagship3_search_srp_jobs,Business Operations Manager,Qureos,4 days ago,Full-time · Mid-Senior level,Pakistan
3,3,"Posted by
Muhammad Waleed B.
HR Business Partner at CarFirst
Send InMail
About us:
CarFirst, is Pakistan's most trusted used car trading platform that revolutionised the way used cars are traded in Pakistan. The complete solution for your buying, selling and exchanging needs.

CarFirst is transforming the way used-cars are traded in Pakistan, with a network of over 35+ purchase and sale centers in Lahore, Karachi, Islamabad, Faisalabad, Multan and Hyderabad. Car owners can now easily sell their cars through our secure, convenient, and hassle-free process. CarFirst also provides car dealers easy access to nationwide inventory through their online sales platform. CarFirst is a name and brand owned and operated wholly by Augmentech Business Solutions (Pvt) Ltd.

Job Description:

At CarFirst, warehouse manager is central to operational excellence as this wholesome role oversees multitude of tasks including coordination with teams such as operational, documentation, and finance team for schedule and delivery of cars etc.

Responsibilities:
- Responsible for inventory purchase, & sales of inventory.
- Responsible for managing warehouse operations, including overseeing warehouse petty cash, & relevant payments etc.
- Inventory management & forwarding to network as per demand on events & non- events.
- Responsible for managing inventory, and coordination with the Purchase/ Sales & R&M facility for maintenance.
- Manage security of the premises, including documentation, surveillance etc.
- Ensure that inventory is properly managed and presented to the customers.
- Responsible for inventory detailing, including car maintenance, R&M & replacements.
- Procure essential assets related to automobile for maintenance of cars.


Requirements:
- Bachelors degree with focus on Engineering, Administration or in related subject.
- Minimum 2-3 years of experience in a corporate setting.
- Ability to thrive in a fast paced team environment.
- Strong leadership skills, with ability to manage multiple stakeholders effectively.
- Strong interpersonal skills; like problem solving skills, and ability to work towards deadlines.

Benefits:
- A unique experience in an entrepreneurial, yet structured environment
- An opportunity to become part of a highly professional and dynamic team working on the best practices
- An unparalleled personal and professional growth as our longer-term objective is to train the next generation of leaders
- Local and international exposure with our partner ventures",https://www.linkedin.com/jobs/view/3132919278/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=v%2FhGe3SDyiqCeH89%2FCi0CQ%3D%3D&trk=flagship3_search_srp_jobs,Warehouse Manager,CarFirst,1 day ago,Full-time,"Lahore, Punjab, Pakistan"
4,4,"An ASX100 business part that is owned by Australian universities, IDP is a pioneer in international education services. Our core business lines include student placement to Australia, US, UK, Canada and New Zealand institutions, English-language testing and training.

We are on a mission to build the world's leading platform and connected community to guide students along their journey to achieve their lifelong learning and career aspirations.

As a co-owner of IELTS, we deliver the English test that is trusted by more governments, universities and organisations than any other. We also operate English language teaching schools in South East Asia.

We are innovators, driven by the needs of our customers and deep data insights. Our 5,000 team members based around the world understand that our services change lives – not only of our customers, but their wider communities.

By combining empathy and professional expertise with digital excellence, we create launch pads for our customers to achieve global success.

POSITION PURPOSE

The Operations Manager is responsible for managing all IELTS testing conducted by IDP IELTS Test Centres in Pakistan. Responsible for ensuring testing operations are compliant with requirements of the IELTS quality system, commercially viable and delivered with a commitment to exemplary customer service and operational best practice.

Responsibilities

Quality
Ensure all testing activity is conducted in accordance with all relevant IELTS policies and procedures.
Conduct self-audits on an ongoing basis.
Contribute to the refinement of policies and procedures.
Provide input to Quality and Compliance related projects and initiatives.
Report any issues related to Country Director & IELTS Regional Director and other key parties as necessary.
Participate in the global IDP IELTS Good Practice Program.
Manage the provision of training and support to other IDP and 3rd Party test centres as required.
Results Integrity Policy for test centre is updated on proactive basis.
Assist the IELTS Regional Director with the development of IELTS policies.
Assist IELTS Regional Director with issues regarding risk management / security to ensure centre compliance with security policy and procedures.
Commercial
Develop annual budgets and forecasts in consultation with the CD / RD.
Manage the budget for IELTS testing in Pakistan and any offsite testing locations, including test revenue and all associated direct costs and expenses.
Provide regular management and financial reports as required.
Provide statistical analysis of centre data to monitor and identify candidate trends including centre candidate targets.
Continually monitor test day availability and capacity to ensure centres meet current demand.
Increase referral partner network, third party centres / IDP Owned centres where there is an opportunity to win market share and expand IDP IELTS foot print across Pakistan.
Coordinate with Regional Marketing team and IELTS Central Operations to ensure all test centres related information stated on/offline mediums and systems are updated on proactive basis.
Identify vendors and service providers that can reduce the administrative workload for the IELTS team while enhancing value for money for IDP test centres in Pakistan.
Lead and manage the planning and execution of any commercial project in consultation with CD / IELTS Regional Director.
Ensure IA fee invoices are followed up and timely settled by third party centres.
Operations Management
Manage testing operations to ensure optimal efficiency.
Coach other IDP and 3rd Party test centre managers seeking to improve operationally.
Document and share operational management knowledge via the IDP IELTS Knowledge Bank ‘iknow’.
Customer Service
Ensure all test candidates sitting tests within IDP IELTS Test Centres receive exemplary customer experience at every contact point before, during and after sitting the IELTS test.
Ensure each staff members involved in testing have received the appropriate training in customer service.
Manage the escalation of any customer complaints.
Project Management
Participate in IDP project related activity.
Participation / Representation in IELTS Working Groups based on IELTS Regional Director’s recommendation.
Pilot and champion IDP systems and initiatives.
Project related risks and mitigation measures are brought to the notice of Country Director / IELTS Regional Director on proactive basis.
Stakeholder Relationships
Provide input to presentations to external stakeholders as required.
Draft responses to queries from external stakeholders as required.
Participate in stakeholder presentations with Education Counsellor promoting IDP services and identifying cross selling opportunities.
Increase the Referral Partner and IELTS Recognising Organisations network across the country.
What We're Looking For
Educated to bachelor’s degree level or equivalent in business administration.
Two years’ or equivalent experience in IELTS Test Centre Administration
Interest in/ experience of international education and/ or testing services.
Fluent in English.
E
xcellent planning and organising skills with the ability to manage multiple competing priorities.
Customer focussed, with a passion for providing outstanding service.
Experience in project management and stakeholder relationship management
Strong administrative and sound financial skills
Outstanding communication skills and able to communicate effectively with different stakeholders with varying needs
Demonstrated high level of analytical and research capability
Ability to proactively identify, analyse and solve problems effectively.
Sound judgement and the ability to make decisions and act with integrity, in the best interests of IDP.
Sound IT skills – Microsoft Office suite, CRM systems
Desirable Requirements
Event management experience
Experience working in a highly regulated environment
Familiarity with the international education and/or language proficiency testing sector
Formal qualifications in project management or equivalent experience",https://www.linkedin.com/jobs/view/3090124971/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=2VkakLQiFUbvHq%2B0JJIPQg%3D%3D&trk=flagship3_search_srp_jobs,IELTS Operations Manager,IDP Education Ltd,4 weeks ago,Full-time · Mid-Senior level,"Lahore, Punjab, Pakistan"
5,5,"Posted by
Zarmina Jafar
Corporate Strategy
Send InMail
Clinical Operations Manager (Karachi) Job Description

The Clinical Operations Manager will be responsible for day-to-day operations, to lead, direct and guide the care and nursing department, ensuring a high quality of coordinated care and nursing service is provided and key benchmark indicators are met.

Reports to: Operations Director

Staff Responsibility: Nursing Team, Admin, Support Staff

Salary: Starting at Rs. 170,000

Responsibilities:
Hire, lead and manage nursing and caregiver teams in Karachi, Pakistan.
Business development and networking with clinical case managers and decision makers in hospitals, public and private clinics, insurance companies, corporate organizations, and other sources of potential clientele.
Assesses patients upon admission to THB and determines patient requirements by completing an initial home health assessment of patient and family to determine home care needs with a Physician or Registered Nurse; conduct home visits as required.
Coordinates the implementation of all home care services, which includes nursing, physical therapy, nutrition and dietetics and physician visits to ensure that quality service is provided to meet client needs.
Quality Assurance Management and engagement of processes, member satisfaction and all other measures.
Works closely with Clinical Team and Case Managers to ensure all patient needs are identified and met.
Working hours can vary and fluctuate due to the requirements and schedule of the patients.
Expected to be available full-time, evenings and weekends as required, where clinical team may require support.
Employee is required to be on call and available over the phone, and/or to make visits to homes of the patient as and when required. This is expected and likely to be outside of traditional working hours.
Manages Clinical Staff members performance evaluation together with HR, and career development, counsels and advises them on professional development and to enhance standards of nursing practice.
Improves staff performance by providing educational resources; balancing work requirements with learning opportunities;
Overseeing nursing employee conduct and Clinical staff corrective action.
Implementation of policy and procedure aimed promoting safe patient care and ethical business practices in a cost effective manner.
Create an environment in which nurses are able to perform their jobs effectively and safely with optimal patient outcomes.
Ensuring there is adequate nursing staff, and that the staff's skills remain current.
Responsible for reviewing and monitoring documentation compliance including: Electronic Medical Record, HR files, and hard copy patient medical records.
Develop, maintain, and implement nursing/care coordination policies and procedures that conform to current standards of practice, facility philosophy, and operational policies while maintaining compliance with state and federal laws and regulations.
Communicates and interprets policies and monitors staff practices and implementation, including waste management.
Participates in daily or weekly management team meetings to discuss patient/client status, complaints or concerns.
Ensures delivery of compassionate quality care and clinical supervision to patients.
Providing and conducting training and development programs for the clinical staff and manage ongoing education for clinical staff.
Oversees clinical staff schedules to assure they meet patient/client needs and regulatory and budgetary standards.
Participates in the recruitment and selection of clinical personnel.
Coordinates and/or develops on-going QA activities for all clinical services to monitor compliance with standards and regulatory requirements through rounds, interviews, and record reviews.
Participates in budget development for the clinical department.
Promotes customer service and hospitality and responds to and adequately resolves complaints or concerns.
Creating Reports: A manager creates reports that convey the daily logistics and the long-term impacts of these daily logistics on the healthcare facility.
Managing compliance and reporting with authorities.
Manage complex care plans as and when required and multi-disciplinary meetings for complex case management.
Engage with different departments to support and drive business development and marketing initiatives.
Manage accreditation processes, as required.
Works closely with the marketing team to promote and inform the public of THB presence in the Dubai healthcare market from a clinical standpoint.
Cultivating relationships with sources to generate repeat referrals.
Participating in facility's marketing education, ensuring knowledge of their resources and maintaining knowledge of competitor facilities.
Positively reflects the image of THB through dress and manner.
Primary goal is to ensure patient centered care is offered to all clients.
Ensures prompt response to any and all patient enquiries.
Is proactive to ensure patients receive all information regarding THB and what can be offered.

I. Customer Service:
Makes a positive impression on all sources of potential clients and patients to improve business outcome.
Meets and greets potential clients promptly, courteously and professionally.
Demonstrates a high standard of customer service that positively impacts patient and family satisfaction.
Responds promptly and positively to patients, families, co-workers, and all others in a respectful, courteous and confidential manner.
Participates in customer service training and continuing education.
Demonstrates telephone etiquette that includes a clear voice, courteous response and ability to receive and direct messages.
Demonstrates skill in applying cultural sensitivity in all encounters.
Promotes and maintains a culture of safety.
Ensures that all necessary communications that involve patient care are properly disseminated in a timely and confidential manner.

II. Administrative, Leadership and Organizational Skills:
Demonstrates cooperation and respect with the leadership, administrative, marketing and multidisciplinary teams.
Demonstrates problem solving / critical thinking skills ensuring effective functioning of clinical routine.
Collaborates with multi-disciplinary team to provide patient care.
Participates in staff meetings and unit committees / projects.
Performs duties as per the job description, employee contract and as per the company’s Code of Conduct and Human Resource Policies.
Participates in developing and achieving company goals.
Performs additional duties when required as per scope of practice.
Maintain accurate time records.
Observing THB’s attendance requirements and dress code.
Conserving resources and adequately maintaining company’s property, supplies, and equipment.
Adhering to all company polices, including but not limited to, infection control and safety, education, reporting and practice implementation.
Assumes responsibility for personal growth and development and maintains and upgrades professional knowledge and practice skills through attendance and participation in continuing education and in-service training.

III. Education and Experience Requirements:
License Nurse in Sindh, Pakistan.
Strong interpersonal, oral and written communication skills.

Requirements:

Personal Attributes:

The ability to:
Plan, organize and prioritize.
Meet goals and achieve deadlines.
Be a team leader and work within a team; managing day to day and working closely with the nurses on the field as required on weekdays and weekends.
Delegate and direct others sensitively.
Empathize and provide compassionate care to patients and clients.

Qualifications / Experience:
Registered nurse with a current Practicing Certificate preferably.
A minimum of 5 years nursing experience of Managerial position in Healthcare Entity.

Essential Skills:
Team development and people management.
Strong interpersonal communication.
Clinical competence in the area of practice nursing and administration.
A knowledge of and passion for Care Coordination and After Care.
Service oriented.",https://www.linkedin.com/jobs/view/3133978920/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=uErB1fIxb70C5619HKmdxg%3D%3D&trk=flagship3_search_srp_jobs,Clinical Operations Manager,THB Global Pakistan,7 hours ago,Full-time,"Karāchi, Sindh, Pakistan"
6,6,"Propact Solutions (Private) Limited

We are a UK based professional accountancy outsourcing business with an operational office in Islamabad.

We are looking for a high calibre Operations Manager to join our team and lead the operations of our office in Islamabad.

This role is suited to someone qualified as a Chartered Accountant (CA, ACA, ACCA) with previous experience of managing and leading a team of Accountants and experience of working with UK based clients.

Based in Islamabad, you will be responsible for ensuring smooth running of the day-to-day operations of the business, including but not limited to, administrative, IT, HR and recruitment as well as, client relationship management.

Your working hours will be 12pm – 8:00pm Pakistan time.

Key Responsibilities

The successful candidate will report to the Directors of the business, must demonstrate exceptional ability and gravitas to undertake the following responsibilities:

Operations management
Ensure the smooth running of the day-today operations of the business
Promoting a positive culture within the team and striving for excellence in all aspects of our work
Develop, implement, and review operational policies and procedures
Ensure all legal and regulatory documents are filed and monitor compliance with laws and regulations
Identify and address problems and opportunities for the company
Facilitate communication between the operational team and management team
HR recruitment and management
Lead the HR recruitment, onboarding and training of new staff members
Manage and lead a team of accounting professionals
Team management
Overseeing and assigning work to the team and ensuring the work being produced is to a high professional standard
Ensuring the team is motivated to provide excellent customer service by engaging team through various activities
Client management
Exceptional project management skills coupled with excellent client management and Communication skills
Ensure clients are kept adequately informed on all important matters and to ensure regular touch points are established to receive constant feedback for further improvement
Qualifications And Experience
CA/ACA/ACCA Qualified - essential
Bachelors Degree or higher - desirable
Strong command of English language (spoken and written) - essential
5+ years UK based accounting firm experience - essential
2+ years of practice/operational management experience - desirable
Proficient at building rapport and ability handle all types of clients
Recruitment and performance management experience - desirable
Good knowledge of UK corporation tax, income tax and VAT and the impact on accounts and client’s overall affairs
Good knowledge of the statutory and technical aspects concerning a set of UK limited company accounts
Good knowledge of main accounting systems in the market place (eg Xero, Quickbooks. Sage etc)
Ability to work to deadlines and to be flexible as regards the hours and assignments worked
Ability to communicate openly and build up excellent relationships with clients
Attributes
Excellent command of the English language (written and verbal)
Having a ‘can do’ attitude.
Displays a positive and motivated outlook
Excellent communication and organisation skills
Performs well under pressure
Tenacious
Resilient
Flexible
Seen as confident and self-assured
Application Process

To Apply For This Position Please Ensure You
Complete the Application process on SmartRecruiter job portal (link below)
Upload your CV
Include a Covering Letter to the Hiring Manager stating your experience and how you meet the job specification.
PLEASE NOTE: Applications without a covering letter will NOT be considered.",https://www.linkedin.com/jobs/view/3091719412/?eBP=JOB_SEARCH_ORGANIC&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=rRhkcLXMAYKeY%2F8QjfHykg%3D%3D&trk=flagship3_search_srp_jobs,Operations Manager,ACCA Careers,4 weeks ago,Full-time · Associate,"Islamabad, Islāmābād, Pakistan"
7,7,"Oversee and manage the Overland business activities within KN guidelines to achieve organizations short and long term business goals.


Your Role

Support and execute the objectives of Transport Centre of Excellence.


Your Responsibilities

Business and Product Development:
Acquire or support the acquisition of new business and account management
Promote customer relations and develop existing customer base + add new customers
Lead in due diligence tender process: review scope, drive solutions and ensure timely and competitive submissions to the internal and external stakeholders.
Lead and support business development process example tender analysis, solution design, costing, pricing and service offering
Monitor market trends and competitor activity in order to identify new business opportunities
Take charge of Transport Subcontractor Management to execute global carrier initiatives.
To lead, expand and collaborate targets with various Business Units for a structured roll out of the Transport Centre of Excellence for Domestic distribution, Gateway trucking and Container haulage activities on a central platform.
Build business footprint for Customs Brokerage and x-border trucking network (FTL/LTL)
Operations Excellence:
To develop measures to improve vendor management capability in the organization, review and align allocation of resources across different business activities in providing optimum service standards.
To ensure efficient overland operations and continuously optimizes the operations by implementing standard processes in line with corporate guidelines and targets
To be involved in the development and implementation of business operations and reporting systems
To be responsible for managing and reviewing operational policies, standards and procedures including integrating and implementing automations, technology and systems.
To monitor and manage day-to-day transport operations and to review incident/ crisis management with effective BCP.
To ensure QSHE considerations are strictly applied to address areas of non-conformance to safety and health standards through corrective actions.
Profit Development:
Responsible for profit and loss in the national business field for Road Logistics BU in the branch (s) assigned.
Monitor annual budget for the branch in line with National expectations; and initiate corrective actions in case of deviations and under performance.

Your Skills And Experiences
Problem solving and business savvy skills
Attention to detail in managing day-to-day operations
Ability to manage various stakeholders and organization skills
Detailed knowledge of domestic and cross border road transportation
High commitment level required;
Lead by example for proactive positive attitude;
Multi-tasking across different functions;
Decisive and persevering aura to tackle challenges in absorbing high volume transport environment
Ability to take project challenges.
Ability to perform business travel
Available for short travel overseas when required for training or attend to customer requirements.
Willing to relocate to other branches if required.
Qualified to handle DG & Temperature sensitive shipments.
At least graduate, but Master will be preferred.
Industry experience will be highly appreciated.
Good Reasons to Join

Work for the Global leader in freight forwarding. We offer an employee friendly environment for you to develop and grow to become a skilled logistics professional in a challenging and fast developing company with competitive salary and opportunities for further development within the Kuehne + Nagel Group with highly dynamic multinational work environment. PK1883819",https://www.linkedin.com/jobs/view/3126013467/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=eUJvUyllr%2BNIETNdG7Qblg%3D%3D&trk=flagship3_search_srp_jobs,Operations Manager - Road Freight,Kuehne+Nagel,6 days ago,Full-time · Associate,"Karachi Division, Pakistan"
8,8,"Job Description Summary
The Team Lead Operation, while performing duties in assigned shift shall be fully responsible for safe, reliable and efficient operation of the combined cycle power plant within the technical limits as outlined in PPA, GSA and in operating procedures following the best Prudent industry practises. To ensure proper logging and recording of all events and parameters. Preparing shift and other reports as assigned by Operations Manager. To ensure full EHS compliance during his shift. Strictly adheres to all safety rules; lockout/tag out, work permit guidelines, confined space entry and similar policies put in place to protect the employee’s health and safety

Job Description

Roles and Responsibilities
To operate the plant in a safe, reliable and efficiently manner during his shift.
Must demonstrate knowledge of Plant KPI's (Heat Rate, Availability, Reliability etc)
To participate in the plant daily morning meeting, giving inputs regarding plant operational needs.
To issue and cancel work permits in the capacity of Senior Authorized Person.
To be responsible to carry out the required isolation/de-isolation in the process. To coordinate with the Operations Manager, Maintenance Manager and other departments for resolution of day to day operational issues at plant.
Must be able to demonstrate knowledge of CMMS.
To generate report such as generation reports, incident, accident and near miss. To coordinate with NPCC and SNGPL for load management and gas supply requirements respectively in accordance with operating procedures and as required under O&M contract
To maintain a record of all such correspondence with stack olders as required under O&M agreement, PPA and GSA. To write Daily Shift report for operational activities.
To check and verify daily log sheets, to determine proper operation of the equipment. To handle plant emergencies by effective coordination, team work, timely and prudent decisions.
To comply with all EHS policies & procedures as developed and implemented at site in compliance with applicable laws and regulations.
To complete and impart training and supervise the work of subordinate staff as per site target date. To ensure the proper housekeeping of his designated plant area and participate in zonal monthly housekeeping and other inspections to identify situations, conditions, aspects that may pose risk to employee, equipment or/ & environment.
To ensure hazardous waste in the plant areas are secured safely in line with the plant safety policy. Participate in the planning meetings and sessions with maintenance teams to make sure the maintenance activities are planned keeping in view the availability Owner's Plan and Power Purchaser Requirements.
To recommend plant modifications and betterment for safe and reliable operation.
Prepare an Incident/ Outage Report in accordance with the guidelines provided for such report

Required Qualifications
Bachelor Degree in engineering (electrical, mechanical, mechatronics, chemical & electronics) from a recognized and reputed university (Recognized by PEC & HEC), Minimum 05 year experience of Power Plant Operations preferably in Combined Cycle Power Plant.
Minimum 03 years’ experience of GE GTs is mandatory requirement for subject position.
Demonstrate knowledge of MS Word, Excel, Power Point.
Must be fluent in English and Urdu Language.

Desired Characteristics

Strong Oral and written communication Skills. Ability to document, plan and execute programs. Ability to manage customer, partner and external relations under pressure while remaining mindful of business/project goal.

Genuine commitment to EHS culture

Ability to read and interpret P&IDs, operating and maintenance instructions and procedure manuals.

Ability to understand and execute PPA.

Additional Information

Relocation Assistance Provided: No",https://www.linkedin.com/jobs/view/3121810213/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=3IjtxmQMqK5EXTTR2CQLPQ%3D%3D&trk=flagship3_search_srp_jobs,Team Lead Operation,GE Power,1 day ago,Full-time · Entry level,"Lahore, Punjab, Pakistan"
9,9,"Are you ready to challenge conventional supply chain processes? We are reinventing B2B fulfillment at Oware. We’re a warehousing and fulfillment startup and are looking for the best talent out there to join this rocket ship and help us build and scale our product offering. We aspire to create a revolutionary change in the industry and we want you to be the part of this journey!

Job Responsibilities
Assist Operations Manager in supervising daily operations of organization.
Develop productive, profitable and achievement oriented working environment for employees.
Address operational issues and concerns in a timely fashion.
Supervise operations team to ensure operational excellence and excellent customer services.
Educate operations team on best practices, company policies and service excellence standards.
Develop and maintain operational guidelines for staffs.
Oversee operational cost, risk and audit activities.
Determine staffing requirements, work assignment and schedules for new projects.
Perform routine maintenance and repair works for equipment.
Evaluate inspection reports and service tickets and prepare repair invoices.
Coordinate with General Manager in different operational issues and promotional activities.
Evaluate current operational strategies and recommend improvements.
Generate operational reports for management as needed.

Requirements
Minimum 2 - 3 year of Operations Experience (Preferably Freight forwarding, Shipping Lines, Logistics, Trucking etc.)
Minimum Bachelors
Ability to handle pressure situations.",https://www.linkedin.com/jobs/view/3094697629/?eBP=JOB_SEARCH_ORGANIC&refId=%2BXIXd6v84%2BtFoNgKn625%2Bg%3D%3D&trackingId=Gfqz%2B7XFWcAdGvUMlLUByg%3D%3D&trk=flagship3_search_srp_jobs,Assistant Manager Operations - Oware Technologies (Powered by Qureos),Qureos,3 weeks ago,Full-time · Associate,"Multan, Punjab, Pakistan"
