,JobId,job_descriptions,job links,job titles,Posted By
0,0,"Zameen.com is looking to hire a skilled professional for its ‘Assistant Manager - Agency Sales’ post.

The Applicant Selected For This Opening Will Be
Responsible to deal with real estate agencies in the region
Handling accounts of on boarded real estate agencies at Zameen.com
Responsible for paying client visitations, giving demonstrations, and closing deals
Responsible for achieving monthly, quarterly and annual targets
Further, he (or she) will be responsible for maintaining a healthy relationship management with clients at all times
Min. Education: Bachelor’s in Business/Marketing or a related field

Experience: 2-4 years in Sales/Business Development",https://www.linkedin.com/jobs/view/3077430307/?eBP=CwEAAAGBI8JFJIWLY1U1PS8tYfbxPvQHCa2gz2lWJZy5eEsnr1hCjItHxbiowKSQxP2ut4zkobcf2NONs8W4e4MdXLCdGLAlup-_LCQFWkZQmUOL7ABsueR-kcgmWb3ico9sJBnxKEXotlu1rTDr6bxX_BTGupdQDHK5NOI5tS0XXGfrc9kUkigRrQUrfg6RfuPYbhFtDi_5kJiJtusk5TQZtYqokeTsYNtLYsR4UFSvi0dL47atfhHVbFDU803OPDDe4evR_GQTiO3oMhNyw-s7-_Oy-Y-0bjpoDp5-B-7ys2SMJ9e_Tjnd05jWwjvrGCAVi-QKMntQ-eN7ydNIn1jSJEkt3y1koY_g7L0A1-G8NqypYPPV3U3wsxzLGw&recommendedFlavor=SCHOOL_RECRUIT&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=e8xp%2Bqs5C2YTrl5AiMo5lg%3D%3D&trk=flagship3_search_srp_jobs,Assistant Manager - Classified Sales,Zameen.com
1,1,"Looking for exciting work? How about working from home? Do you crave career growth? Do you want all of these things plus a larger paycheck? This position might be for you. Apply today!

We are looking for a new member to come to join our fast-growing team. Buy Box Experts is a premier Amazon marketing agency and seller consultant. We help brands experience explosive growth. We are expanding our team globally and looking for great people to be a part of our successes. We are looking for those that are looking to grow with us.

Do you have what it takes to make it in this fast-paced work culture?

We are looking for great people who could work with us in providing exceptional service to our clients by:

Responsibilities
Utilize Jungle Scout Cobalt to analyze brand and category market segments
Utilize the CRM (Hubspot) to manage deal stages
Create sales proposals in Google Slides using detailed research materials gathered from tools such as Amazon Seller Central, Cobalt, Brand Analytics, Google, etc.
Attend intro and proposal meetings with prospective clients and partners with the sales closer, take down notes and maintain client interaction files
Utilizing the sales closer's LinkedIn account to research and connect with qualified leads
Act as the sales closer's main point of contact, organize emails received, and ensure that critical items are attended to
Respond to internal and external customer inquiries on behalf of the sales closer
Coordinate effectively with internal and external customers on schedules, follow-ups, and any items that need to be communicated in a timely manner
Send a daily recap of the sales closer's activity for the day showing items needing his attention, movement of deals, meetings and call scheduled, including assistant ongoing and pending tasks and projects
Calendar Management and Action Planning using Google calendar
CRM (Hubspot) Data Management
Attend all Sales Training for product knowledge and develop sales competencies
Attend all team meetings and proactively raise concerns or process improvement ideas

Qualifications
At least 2 - 3 years working experience in a related field
Experience with using Helium10, Jungle Scout Cobalt, and CRM
Sales administration/support experience preferred
Intermediate knowledge with G-Suite applications
Excellent written and verbal English communication skills, with the ability to communicate at all levels
Ability to multitask, meet deadlines, and ensure the preparedness of reference materials and data for the Sales Closer
A can-do attitude at all times and open to taking on assignments to learn new skills that may be required for existing and future tasks/projects

Systems Requirements
This is a remote position and requires candidates to have their own desktop or laptop computer (4th generation or higher, at least Intel i3 or equivalent processor; at least 8GB RAM; and Windows 8 and above or MAC OSX operating system), a strong and stable internet connection (A DSL, cable or fiber wired internet service with 20 Mbps plan or higher for primary connection), PC Headset, and a high-definition (HD) external or integrated webcam with at least 720p resolution.


Buy Box Experts considers candidates who meet the specific job qualifications, whether they are located near our Lindon, UT office or have the ability to work remotely.

Please visit comparably.com/companies/buy-box-experts to learn more about us. ABOUT BUY BOX EXPERTS Buy Box Experts is a premier Amazon marketing agency, supporting brand executives as they seek to CONTROL and GROW their Amazon channel businesses (in the US and internationally).

As a team that includes 20+ former Amazon employees, we help our brand clients develop channel management strategies that reduce price erosion issues, and align marketing efforts with the brand's overall brand vision. We provide full platform account management (1P retail, 3P marketplace and hybrid) incorporating inventory management, listing optimization, advertising campaign management (including AMS, DSP), and customer service. We also operate traffic-building campaigns external to Amazon, designed to drive high-converting traffic to Amazon. We conduct Amazon channel due diligence for private equity and investors looking to acquire brands that depend heavily on Amazon as a sales channel. The Buy Box Experts leadership team is very focused on building a company culture focused on being inclusive, encouraging open discussion of issues, and developing the team through a growth-based mindset. It is our policy to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law.",https://www.linkedin.com/jobs/view/3067520303/?eBP=CwEAAAGBI8JFJHXfA8lnY8w5nZxtZ9iWMlWp3hAsOctx85Sj9H7XIPdka9ovpZKQhMRwxmpeppUgCZ025zyuv1tqiRWWAasKQtphOqMXPaOHvGtrnk_iANI8CDMxlf71QlTaIQQutb_5yxiZlESBtkeU15cmQ9Ji1c29k8mjdd0MC8z57Php7G0PLQPfBCJYyJ7FMCcEiqHuaJ4znirjDueAa0D0ozsSx21ijjNHna6iUcjS5tMpLTAxBUAhWgVCxotf70z4q9PWtuB3oxhIZTs9TuKzhjk0Q9_eVXIC5fgWqCbgVlb3jvPxxrXCiGVcI4MbI_yRWbjKCS9nQWyr5Fx6fQ-lPnYnOoJC1GM4n0oO1p2TiDu948BAN6QnLWC6&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=VDJOexoe8ci4TgxoloEhBA%3D%3D&trk=flagship3_search_srp_jobs,Sales Assistant,Buy Box Experts
2,2,"Posted by
Suman Usman
Technical Recruiter | Human Resources Professional
Send InMail
We are looking for a passionate sales executive to join our sales team. The sales executive's responsibilities include generating leads, making sales calls, continuously updating our CRM database, and meeting sales targets.


To be successful as a sales executive you should be an inspired self-starter and able to drive sales growth. Ultimately, a top-notch sales executive should be able to build rapport with customers and close sales.


Responsibilities:

Setting sales goals and developing sales strategies.

Researching prospects and generating leads.

Contacting potential and existing customers on the phone, by email, and in person.

Handling customer questions, inquiries, and complaints.

Preparing and sending quotes and proposals.

Managing the sales process through specific software programs.

Building and maintaining a CRM database.

Meeting daily, weekly, and monthly sales targets.

Participating in sales team meetings.

Sales Executive Requirements:

At least Graduated /BBA in Sales & Marketing

1+ years of sales experience.

Excellent customer service and sales skills.

Strong verbal and written communicator.

Excellent phone and presentation skills.

Proficiency in Microsoft Office, CRM, and sales software programs.

Good negotiation and problem-solving skills.

Ability to adapt and grow in a competitive environment.


Interested candidates can send their resumes on

WhatsApp 03204080804

or

Share at hr@toyotawalton.com

Kindly mention the title of the position in the subject line",https://www.linkedin.com/jobs/view/3086023736/?eBP=CwEAAAGBI8JFJAGIvAK4nnWUnPfcILOEDN-sVf1Kf2zOi9AUXRZaZ_cfbQq9RH7ITHDEv2su_6ugZxr1gw_CRDv0cJo82Swg5GiAaE1BqZVdAzOLPTvpNW7sByTCk1dPGSzk3n4Ts5B2MuX1TDbq1SbfJ7mTINMfxihmdiZ2ZZNWI9DyB0zn38jQQgZsz6x5veo5WmQHnqWVmllmbSmxyCd2zllqk3pzaEkvQF341dK0IojPZzycp6fe45X2fyyKpHu8fe8-5wWLaWdIKeCY_8H1mYHOLJLOxrxNuNQuFmrauwPgJR5HG5m-9Oaku0W9IKGY1n1Nmn7HLF2LHWKun_QzjxyO-rxQZe9nJ2RtKw2VQ8DhQpOpBG2I5xoT9rlO0nZKwCQYTDqEk6TcaSoYW4rtdcBvvDcF&recommendedFlavor=SCHOOL_RECRUIT&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=7Eh2MNBpYh6Vto8f8pWvhQ%3D%3D&trk=flagship3_search_srp_jobs,Sales Executive,Toyota Walton Motors Lahore
3,3,"Job description
Farmdar is an agritech startup that uses remote sensing and artificial intelligence to create data that helps increase yields and reduce waste. We are looking for an Account Manager to nurture relationships and scale revenue by identifying business opportunities within the B2B segment.

Our data helps agri-related corporates such as food companies, food processors, corporate farms and sugar mills accurately identify location, crop type, acreage, harvest monitoring, yield and quality of crops amongst other business critical data points.

Responsibilities
Oversee and manage relationship with portfolio of assigned customers
Understand customer needs, ensuring future needs are met before they arise
Identify opportunity to develop new business with current customers
Explore and identify new customers within the B2B segment for rapid growth in the company’s revenue
Plan for developing business and achieving the company’s sales goals
Maintain and develop a relationship of cooperation and support: fostering loyalty with new and existing customers
Prepare forecast and KPIs
Work collaboratively across teams: Tech, Product and Marketing
Daily status updates for internal and external teams

Requirements
Startup mentality: The candidate must be energetic, agile and ready for speed.
MANDATORY: Minimum 5 years of relevant sales or business development experience within agri-related businesses (chemicals, fertiliser, farm machinery etc.)
Strong written and verbal communication skills
Ability to use hard data and metrics to back up assumptions, recommendations, and drive actions
Strength in problem solving, ability to work in a deadline-driven work environment, attention to detail
The opportunity is available to candidates across Karachi, Islamabad, Rawalpindi and Lahore.",https://www.linkedin.com/jobs/view/3093697315/?eBP=CwEAAAGBI8JFJPyzJTX22tUq6n-Rjr96nDnJGppLJPUdj6yuFJT4P7XwgdqTbyQhQ9sLRNqW4vuEonfX6suJPZoegXXrCwWczlG6LOuKRRFhzOhfrGPW1aHH6UECoZFtOkHtOjS2swJWLaft46mLG6XvETfTbOcfnqAn0LMKw4BsRmzQZYWLSiDYUSMp8a6uJ1vUPE2vuAm62-2YgSyxWsVsjVSzOU9A-ZnR3ODQdpiyKJpYKVOAJBYN62fp6xza_O3aAtqkfGaizbs6ZbXqVXV4ZZWmeqHakBOLwUEG8Zajo0L6P6kCr6jn5pS3fE0jUqyjQKuL8aaqUksZJ5UnVDO0h277y9J2V1qXQAGa7oIfKOvOwmxm8CQaNEnpvLPPklhw_AkCFoQlpup7DGUE0jwQMHd437G0&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=yJDcF8Wwl7Yio0ospm4C8A%3D%3D&trk=flagship3_search_srp_jobs,Account Manager Agri Sales,Farmdar
4,4,"Posted by
Aitzaz Haider
Senior HR Executive at the Fuel Experts Group
Send InMail
Offer good customer service by accurate pricing, increases and decreases.
Ensure sale and signage is accurate and precise.
Manage scanning policies and procedures.
Document new items, sales and price changes.
Ensure stocking of store on signing supplies.
Track invalid UPC issues.
Extend second level of POS Support.
Diagnose and resolve PC problems from software bugs to hardware malfunctions.
Automate software restoration and data recovery process.
Troubleshoot with associates.
Ensure completion of tasklist and problems are attended to in Supervisor’s absence.",https://www.linkedin.com/jobs/view/3099888644/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=CQGMoM7HexJVouBKkW8z8g%3D%3D&trk=flagship3_search_srp_jobs,Data Entry Clerk,The Fuel Experts
5,5,"Posted by
Irnain Abbas
Human Resources Officer at Xavor Corporation
Send InMail
Education: Preferred BBA Marketing
Skills:
Develop sales presentations; including research and potential sales pitch across multiple services categories
Assist sales team in daily activities such as follow ups, cross selling and up selling ideas and proposals
Help in keeping the CRM updated
Maintaining organized sales information
Provide ideas to maximize sales and help execute existing strategies
Keep an eye on timely completion of paperwork with the clients and enhance the business’s operational smoothness
Help in internal coordination
Willing to learn and take feedback positively
Good organizational skills
Excellent communication skills
Good writing skills",https://www.linkedin.com/jobs/view/3104662172/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=jakjOJluuYbHNc4vvCrB1A%3D%3D&trk=flagship3_search_srp_jobs,IT Sales Intern,Xavor Corporation
6,6,"Vertex Chemicals (Pvt) Ltd. is a leading construction chemicals company in Pakistan, providing a host of chemical solutions for improving, repairing, protecting, and decorating construction assets.

As part of our growing footprint in the chemicals industry, we are diversifying to the distribution of chemical raw materials. We are looking for an experienced sales manager to build this new market segment with us, who is able to leverage a professional network to deliver value from day one. The candidates should have some experience selling chemical raw materials manufacturers. You will be part of our office in Lahore and be solely responsible for growing this new initiative, reporting directly to the Director in charge.

Responsibilities:
1. Explore new opportunities for the sale of chemical raw materials to a diverse range of industries.
2. Nurture new leads, going above and beyond to ensure maximum conversion.
3. Nourish relationships with new clients to ensure retention and tap opportunities for upselling and cross-selling.
4. Conduct research on market size, competitors, and prices.
5. Work closely with the supply team to ensure demand forecasts are as accurate as possible and supplies are optimized.
6. Professionally and empathetically handle client issues regarding product and service and strive to exceed customer expectations.
7. Ensure good data management in entering customer and deal information into CRM.
8. Administer sales execution, ensuring timely receipt of purchase orders and prompt dispatch.

Qualifications:
1. Min. bachelor’s degree, preferably in Chemistry or Chemical Engineering.
2. Min. 5 years experience selling chemical raw materials. Some experience dealing with construction chemical manufacturers would be highly beneficial.
3. Solid communication and interpersonal skills.
4. Demonstrable presentation skills.

Salary: Highly competitive plus benefits including 1000cc company car, fuel allowance, phone bill, family health insurance, and participation in gratuity scheme.",https://www.linkedin.com/jobs/view/3092652111/?eBP=CwEAAAGBI8JFJJAn3_2mlZPPzYQF8CAR2LbeHBatEDSp1WaMg5Fm8ChLrVvXV2Flk1z-ZGVvzwPoGFcu6exwa2b5sVIOKbnLuZwh5Mq_UHfyxaHjM4pvGFh-TsF91Lbz9lTM7sOlJyu1L3MURXo2uAZH0-jH_aLym6584WofTOu3LNOW7IbN0d2U1Ko8ZNj6gPE2Bo-6NAbk97PMmBmaMsyhjhAN-yx__QqSEZYGj_zvFpsVaiwan6r4oMkH-SNX08voUz8DxEO1xQhIuPBXAKxoYUEHP11zV99pRuU57OOjJmtvSX90q_6X71YBxpVeuEfXXAX7x_lDUWh7TTyKescD4luW97BD96u0Zv0N2OGhkZxJfFphnRbeHYtF_bMZKOoCqgptqQd9WJWoOXSwRpoaIOtw8SyK&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=DfnTVGbOD7xUNl%2FTIDLu6w%3D%3D&trk=flagship3_search_srp_jobs,Sales Manager - Chemicals Raw Material,Vertex Chemicals Private Limited
7,7,"Posted by
Shahbaz Ahmed
Country Manager at PIXELS FIRST LTD
Send InMail
We have a job opportunity for Sales & marketing
Only in Kharian City",https://www.linkedin.com/jobs/view/3060861522/?eBP=CwEAAAGBI8JFJKNO56k9k42anfi9_pYu1aC50YH3PkG12sIfp6NUjvNetR3HL1xJFX7G4KeSg4Qqn2qzDjuYC1b9m6Z0qNms8K-5IwJC7F-FLUW7nlm_ZrEfN_8MQxWYHMsVUqXMEaB2Qh3LitcbJbjM4_Q4459KqYGmZX4ANWsIbNArAS1Z2fN6g6afjY6--TUjsBGma5tB_QKMefFhw70Bh1fL8hlA0SowEWbvR8-QO6zdpYkX2GNg463OM0LahtyJTE92XrWnV5nCAU_2cHGf43cdJJ6t2p9YAOaQ0iVzj1s4vGlP-xKIBQdtqHe5OdjGzgevmYta0rOHzVj6dwqpoBUC27Ex-9LXXi5WFYDi68H0ZM4f51aHx5FZUXOsfqsW4I4PWzgyZ_l0_e1401iB8koVzVY&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=%2BAXsCVIBPXJbxTkykjE42w%3D%3D&trk=flagship3_search_srp_jobs,Sales And Marketing Specialist,PIXELS FIRST LTD
8,8,"Posted by
Muhammad Waqas
Head Of Sales & Operations
Send InMail

Job Responsibilities:

Developing and managing a portfolio of Key Accounts.
Achieving monthly sales targets by identifying and developing new customers.
Ensuring high levels of customer satisfaction as well as upsell and cross-sell potential within existing customers to maximize share of wallet.
Achieving and exceeding weekly and monthly KPIs.
Coordinating pre-sales and post-sales follow-up.
Building strong and collaborative relationships with other internal stakeholders.
Monitoring market trends and providing regular competitor feedback.
Identifying opportunities for new business development through following up on leads and conducting research on target clients.
New business generation by meeting potential clients to understand needs and providing relevant solutions.
Managing the sales process to close new business opportunities.
Building solid relationships with the existing portfolio of clients.
Meeting and exceeding weekly and monthly activity and revenue targets.

Profile Looking For:

You have at least 2 years of experience within a Business Development role, ideally within the Professional Services industry.
Experience within National Sales and Sales Training would be a strong advantage.
You possess excellent interpersonal as well as written and verbal communication skills.
You are a strong networker & relationship builder
You are a self-starter and demonstrate a high level of resilience
You possess strong analytical skills and are comfortable dealing with numerical data

What's on Offer?

Opportunity to make a positive impact
Attractive Salary & Benefits",https://www.linkedin.com/jobs/view/3077404144/?eBP=CwEAAAGBI8JFJOKWkJUX3Tl9_A4Gg2S76sD5X34u1ln1_Rb0QorFYaWSllJZViztsfqh8-xPJMRWxN-AVE6W4FSBywPdqz4PL_h1E4orf2ISNijmQ5Rk_pdIdbDGFN1IFbWXr_KAJy7XxnmsrOXH2hmavaLRxsVk7PIupz2aQGGREbPgh5qECqnWKEHE561RmWEwAz7fPof0ScIgGjd6FXhUO2d01QBxMD8Z11OyKzS6ruL1m6zyiJgbI2KzZkHg8HmPEIwbQCHvHMIf7HiDly3TMtTI__1JnijVrGc5gdJ_H81ymKG4xXvch7As1z_RrKMC__J-SZitEDs5FqwRQhBN9w_goub6zZTDIaaUDeT1OmGmES5pCXO0IfQuPl6JGPW7_yypvwZNA3UHPCfOzkrWKTicCg&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=TTsN9nCM3O9Yg7%2BuHMk5cg%3D%3D&trk=flagship3_search_srp_jobs,Assistant Sales Manager,ECO Services
9,9,"About this role:
We are looking for an ambitious and energetic Sales Engineer to help us expand our clientele across AJ&K, KP and North Punjab. The ideal candidate will be based in Islamabad and working individually to identify and generate leads, perform detailed analysis according to the site requirements and conduct meetings with potential clients as well. Moreover, the Sales Executive will work under direct supervision of the line manager and will be responsible to report to him/her. As lead generation and prospect management are the main concerns, the sales executive will work on generating leads and bringing in new business. The individual must be well spoken, energetic, and possess an eagerness to serve the company using his/her abilities to meet yearly sales targets.


What you’ll do:
Work closely with management board to develop corporate strategy.
Achieve business objectives in North Pakistan market.
Develop a working relationship with strategic customers.
Promote Zero Carbon brand prominently and to create the pull effect on our brand.
Present product & solutions to clients.
Account management of existing key clients.
Maintain the local customer relationship.
Push to continuously place the order with company.
Report to Regional Sales Manager (North) and meet annual sales target.
Understand and keep up to date with all solar products, process of solar installations, solar policy and solar industries in local market.

What you’ll need:
Great interest in Technical Packaged Solutions sales with Value Added Services to clients.
Possess a Bachelor’s Degree in Engineering (Electronics, Electrical or Systems Engineering).
3+years PV sales (solar invertor, solar module) experience preferred.
Previous sales experience with a proven track record of growth.
Strong presentation and influencing skills.
Proficient Microsoft Office Skills.",https://www.linkedin.com/jobs/view/3100976468/?eBP=CwEAAAGBI8JFJLvXuB3VSYMMMMXcvehj6ZluvUl7Y6hiTml1MRXkx62JlQ6JZSjMdxDvG1rxIRAHqRmVkxcWENcAxvqdJfElI1abFLfQqRxNLlbJIRx0SeHQCiUXA0eafF0SwC0mzBmGfiXR5HBkJlm9gimBhpOQPKwOjDgmnDRocQP730I-rnRA1F6dWTuh0qMG2zbQ2Ux3svYPQOltNK1L1FGFQyKkhMNsyoi7rKcZduhhn6ygTFUfaPcyl__eyHFSDroDwr_-8Dg8ssb8oN7uZntuWinwPyBJznz22_ieeiHEYnODgmKst-XwuvfvKqOo5yPFduZnl_c2tvVNoYwxz6MicKGrbCZqgQjpxUmGZ9IrUQjg5JFZzG-MPIf0HyZkISJl_lN9ixHamAKG2vnrTu0yC9I0&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=P8gRkUlSNZwk0l3IksMRmQ%3D%3D&trackingId=9iYs507c09o9UyF9G0lkfA%3D%3D&trk=flagship3_search_srp_jobs,Sales Engineer,Zero Carbon
