JobId,job_descriptions,job links,job titles,Posted By
0,"Posted by
Iram Sajwaar
Director Product Design
Send InMail
We require services of an in house Run advertising campaigns and monitor them brand on various social media platforms.
Supervise all aspects of social media interaction between customers and the company, and ensure a positive customer service experience.
Develop social media initiatives in collaboration with important internal stakeholders.
Develop, implement and maintain high quality social media strategy.
Collaborate with designers to improve users experience.
Experience to run lead base/ message based/ engagement campaigns.
Stay up-to-date with current technologies and trends in social media, design tools and applications.
Set specific objectives and report on ROI
Requirements: At least four (4) years of experience in managing social media campaigns.
Clear and proactive communicator with ability to manage the needs of multiple stakeholders.
Hands on Experience in SEO.PPC , CPM.",https://www.linkedin.com/jobs/view/2933517243/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=aED607WTwK8uG0MSvoF%2B6w%3D%3D&trk=flagship3_search_srp_jobs,Web Developer,League of Rebels
1,"Posted by
MUHAMMAD ATIF
Senior Laravel and Javascript Developer
Send InMail
The ideal candidate is a highly resourceful and innovative developer with extensive experience in the layout, design and coding of websites specifically in PHP format. You must also possess a strong knowledge of web application development using PHP programming language and MySQL Server databases.
Responsibilities
Perform a mix of maintenance, enhancements, and new development as required
Work in a data analyst role and with business intelligence applications
Document features, technical specifications & infrastructure Responsibilities
Work cross-functionally to convert business needs into technical specifications

Qualifications
1+ years' of experience in web development and software design
Expertise in front-end technologies (HTML, JavaScript, CSS), PHP frameworks, and MySQL databases",https://www.linkedin.com/jobs/view/3066328243/?eBP=JOB_SEARCH_ORGANIC&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=3ARYL3sAMtkrTG8LnmpHnA%3D%3D&trk=flagship3_search_srp_jobs,Junior PHP Developer,Devsninja
2,"Posted by
Hassan N. Hamid
Studied Political Philosophy and I somehow ended up wanting to change the way private healthcare is provisioned..
Send InMail
We're looking to hire a Full Stack Ruby on Rails Developer for our Healthcare SaaS!

You will join a team of exceptional developers working in a fast-paced environment to deliver RESULTS.
Responsibilities:

1. Write clean, maintainable and efficient code
2. Design robust, scalable and secure features
3. Contribute in all phases of the development lifecycle
4. Follow best practices (test-driven development, continuous integration, SCRUM, refactoring and code standards)
5. Drive continuous adoption and integration of relevant new technologies into design
Requirements
6 Must be available for 40hours/week.
7. Proven work experience as a Ruby on Rails developer
8. Must have at least 3.5+ years of experience
9. Must be comfortable with AWS services
10. Proven work experience in software development
11. Demonstrable knowledge of front-end technologies such as JavaScript, HTML, CSS and JQuery, StimulusJS
12. Experience developing highly interactive applications
13. A firm grasp of object oriented analysis and design
14. Passion for writing great, simple, clean, efficient code
15. Good knowledge of relational databases",https://www.linkedin.com/jobs/view/3068710271/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=j%2Fnr0nHGl%2F9oSz%2Friw05pQ%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Engineer,Go Panoptic
3,"Posted by
Jennifer Bain (Milrod)
Hiring Specialist
Send InMail
What’s iPhone Photography School all about?

We make online courses that help people take stunning photos with the iPhone.
With our 9-year track record, we’re the world’s leader in mobile photography education.
And while we’re proud of everything we’ve accomplished so far, we’re just getting started.
And this is why we are looking for another superstar back-end developer to join our team.


What will you be doing as a Back-end Developer?
Being part of an experienced, dynamic and supportive team
Building new, exciting platforms used by over 300,000 active customers
Create APIs and internal tools to support the business
Helping to maintain existing platforms and solving any problems that arise


Here’s what we expect from you

You have 3+ years of PHP development experience
You've worked with Laravel
You have good knowledge of relational databases, SQL and TDD workflows
You have an excellent attention to detail
You have excellent communication skills and love to work collaboratively


What’s in it for me?

Of course this can’t all be one-sided, and we believe that we provide one of the best remote working environments in the world.

State of the art software to stay connected and organized? We’ve got that.

Investing both time and money in your learning to ensure that you continually grow? We do that.

Flexible working schedule to ensure that you maintain a healthy work-life balance? Well that’s a no-brainer.


But should you apply?

This is not a decision we can make for you, but what we can do is lay out our Purpose, Values and Mission to help you decide for yourself.

As a company we believe in honesty and transparency, and once you click the apply button you will have the chance to learn all about us before you decide on whether to submit your application.

Hiring the best candidate is very important to us, but equally important is hiring the right candidate. Only apply if you really identify with what you read on the next page.


Note: This is a 100% remote full-time position. Due to time zone differences, we won’t be able to hire applicants residing in Australia or the eastern parts of Asia.",https://www.linkedin.com/jobs/view/3066530996/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=NMY%2FOSTUr6kS20x1FNvFsQ%3D%3D&trk=flagship3_search_srp_jobs,PHP Developer,iPhone Photography School
4,"Posted by
Husnian Haider
Web Designer &Developer
Send InMail
The ideal candidate is a highly resourceful and innovative developer with extensive experience in the layout, design and coding of websites specifically in PHP format. You must also possess a strong knowledge of web application development using PHP programming language and MySQL Server databases.
Responsibilities
Perform a mix of maintenance, enhancements, and new development as required
Work in a data analyst role and with business intelligence applications
Document features, technical specifications & infrastructure Responsibilities
Work cross-functionally to convert business needs into technical specifications

Qualifications
1+ years' of experience in web development and software design
Expertise in front-end technologies (HTML, JavaScript, CSS), PHP frameworks, and MySQL databases",https://www.linkedin.com/jobs/view/3062143446/?eBP=JOB_SEARCH_ORGANIC&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=U%2FXETTJPRx97MuHOM1o60Q%3D%3D&trk=flagship3_search_srp_jobs,PHP Developer,Netperl
5,"Posted by
Arbaz Yousuf
COO at Ashtar Global Solution | React-Native | ReactJs | VueJs | Aws | Nodejs | Agile | Typscript
Send InMail
We are looking for a Full Stack MERN Developer who has hands-on experience with, ReactJS, MongoDB, React Native, Redux, Node.js, Express.js, AWS, etc.
If you have outstanding programming skills and have the desire to be a part of an exciting, challenging, and rapidly-growing software development company, then this just might be the perfect opportunity for you.
Requirements and Qualifications:
Front-end Designing & development: 2 years (Required)
React js: 1 years (Required)
ReactJS, React Native, Redux, Node js, Express.js, MongoDB experience.
Should have knowledge of Containerization and worked with Docker and Kubernetes.
Should have experience in following GraphQL, Amazon AWS, Algolia Search.
Knowledge of React Native Mobile framework with Typescript/Javascript.
Experience developing production-ready MERN stack applications.
Familiarity with deployment and monitoring of MERN stack applications.
Familiarity with common Node.js modules, including Express, Mongoose, and Socket.io.
Must have very good communication and problem-solving skills.
Must be available immediately and work independently.
The candidate must be able to meet strict deadlines and have gone through all stages of project development.
Understanding of non-relational databases such as DynamoDB and MongoDB.
The experience of MongoDB will be a huge plus.
Good organizational and time-management skills.
Understanding of algorithms, data structures, and software design fundamentals.
Experience with Linux development environments.
Knowledge of DevOps principles and methodologies.
Knowledge of BitBucket/Git.
Knowledge of AWS and other cloud implementations will be a plus.
Bachelor’s degree in Computer Science, Software engineering or a related field
Working Environment:
Bi-Annual Performance-based increments
Paid Leave
Friendly working environment
Great learning curve
Exposure to international products
Birthdays Celebrations
Annual Dinners & Meet-up
Emergency Loan Facility
Lunch
Marriage Allowance
Job Type: Full-time
Salary: Up to Rs80,000.00 per month
Location: Karachi (Required)
Work Remotely: No
If you’re interested send your resume at jobs@ags.solutions with subject FS-Dev Q1/2022",https://www.linkedin.com/jobs/view/3066082395/?eBP=JOB_SEARCH_ORGANIC&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=A4uRL6xGYWLVsLoPGnPCMQ%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Developer,Ashtar Global Solution
6,"Posted by
Mirza Shoaib
UI&UX designer
Send InMail
We are looking for a capable ""backend web Developer"" to join our rapidly expanding team.
PHP developer requirements:
Bachelor’s degree in computer science, software engineering or a similar field.
Previous experience working as a PHP developer.
Strong knowledge of PHP web frameworks such as Laravel, Yii.
Understanding the fully synchronous behavior of PHP.
Basic understanding of front-end technologies such as JavaScript, HTML5 and CSS3.
Familiarity with SQL/NoSQL databases and their declarative query languages.

Skills Required:
Solid skills in PHP, Laravel, CodeIgniter. NodeJS would be a plus.
Can develop and maintain complex Laravel applications.
Aware of AWS, GCP and other cloud services.
Expertise with web technologies including HTML, CSS, JavaScript, AJAX etc.
Expertise working with relational databases (SQL & MySQL).
Can integrate APIs & create REST APIs for other applications.
Must be familiar with version control systems like GitHub and Bitbucket.
Must have the experience to Work with cPanel's/WHM Digital Ocean etc.
Can write back-end code and build efficient PHP modules.",https://www.linkedin.com/jobs/view/3066085957/?eBP=JOB_SEARCH_ORGANIC&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=pUtCJCyzjhpMIWj89a%2B0Ew%3D%3D&trk=flagship3_search_srp_jobs,Back End Developer,Sunwest.pk
7,"Division

Outdoor Power Equipment- OPE is a group within Constellation Dealership. It is recognized as the leader in business management software for Outdoor Power Equipment dealers. Constellation Dealership provides a suite of market-leading software products designed specifically for dealerships. Over 2,000 dealerships across North America, the United Kingdom, Ireland, and Africa, rely on one of our products to make their dealership more successful. We are a wholly owned subsidiary of Constellation Software Inc. Constellation Software is a leading provider of software and services to a select group of public and private sector markets. Constellation manages and builds industry-specific software businesses which provide specialized, mission-critical software solutions that address the needs of our customers.

Position

The role of the Full Stack Web Developer is to be a valued contributor on the Scrum team for Target, a next generation CRM application. Daily responsibilities include but are not limited to performing troubleshooting and analysis for existing system bugs as well as coding new user interface and service components. Emphasis in this role is on learning and growth, with a focus on quality and best practices.

The chosen candidate will work out of the Contour Software Lahore resource center office, as an extension of the division-based R&D department.

Responsibilities
Develop new functionality in React and C# under the guidance of the Software Architect and Sr engineers
Trouble-shoot existing code issues in a Tier 3 support role, working in conjunction with Senior Engineers, Business Analysts, and Technical Support.
Other duties and responsibilities as required
Required Skills
B.S. or higher in CIS, MIS, CS or other appropriate field of study. Equivalent experience is acceptable in lieu of a degree.
3 to 5 years of C# and the .NET Framework
Minimum 3 years of experience in Java Script frameworks - React experience preferred
Troubleshooting code issues and familiarity with debugging in a Visual Studio environment
Querying and working with data in a relational database with preference given to SQL Server & T-SQL
Experience working in an Agile development environment
Degree of critical thinking and problem-solving skills
Written and verbal communication skills
Desired / Nice to have
Exposure to RESTful service development
Exposure to Microservices Architecture
Cloud native application development experience - AZURE preferred
Exciting Benefits We Offer
Market-leading Salary
Medical Coverage - Self & Dependents
Parents Medical Coverage
Provident Fund
Employee Performance-based bonuses
Home Internet Subsidy
Conveyance Allowance
Profit Sharing Plan [Tenured Employees Only]
Life Benefit
Child Care Facility
Company Provided Lunch/Dinner
Professional Development Budget
Recreational area for in-house games
Sporadic On-shore training opportunities
Friendly work environment
Leave Encashment",https://www.linkedin.com/jobs/view/3037029814/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=AW5aCywrCRKSoyVMNj%2FkIA%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Web Developer,Contour Software
8,"Posted by
Aqeel Ahmed
Program Manager at Guest N Host
Send InMail
Strong knowledge of PHP CodeIgniter framework.
Understanding of MVC design pattern.
Knowledge of object-oriented PHP programming.
Understanding of front-end technologies such as JavaScript,HTML5 and CSS3.",https://www.linkedin.com/jobs/view/3066062357/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=uMvB16uvcj1eEDbi3GZPlw%3D%3D&trk=flagship3_search_srp_jobs,PHP Developer,Guest and Host
9,"Posted by
Aamir Khurshid
Managing Director at Focus Services UK
Send InMail
MAGENTO AND LARAVEL SPECIALISTS REQUIRED !!!

!!3 Positions Availble!!

The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.
Responsibilities
Revise, edit, proofread & optimize web content
Work with cross-functionally to enhance overall user experience of our platforms
Own various design tasks involved in the web development life cycle from start to finish

Qualifications
Bachelor's degree or equivalent experience in Computer Science
At least 1 - 2 years' of experience using HTML, CSS, and JavaScript
Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby)
Ability to multi-task, organize, and prioritize work",https://www.linkedin.com/jobs/view/3066313324/?eBP=JOB_SEARCH_ORGANIC&refId=k7SxbYtUKWIsScx62SqNFg%3D%3D&trackingId=hWYwstJzlOP35Hqf2epv9w%3D%3D&trk=flagship3_search_srp_jobs,Web Developer,Focus IT Services
